Genome	Source	Original_GFF	Staged_GFF
GCA_029011255.1	Reproductive	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/reproductive/reproductive__GCA_029011255.1/reproductive__GCA_029011255.1.gff	data/processed/core_genome/input_gffs_72/GCA_029011255.1.gff
GCA_029011395.1	Reproductive	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/reproductive/reproductive__GCA_029011395.1/reproductive__GCA_029011395.1.gff	data/processed/core_genome/input_gffs_72/GCA_029011395.1.gff
GCA_029011535.1	Reproductive	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/reproductive/reproductive__GCA_029011535.1/reproductive__GCA_029011535.1.gff	data/processed/core_genome/input_gffs_72/GCA_029011535.1.gff
GCA_029011745.1	Reproductive	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/reproductive/reproductive__GCA_029011745.1/reproductive__GCA_029011745.1.gff	data/processed/core_genome/input_gffs_72/GCA_029011745.1.gff
GCA_050469755.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050469755.1/bacteraemia__GCA_050469755.1.gff	data/processed/core_genome/input_gffs_72/GCA_050469755.1.gff
GCA_050471105.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050471105.1/bacteraemia__GCA_050471105.1.gff	data/processed/core_genome/input_gffs_72/GCA_050471105.1.gff
GCA_050472745.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050472745.1/bacteraemia__GCA_050472745.1.gff	data/processed/core_genome/input_gffs_72/GCA_050472745.1.gff
GCA_050472755.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050472755.1/bacteraemia__GCA_050472755.1.gff	data/processed/core_genome/input_gffs_72/GCA_050472755.1.gff
GCA_050473345.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050473345.1/bacteraemia__GCA_050473345.1.gff	data/processed/core_genome/input_gffs_72/GCA_050473345.1.gff
GCA_050473355.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050473355.1/bacteraemia__GCA_050473355.1.gff	data/processed/core_genome/input_gffs_72/GCA_050473355.1.gff
GCA_050473905.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050473905.1/bacteraemia__GCA_050473905.1.gff	data/processed/core_genome/input_gffs_72/GCA_050473905.1.gff
GCA_050474485.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050474485.1/bacteraemia__GCA_050474485.1.gff	data/processed/core_genome/input_gffs_72/GCA_050474485.1.gff
GCA_050474495.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050474495.1/bacteraemia__GCA_050474495.1.gff	data/processed/core_genome/input_gffs_72/GCA_050474495.1.gff
GCA_050475565.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050475565.1/bacteraemia__GCA_050475565.1.gff	data/processed/core_genome/input_gffs_72/GCA_050475565.1.gff
GCA_050475575.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050475575.1/bacteraemia__GCA_050475575.1.gff	data/processed/core_genome/input_gffs_72/GCA_050475575.1.gff
GCA_050476085.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050476085.1/bacteraemia__GCA_050476085.1.gff	data/processed/core_genome/input_gffs_72/GCA_050476085.1.gff
GCA_050480515.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050480515.1/bacteraemia__GCA_050480515.1.gff	data/processed/core_genome/input_gffs_72/GCA_050480515.1.gff
GCA_050481105.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050481105.1/bacteraemia__GCA_050481105.1.gff	data/processed/core_genome/input_gffs_72/GCA_050481105.1.gff
GCA_050481115.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050481115.1/bacteraemia__GCA_050481115.1.gff	data/processed/core_genome/input_gffs_72/GCA_050481115.1.gff
GCA_050481685.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050481685.1/bacteraemia__GCA_050481685.1.gff	data/processed/core_genome/input_gffs_72/GCA_050481685.1.gff
GCA_050481695.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050481695.1/bacteraemia__GCA_050481695.1.gff	data/processed/core_genome/input_gffs_72/GCA_050481695.1.gff
GCA_050482265.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050482265.1/bacteraemia__GCA_050482265.1.gff	data/processed/core_genome/input_gffs_72/GCA_050482265.1.gff
GCA_050485045.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050485045.1/bacteraemia__GCA_050485045.1.gff	data/processed/core_genome/input_gffs_72/GCA_050485045.1.gff
GCA_050485055.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050485055.1/bacteraemia__GCA_050485055.1.gff	data/processed/core_genome/input_gffs_72/GCA_050485055.1.gff
