package	yaml_spec	installed_version	status
python	3.11.15	3.11.15	MATCH
panaroo	1.8.0	1.8.0	MATCH
snp-dists	1.2.0	1.2.0	MATCH
mafft	7.526	7.526	MATCH
iqtree	3.1.2	3.1.2	MATCH
biopython	1.87	1.87	MATCH
pandas	3.0.5	3.0.5	MATCH
numpy	2.3.5	2.3.5	MATCH
r-base	4.5.3	4.5.3	MATCH
r-ape	5.8_1	5.8_1	MATCH
r-ggplot2	4.0.3	4.0.3	MATCH
r-dplyr	1.2.1	1.2.1	MATCH
r-readr	2.2.0	2.2.0	MATCH
r-stringr	1.6.0	1.6.0	MATCH
r-tibble	3.3.1	3.3.1	MATCH
bioconductor-ggtree	4.0.4	4.0.4	MATCH
bioconductor-treeio	1.34.0	1.34.0	MATCH
r-svglite	2.2.2	2.2.2	MATCH
