sample_number	dataset_id	dataset_category	strain	biosample_accession	assembly_accession	bioproject_accession	study_title	assembly_level	source_group	sample_type	host	geographic_location	country	collection_year	sequencing_technology	chromosome_count	plasmid_status	plasmid_count	associated_paper	pathology_context
1	reproductive_14	Reproductive	2819	SAMN46230707	GCF_053117705.1	PRJNA1209846	Sequencing of infertility-associated Enterococcus faecalis isolates	Complete Genome	Semen sample	Cell culture	Homo sapiens	Italy:Siena	Italy	2009	Illumina NovaSeq 6000, Nanopore GridION	5	Y	4		Infertility
2	reproductive_14	Reproductive	4153	SAMN46230708	GCF_053117695.1	PRJNA1209846	Sequencing of infertility-associated Enterococcus faecalis isolates	Complete Genome	Semen sample	Cell culture	Homo sapiens	Italy:Siena	Italy	2011	Illumina NovaSeq 6000, Nanopore GridION	4	Y	3		Infertility
3	reproductive_14	Reproductive	4638	SAMN46230709	GCF_053117685.1	PRJNA1209846	Sequencing of infertility-associated Enterococcus faecalis isolates	Complete Genome	Semen sample	Cell culture	Homo sapiens	Italy:Siena	Italy	2011	Illumina NovaSeq 6000, Nanopore GridION	4	Y	3		Infertility
4	reproductive_14	Reproductive	4774	SAMN46230710	GCF_053117675.1	PRJNA1209846	Sequencing of infertility-associated Enterococcus faecalis isolates	Complete Genome	Vaginal swab	Cell culture	Homo sapiens	Italy:Siena	Italy	2011	Illumina NovaSeq 6000, Nanopore GridION	3	Y	2		Infertility
5	reproductive_14	Reproductive	4953	SAMN46230711	GCF_053117665.1	PRJNA1209846	Sequencing of infertility-associated Enterococcus faecalis isolates	Complete Genome	Semen sample	Cell culture	Homo sapiens	Italy:Siena	Italy	2012	Illumina NovaSeq 6000, Nanopore GridION	4	Y	3		Infertility
6	reproductive_14	Reproductive	5034	SAMN46230712	GCF_053117655.1	PRJNA1209846	Sequencing of infertility-associated Enterococcus faecalis isolates	Complete Genome	Vaginal swab	Cell culture	Homo sapiens	Italy:Siena	Italy	2012	Illumina NovaSeq 6000, Nanopore GridION	2	Y	1		Infertility
7	reproductive_14	Reproductive	5245	SAMN46230713	GCF_053117575.1	PRJNA1209846	Sequencing of infertility-associated Enterococcus faecalis isolates	Complete Genome	Semen sample	Cell culture	Homo sapiens	Italy:Siena	Italy	2012	Illumina NovaSeq 6000, Nanopore GridION	4	Y	3		Infertility
8	reproductive_14	Reproductive	5410	SAMN46230714	GCF_053117585.1	PRJNA1209846	Sequencing of infertility-associated Enterococcus faecalis isolates	Complete Genome	Semen sample	Cell culture	Homo sapiens	Italy:Siena	Italy	2012	Illumina NovaSeq 6000, Nanopore GridION	2	Y	1		Infertility
9	reproductive_14	Reproductive	UMB6935B	SAMN47264607	GCF_049262565.1	PRJNA316969	Female Urinary Microbiota Genome Sequencing	Complete Genome	Vaginal swab	Human bacterial culture	Homo sapiens	USA: Maywood, IL	USA	2016	Hybrid: Illumina NovaSeq X Plus and Oxford Nanopore	3	Y	2	Putonti C et al., "Genome Investigation of Urinary Gardnerella Strains and Their Relationship to Isolates of the Vaginal Microbiota.", mSphere, 2021 May 12;6(3) Hilt EE et al., "Aerococcus urinae Isolated from Women with Lower Urinary Tract Symptoms: In Vitro Aggregation and Genome Analysis.", J Bacteriol, 2020 Jun 9;202(13) Meler J et al., "Pharmaceutical interaction of lidocaine hydrochloride and sodium carboxymethylcellulose in "hydrocortisonum" suspension.", Pharmazie, 1990 Sep;45(9):692-3	Urogenital disorder overactive bladder syptoms
10	reproductive_14	Reproductive	VSI48	SAMN33275456	GCA_029011255.1	PRJNA934404	Human vaginal bacterial isolates genome sequencing and assembly	Complete Genome	Vaginal swab		Homo sapiens	USA: Houston, TX	USA	2021	Oxford Nanopore MinION	2	Y	1	https://doi.org/10.1128/mra.00358-23	
11	reproductive_14	Reproductive	VSI19	SAMN33275446	GCA_029011535.1	PRJNA934404	Human vaginal bacterial isolates genome sequencing and assembly	Complete Genome	Vaginal swab		Homo sapiens	USA: Houston, TX	USA	2020	Oxford Nanopore MinION	4	Y	3	https://doi.org/10.1128/mra.00358-23	
12	reproductive_14	Reproductive	VSI36	SAMN33275452	GCA_029011395.1	PRJNA934404	Human vaginal bacterial isolates genome sequencing and assembly	Complete Genome	Vaginal swab		Homo sapiens	USA: Houston, TX	USA	2020	Oxford Nanopore MinION	3	Y	2	https://doi.org/10.1128/mra.00358-23	
13	reproductive_14	Reproductive	VSI09	SAMN33275436	GCA_029011745.1	PRJNA934404	Human vaginal bacterial isolates genome sequencing and assembly	Complete Genome	Vaginal swab		Homo sapiens	USA: Houston, TX	USA	2020	Oxford Nanopore MinION	2	Y	1	https://doi.org/10.1128/mra.00358-23	
14	reproductive_14	Reproductive	BX5936	SAMEA6595201	GCF_906464925.1	PRJEB36950	Hybrid assembly of optrA Positive Enterococcus faecalis	Complete Genome	Semen sample		Homo sapiens	Edinburgh	United Kingdom	2017	"Illumina MiSeq,Oxford Nanopore MinION"	3	Y	2	https://pubmed.ncbi.nlm.nih.gov/35130141/	Diseased
15	bacteraemia_58	Bacteraemia	C6696	SAMN44727142	GCA_050516675.1	PRJNA1185791	Enterococcus faecium and Enterococcus faecalis hybrid assemblies	Complete Genome	Clinical laboratory		Homo sapiens	USA: Jackson, Mississippi	USA		Oxford Nanopore GridION	2	Y	1	https://pubmed.ncbi.nlm.nih.gov/40236068/	recalcitrant enterococcal bacteremia
16	bacteraemia_58	Bacteraemia	C6697	SAMN44727143	GCA_050516665.1	PRJNA1185791	Enterococcus faecium and Enterococcus faecalis hybrid assemblies	Complete Genome	Clinical laboratory		Homo sapiens	USA: Jackson, Mississippi	USA		Oxford Nanopore GridION	2	Y	1	https://pubmed.ncbi.nlm.nih.gov/40236068/	recalcitrant enterococcal bacteremia
