dataset,drug_class_std,genomes_with_class,total_genomes,prevalence_pct
Bacteraemia,LINCOSAMIDE/STREPTOGRAMIN,60,60,100
Bacteraemia,TETRACYCLINE,46,60,76.66666666666667
Bacteraemia,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,37,60,61.666666666666664
Bacteraemia,AMINOGLYCOSIDE,30,60,50
Bacteraemia,TRIMETHOPRIM,26,60,43.333333333333336
Bacteraemia,QUINOLONE,23,60,38.333333333333336
Bacteraemia,STREPTOTHRICIN,19,60,31.666666666666668
Bacteraemia,GLYCOPEPTIDE,12,60,20
Bacteraemia,BLEOMYCIN,8,60,13.333333333333334
Bacteraemia,BACITRACIN,6,60,10
Bacteraemia,PHENICOL,6,60,10
Bacteraemia,ARSENIC,5,60,8.333333333333334
Bacteraemia,LINCOSAMIDE,4,60,6.666666666666667
Bacteraemia,COPPER,3,60,5
Bacteraemia,QUATERNARY AMMONIUM,3,60,5
Reproductive,LINCOSAMIDE/STREPTOGRAMIN,15,15,100
Reproductive,TETRACYCLINE,13,15,86.66666666666667
Reproductive,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,12,15,80
Reproductive,AMINOGLYCOSIDE,10,15,66.66666666666667
Reproductive,STREPTOTHRICIN,6,15,40
Reproductive,PHENICOL,4,15,26.666666666666668
Reproductive,QUINOLONE,3,15,20
Reproductive,TRIMETHOPRIM,3,15,20
Reproductive,LINCOSAMIDE,2,15,13.333333333333334
Reproductive,OXAZOLIDINONE/PHENICOL,2,15,13.333333333333334
