Gene,Class,Subclass,n_records,mapping_status
aac(6')-Ie/aph(2'')-Ia,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,29,consistent
aadD1,AMINOGLYCOSIDE,KANAMYCIN/TOBRAMYCIN,6,consistent
ant(6)-Ia,AMINOGLYCOSIDE,STREPTOMYCIN,40,consistent
aph(3')-IIIa,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,24,consistent
bleO,BLEOMYCIN,BLEOMYCIN,6,consistent
catA,PHENICOL,CHLORAMPHENICOL,7,consistent
dfrF,TRIMETHOPRIM,TRIMETHOPRIM,30,consistent
dfrG,TRIMETHOPRIM,TRIMETHOPRIM,11,consistent
erm(B),LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B,59,consistent
fexA,PHENICOL,CHLORAMPHENICOL/FLORFENICOL,1,consistent
gyrA_S83I,QUINOLONE,QUINOLONE,18,consistent
gyrA_S83R,QUINOLONE,QUINOLONE,1,consistent
gyrA_S83Y,QUINOLONE,QUINOLONE,2,consistent
lnu(B),LINCOSAMIDE,LINCOSAMIDE,3,consistent
lsa(A),LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,72,consistent
lsa(E),LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,4,consistent
optrA,OXAZOLIDINONE/PHENICOL,FLORFENICOL/OXAZOLIDINONE,1,consistent
parC_S80I,QUINOLONE,QUINOLONE,23,consistent
rpsJ_RATHK53Q,TETRACYCLINE,TIGECYCLINE,2,consistent
sat4,STREPTOTHRICIN,STREPTOTHRICIN,24,consistent
spw,AMINOGLYCOSIDE,AMINOGLYCOSIDE,3,consistent
str,AMINOGLYCOSIDE,STREPTOMYCIN,2,consistent
tet(L),TETRACYCLINE,TETRACYCLINE,6,consistent
tet(M),TETRACYCLINE,TETRACYCLINE,78,consistent
tet(S),TETRACYCLINE,TETRACYCLINE,1,consistent
vanA,GLYCOPEPTIDE,VANCOMYCIN,8,consistent
vanB,GLYCOPEPTIDE,VANCOMYCIN,2,consistent
vanH-A,GLYCOPEPTIDE,VANCOMYCIN,8,consistent
vanH-B,GLYCOPEPTIDE,VANCOMYCIN,2,consistent
vanR-A,GLYCOPEPTIDE,VANCOMYCIN,8,consistent
vanR-B,GLYCOPEPTIDE,VANCOMYCIN,2,consistent
vanS-A,GLYCOPEPTIDE,VANCOMYCIN,8,consistent
vanS-B,GLYCOPEPTIDE,VANCOMYCIN,2,consistent
vanW-B,GLYCOPEPTIDE,VANCOMYCIN,2,consistent
vanX-A,GLYCOPEPTIDE,VANCOMYCIN,8,consistent
vanX-B,GLYCOPEPTIDE,VANCOMYCIN,2,consistent
vanY-A,GLYCOPEPTIDE,VANCOMYCIN,8,consistent
vanY-B,GLYCOPEPTIDE,VANCOMYCIN,2,consistent
vanZ-A,GLYCOPEPTIDE,VANCOMYCIN,8,consistent
