Gene,Reproductive_count,Reproductive_total,Bacteraemia_count,Bacteraemia_total,Reproductive_percent,Bacteraemia_percent,Combined_count,Combined_total,Combined_percent,Prevalence_difference_percentage_points
lsa(A),12,14,58,58,85.71,100,70,72,97.22,-14.29
tet(M),11,14,44,58,78.57,75.86,55,72,76.39,2.71
erm(B),11,14,35,58,78.57,60.34,46,72,63.89,18.23
aac(6')-Ie/aph(2'')-Ia,5,14,24,58,35.71,41.38,29,72,40.28,-5.67
aph(3')-IIIa,6,14,17,58,42.86,29.31,23,72,31.94,13.55
parC_S80I,2,14,21,58,14.29,36.21,23,72,31.94,-21.92
sat4,5,14,17,58,35.71,29.31,22,72,30.56,6.4
ant(6)-Ia,3,14,15,58,21.43,25.86,18,72,25,-4.43
gyrA_S83I,1,14,17,58,7.14,29.31,18,72,25,-22.17
dfrF,0,14,15,58,0,25.86,15,72,20.83,-25.86
dfrG,2,14,9,58,14.29,15.52,11,72,15.28,-1.23
vanA,0,14,8,58,0,13.79,8,72,11.11,-13.79
vanH-A,0,14,8,58,0,13.79,8,72,11.11,-13.79
vanS-A,0,14,8,58,0,13.79,8,72,11.11,-13.79
vanX-A,0,14,8,58,0,13.79,8,72,11.11,-13.79
vanY-A,0,14,8,58,0,13.79,8,72,11.11,-13.79
vanZ-A,0,14,8,58,0,13.79,8,72,11.11,-13.79
catA,3,14,4,58,21.43,6.9,7,72,9.72,14.53
vanR-A,0,14,7,58,0,12.07,7,72,9.72,-12.07
aadD1,0,14,6,58,0,10.34,6,72,8.33,-10.34
tet(L),2,14,4,58,14.29,6.9,6,72,8.33,7.39
lnu(B),1,14,2,58,7.14,3.45,3,72,4.17,3.69
lsa(E),1,14,2,58,7.14,3.45,3,72,4.17,3.69
spw,1,14,2,58,7.14,3.45,3,72,4.17,3.69
gyrA_S83Y,1,14,1,58,7.14,1.72,2,72,2.78,5.42
rpsJ_RATHK53Q,0,14,2,58,0,3.45,2,72,2.78,-3.45
str,2,14,0,58,14.29,0,2,72,2.78,14.29
vanB,0,14,2,58,0,3.45,2,72,2.78,-3.45
vanH-B,0,14,2,58,0,3.45,2,72,2.78,-3.45
vanR-B,0,14,2,58,0,3.45,2,72,2.78,-3.45
vanS-B,0,14,2,58,0,3.45,2,72,2.78,-3.45
vanW-B,0,14,2,58,0,3.45,2,72,2.78,-3.45
vanX-B,0,14,2,58,0,3.45,2,72,2.78,-3.45
vanY-B,0,14,2,58,0,3.45,2,72,2.78,-3.45
fexA,1,14,0,58,7.14,0,1,72,1.39,7.14
gyrA_S83R,0,14,1,58,0,1.72,1,72,1.39,-1.72
optrA,1,14,0,58,7.14,0,1,72,1.39,7.14
tet(S),1,14,0,58,7.14,0,1,72,1.39,7.14
