node_index	node_label_raw	support_value	support_category
1		NA	unlabelled
2	100	100	>=95
3	100	100	>=95
4	100	100	>=95
5	100	100	>=95
6	100	100	>=95
7	100	100	>=95
8	100	100	>=95
9	100	100	>=95
10	100	100	>=95
11	100	100	>=95
12	100	100	>=95
13	100	100	>=95
14	100	100	>=95
15	71	71	50-79
16	18	18	<50
17	31	31	<50
18	100	100	>=95
19	98	98	>=95
20	100	100	>=95
21	100	100	>=95
22	99	99	>=95
23	100	100	>=95
24	27	27	<50
25	100	100	>=95
26	100	100	>=95
27	99	99	>=95
28	100	100	>=95
29	100	100	>=95
30	100	100	>=95
31	100	100	>=95
32	99	99	>=95
33	100	100	>=95
34	100	100	>=95
35	100	100	>=95
36	100	100	>=95
37	100	100	>=95
38	96	96	>=95
39	54	54	50-79
40	96	96	>=95
41	93	93	80-94
42	95	95	>=95
43	90	90	80-94
44	100	100	>=95
45	100	100	>=95
46	56	56	50-79
47	86	86	80-94
48	100	100	>=95
49	100	100	>=95
50	100	100	>=95
51	100	100	>=95
52	90	90	80-94
53	100	100	>=95
54	100	100	>=95
55	100	100	>=95
56	100	100	>=95
57	100	100	>=95
58	100	100	>=95
59	100	100	>=95
60	100	100	>=95
61	100	100	>=95
62	100	100	>=95
63	100	100	>=95
64	100	100	>=95
65	100	100	>=95
66	64	64	50-79
67	81	81	80-94
68	100	100	>=95
69	100	100	>=95
70	100	100	>=95
