ST	source	denominator	proxy_positive	proxy_negative	prevalence
1112	Bacteraemia	1	1	0	1
1271	Bacteraemia	1	0	1	0
16	Bacteraemia	6	2	4	0.3333333333
16	Reproductive	1	1	0	1
165	Reproductive	1	0	1	0
179	Bacteraemia	8	2	6	0.25
179	Reproductive	4	3	1	0.75
19	Bacteraemia	4	0	4	0
19	Reproductive	1	0	1	0
202	Bacteraemia	1	0	1	0
21	Bacteraemia	2	0	2	0
211	Reproductive	1	1	0	1
220	Bacteraemia	2	0	2	0
28	Bacteraemia	1	1	0	1
30	Reproductive	1	0	1	0
32	Bacteraemia	1	0	1	0
40	Bacteraemia	10	0	10	0
40	Reproductive	1	0	1	0
44	Reproductive	2	0	2	0
480	Bacteraemia	2	2	0	1
480	Reproductive	1	0	1	0
53	Bacteraemia	1	0	1	0
6	Bacteraemia	13	13	0	1
778	Bacteraemia	2	2	0	1
894	Reproductive	1	0	1	0
Unassigned	Bacteraemia	3	1	2	0.3333333333
