Stratum,Pair_count,Median_similarity,IQR_similarity,Minimum_similarity,Maximum_similarity,Note
Same ST,237,0.5263157894736842,0.3653846153846154,0,1,"Descriptive only: genome pairs are non-independent and ST, source, and study overlap"
Different ST,2109,0.2727272727272727,0.261904761904762,0,1,"Descriptive only: genome pairs are non-independent and ST, source, and study overlap"
Same source,1744,0.2857142857142857,0.33333333333333337,0,1,"Descriptive only: genome pairs are non-independent and ST, source, and study overlap"
Different source,812,0.2857142857142857,0.27083333333333337,0,1,"Descriptive only: genome pairs are non-independent and ST, source, and study overlap"
Same ST + same source,183,0.5454545454545454,0.5080615978448795,0.11111111111111116,1,"Descriptive only: genome pairs are non-independent and ST, source, and study overlap"
Same ST + different source,54,0.5,0.2595238095238095,0,1,"Descriptive only: genome pairs are non-independent and ST, source, and study overlap"
Different ST + same source,1393,0.2666666666666666,0.2333333333333334,0,1,"Descriptive only: genome pairs are non-independent and ST, source, and study overlap"
Different ST + different source,716,0.2857142857142857,0.261904761904762,0,1,"Descriptive only: genome pairs are non-independent and ST, source, and study overlap"
Same study,1687,0.2857142857142857,0.33333333333333337,0,1,"Descriptive only: genome pairs are non-independent and ST, source, and study overlap"
Different study,869,0.2857142857142857,0.261904761904762,0,1,"Descriptive only: genome pairs are non-independent and ST, source, and study overlap"
