component	eigenvalue	explained_variance_proportion	cumulative_variance_proportion
PC1	45.38967149121488	0.17691406872399276	0.17691406872399276
PC2	34.26435597810002	0.13355123377498346	0.3104653024989762
PC3	29.854528271035857	0.11636317013853444	0.4268284726375106
PC4	27.137672729724148	0.10577375734576264	0.5326022299832732
PC5	24.395346039405315	0.09508506635912249	0.6276872963423957
PC6	22.521621872338464	0.0877819034330275	0.7154691997754232
PC7	11.884644747327137	0.04632245152943707	0.7617916513048603
PC8	9.206610153271976	0.03588435007039468	0.7976760013752551
PC9	7.922714678996104	0.030880146146723908	0.8285561475219789
PC10	7.147219921486329	0.02785752165269701	0.856413669174676
