tree	split_key	smaller_side_size	sh_alrt	ufboot	supported	reproductive_n	bacteraemia_n	shared_by_n_trees
primary_72genome_9locus	GCA_050475575.1;GCA_050485055.1;GCA_050486715.1;GCA_050505635.1;GCA_050505645.1;GCA_050506665.1;GCA_050506675.1;GCA_050506685.1;GCA_050506695.1;GCA_050506815.1;GCA_050506865.1;GCA_050506995.1;GCA_050507065.1;GCA_050516665.1;GCA_050516675.1;GCF_053117575.1;GCF_053117585.1;GCF_053117655.1;GCF_053117685.1;GCF_053117705.1	20	93.6	98	TRUE	5	15	3
reduced_72genome_7locus	GCA_050475575.1;GCA_050485055.1;GCA_050486715.1;GCA_050505635.1;GCA_050505645.1;GCA_050506665.1;GCA_050506675.1;GCA_050506685.1;GCA_050506695.1;GCA_050506815.1;GCA_050506865.1;GCA_050506995.1;GCA_050507065.1;GCA_050516665.1;GCA_050516675.1;GCF_053117575.1;GCF_053117585.1;GCF_053117655.1;GCF_053117685.1;GCF_053117705.1	20	99.6	100	TRUE	5	15	3
sensitivity_71genome_9locus	GCA_050475575.1;GCA_050485055.1;GCA_050486715.1;GCA_050505635.1;GCA_050505645.1;GCA_050506665.1;GCA_050506675.1;GCA_050506685.1;GCA_050506695.1;GCA_050506815.1;GCA_050506865.1;GCA_050506995.1;GCA_050507065.1;GCA_050516665.1;GCA_050516675.1;GCF_053117575.1;GCF_053117585.1;GCF_053117655.1;GCF_053117685.1;GCF_053117705.1	20	91.2	99	TRUE	5	15	3
primary_72genome_9locus	GCA_050469755.1;GCA_050472745.1;GCA_050473905.1;GCA_050481695.1;GCA_050482265.1;GCA_050485045.1;GCA_050485625.1;GCA_050492125.1;GCA_050492135.1;GCA_050506745.1;GCA_050506755.1;GCA_050507075.1;GCA_050507105.1	13	96.4	99	TRUE	0	13	3
primary_72genome_9locus	GCA_050471105.1;GCA_050480515.1;GCA_050481105.1;GCA_050481115.1;GCA_050481685.1;GCA_050486705.1;GCA_050506725.1;GCA_050506735.1;GCA_050506765.1;GCA_050506825.1;GCA_050516645.1;GCA_050516655.1;GCF_053117665.1	13	100	100	TRUE	1	12	3
reduced_72genome_7locus	GCA_050469755.1;GCA_050472745.1;GCA_050473905.1;GCA_050481695.1;GCA_050482265.1;GCA_050485045.1;GCA_050485625.1;GCA_050492125.1;GCA_050492135.1;GCA_050506745.1;GCA_050506755.1;GCA_050507075.1;GCA_050507105.1	13	98.4	100	TRUE	0	13	3
reduced_72genome_7locus	GCA_050471105.1;GCA_050480515.1;GCA_050481105.1;GCA_050481115.1;GCA_050481685.1;GCA_050486705.1;GCA_050506725.1;GCA_050506735.1;GCA_050506765.1;GCA_050506825.1;GCA_050516645.1;GCA_050516655.1;GCF_053117665.1	13	99.8	100	TRUE	1	12	3
sensitivity_71genome_9locus	GCA_050469755.1;GCA_050472745.1;GCA_050473905.1;GCA_050481695.1;GCA_050482265.1;GCA_050485045.1;GCA_050485625.1;GCA_050492125.1;GCA_050492135.1;GCA_050506745.1;GCA_050506755.1;GCA_050507075.1;GCA_050507105.1	13	94.3	99	TRUE	0	13	3
sensitivity_71genome_9locus	GCA_050471105.1;GCA_050480515.1;GCA_050481105.1;GCA_050481115.1;GCA_050481685.1;GCA_050486705.1;GCA_050506725.1;GCA_050506735.1;GCA_050506765.1;GCA_050506825.1;GCA_050516645.1;GCA_050516655.1;GCF_053117665.1	13	100	100	TRUE	1	12	3
primary_72genome_9locus	GCA_050475575.1;GCA_050506685.1;GCA_050506695.1;GCA_050506815.1;GCA_050506995.1;GCA_050507065.1;GCA_050516665.1;GCA_050516675.1;GCF_053117575.1;GCF_053117655.1;GCF_053117685.1;GCF_053117705.1	12	99	100	TRUE	4	8	3
