action	old_path	new_path	old_size_bytes	new_size_bytes	old_sha256	new_sha256	classification
added		results/figures/hlgr_sensitivity/hlgr_st_proxy_dotplot.png		230693		9c7b949b1321d37d7fd53761e91639dd70a9843a3380c0068cd08bc9b4b86bf1	canonical
added		scripts/00_setup/compare_repository_manifests.py		6099		b497410c2aaa6448865e70a0342fadcd3ca0c786c80811bf970e58a06a3a9a88	canonical
added		scripts/08_hlgr_sensitivity/plot_st_proxy_dotplot.py		3909		f6af37e149bc8348594590ef672ae7b02e8510a4a2aaa867c6b13ef2b76afc55	canonical
modified	.devcontainer/setup-core-environment.sh	.devcontainer/setup-core-environment.sh	1729	1689	9ed65cc128bf23341308a5cf5c6d7bdc2c0d4bdca5900c9baef159a82dfeff30	1d84b632c3d7633715a71cdb0b1493a084a53640044dcdfb5d90f952e01c93e8	canonical
modified	.dockerignore	.dockerignore	197	179	cc0e3c47418075f57d3c43c071ad0869d7252849fa3ab541245dc55f782e304d	a8d3edfb2e6415be88e495e4b8f820e4e8421c0b96dc1a2e0cde527f941a2207	canonical
modified	.gitignore	.gitignore	3175	1939	b3f951266e64a70b9b8c1dc4b96bc28c412f0b4d3c38fad61de042564e2af95f	ad7224a856ab991bc7fa33f140e894a307f9ab2e596a7bb54e174aa90f899216	canonical
modified	README.md	README.md	8286	8333	eee94c7ad1f1b05720b6cc09d86b72f258d3452088808d947ed1104d34167abc	09916eae18339922ed66f13e83e4c1ad9f0ca6b9c5e7a8c9bbdc09f7aff9ae0b	canonical
modified	results/figures/phylogeny_72_genomes_9_locus_observed_indels/pca/pca_pc1_pc2.pdf	results/figures/phylogeny_72_genomes_9_locus_observed_indels/pca/pca_pc1_pc2.pdf	6913	6905	9273e8b21398fcc9ed43830a952a757b26fa86832cfd2ffcb8f337ede2799865	fdcfe35b2c72d07537b8c7bc7831a4ad3fa54c71beaaa7a9d3b05a1932aca5d4	canonical
modified	results/figures/phylogeny_72_genomes_9_locus_observed_indels/pca/pca_pc1_pc2.png	results/figures/phylogeny_72_genomes_9_locus_observed_indels/pca/pca_pc1_pc2.png	133557	102233	6220a60528b562236f6887770fa0bcf965d9155e54617432bade3310d797cb3e	376798831bb89e2b090f39f968f2b7ffb73c475a35a3b3416359a3cb20fa6097	canonical
modified	results/figures/phylogeny_72_genomes_9_locus_observed_indels/pca/pca_pc1_pc3.pdf	results/figures/phylogeny_72_genomes_9_locus_observed_indels/pca/pca_pc1_pc3.pdf	6963	6957	20706c7818ed748a9febdaa09bc81a2af682749ae8d9870140924cd537ce7910	a622cedce944acc238cd8a0f725ea1a23624bc3b6462e3da33cc26a80dc6107a	canonical
modified	results/figures/phylogeny_72_genomes_9_locus_observed_indels/pca/pca_pc1_pc3.png	results/figures/phylogeny_72_genomes_9_locus_observed_indels/pca/pca_pc1_pc3.png	136023	103388	a488b8c9889b1ce922e168ebf1d5a1b6d0992b69954dd1dab23c6f7f71adee76	0381c1eb9550da38bade32e6013c61bed002d29fe2ecf9f90975cb6cad0a5e28	canonical
modified	scripts/00_setup/setup_project.R	scripts/00_setup/setup_project.R	920	890	20e02266cac520d92c9985203284b64b9429b3e77a95fd557394d0ad7ba04c24	2f51c50f7b6b70b765b5710bca0cec2f837104877703645ac179bcbb33cc002b	canonical
modified	scripts/06_phylogenomics/10_plot_alignment_pca.R	scripts/06_phylogenomics/10_plot_alignment_pca.R	4870	2956	c2311b4d5fafad6a88382f08825866c5297ec6d0b51d8f914f634c22b53da778	10a97590e75db04034184cc2c6447163af95aaed6d8c32806f04b80c0c7d2b2e	canonical
