Target_gene,Detection_status,Genome_count
ace,accepted_present,72
asa1_or_validated_equivalent,accepted_present,43
asa1_or_validated_equivalent,ambiguous_multiple_hit,11
asa1_or_validated_equivalent,flagged_partial,4
asa1_or_validated_equivalent,not_detected,14
cylA,accepted_present,33
cylA,ambiguous_multiple_hit,1
cylA,not_detected,38
ebpA,accepted_present,72
ebpB,accepted_present,72
ebpC,accepted_present,72
efaA,accepted_present,72
esp,accepted_present,33
esp,not_detected,39
gelE,accepted_present,59
gelE,flagged_partial,1
gelE,not_detected,12
sprE,accepted_present,60
sprE,not_detected,12
