ST,Genome_count,Reproductive_count,Bacteraemia_count,ace_count,ace_percent,efaA_count,efaA_percent,ebpA_count,ebpA_percent,ebpB_count,ebpB_percent,ebpC_count,ebpC_percent,aggregation_substance_family_detected_count,aggregation_substance_family_detected_percent,asa1_specific_count,asa1_specific_percent,gelE_count,gelE_percent,sprE_count,sprE_percent,esp_count,esp_percent,cylA_count,cylA_percent,Ebp_operon_complete_count,Ebp_operon_complete_percent
16,7,1,6,7,100,7,100,7,100,7,100,7,100,7,100,0,0,1,14.29,1,14.29,5,71.43,6,85.71,7,100
179,12,4,8,12,100,12,100,12,100,12,100,12,100,12,100,1,8.33,11,91.67,11,91.67,11,91.67,12,100,12,100
19,5,1,4,5,100,5,100,5,100,5,100,5,100,1,20,0,0,5,100,5,100,4,80,1,20,5,100
21,2,0,2,2,100,2,100,2,100,2,100,2,100,0,0,0,0,1,50,2,100,0,0,0,0,2,100
220,2,0,2,2,100,2,100,2,100,2,100,2,100,2,100,0,0,2,100,2,100,0,0,2,100,2,100
40,11,1,10,11,100,11,100,11,100,11,100,11,100,7,63.64,6,54.55,10,90.91,10,90.91,6,54.55,2,18.18,11,100
44,2,2,0,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,2,100,0,0,2,100,2,100
480,3,1,2,3,100,3,100,3,100,3,100,3,100,3,100,2,66.67,0,0,0,0,1,33.33,0,0,3,100
6,13,0,13,13,100,13,100,13,100,13,100,13,100,13,100,0,0,13,100,13,100,0,0,4,30.77,13,100
778,2,0,2,2,100,2,100,2,100,2,100,2,100,2,100,0,0,2,100,2,100,2,100,2,100,2,100
Unassigned,3,0,3,3,100,3,100,3,100,3,100,3,100,3,100,0,0,2,66.67,2,66.67,0,0,1,33.33,3,100
