Target_gene,Detection_status,Genome_count
ace,accepted_present,72
aggregation_substance_family_detected,accepted_present,58
aggregation_substance_family_detected,not_detected,14
asa1_specific,accepted_present,13
asa1_specific,flagged_partial,4
asa1_specific,not_detected,14
asa1_specific,review_required,41
cylA,accepted_present,34
cylA,not_detected,38
ebpA,accepted_present,72
ebpB,accepted_present,72
ebpC,accepted_present,72
efaA,accepted_present,72
esp,accepted_present,33
esp,not_detected,39
gelE,accepted_present,59
gelE,flagged_partial,1
gelE,not_detected,12
sprE,accepted_present,60
sprE,not_detected,12
