genome_accession	source	ST	BioProject	AMR_gene	carrying_replicon	chromosome_plasmid_status	replicon_description	carrying_replicon_length_bp	plasmid_name	plasmid_length_bp	other_AMR_genes_on_replicon	other_AMR_genes_on_plasmid	evidence_used
GCA_050469755.1	Bacteraemia	6	PRJNA1185791	aac(6')-Ie/aph(2'')-Ia	CP175101.1	Chromosome	chromosome	3037128			dfrF;gyrA_S83I;lsa(A);parC_S80I;tet(M)		Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome
GCA_050472745.1	Bacteraemia	6	PRJNA1185791	aac(6')-Ie/aph(2'')-Ia	CP175062.1	Chromosome	chromosome	3118646			dfrF;gyrA_S83I;lsa(A);parC_S80I;tet(M)		Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome
GCA_050473905.1	Bacteraemia	6	PRJNA1185791	aac(6')-Ie/aph(2'')-Ia	CP175056.1	Chromosome	chromosome	3104972			ant(6)-Ia;aph(3')-IIIa;dfrF;erm(B);gyrA_S83I;lsa(A);parC_S80I;sat4;tet(M)		Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome
GCA_050481695.1	Bacteraemia	6	PRJNA1185791	aac(6')-Ie/aph(2'')-Ia	CP174921.1	Chromosome	chromosome	3187783			dfrF;gyrA_S83I;lsa(A);parC_S80I;rpsJ_RATHK53Q;tet(M)		Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome
GCA_050482265.1	Bacteraemia	6	PRJNA1185791	aac(6')-Ie/aph(2'')-Ia	CP174914.1	Chromosome	chromosome	3187794			dfrF;gyrA_S83I;lsa(A);parC_S80I;rpsJ_RATHK53Q;tet(M)		Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome
GCA_050485045.1	Bacteraemia	6	PRJNA1185791	aac(6')-Ie/aph(2'')-Ia	CP174869.1	Chromosome	chromosome	3260673			dfrF;gyrA_S83I;lsa(A);parC_S80I;tet(M)		Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome
GCA_050485625.1	Bacteraemia	6	PRJNA1185791	aac(6')-Ie/aph(2'')-Ia	CP174859.1	Chromosome	chromosome	3276744			dfrF;gyrA_S83I;lsa(A);parC_S80I;tet(M)		Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome
GCA_050492125.1	Bacteraemia	6	PRJNA1185791	aac(6')-Ie/aph(2'')-Ia	CP175110.1	Chromosome	chromosome	2988292			dfrF;gyrA_S83I;lsa(A);parC_S80I;tet(M)		Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome
GCA_050492135.1	Bacteraemia	6	PRJNA1185791	aac(6')-Ie/aph(2'')-Ia	CP175106.1	Chromosome	chromosome	3022894			dfrF;gyrA_S83I;lsa(A);parC_S80I;tet(M)		Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome
GCA_050506745.1	Bacteraemia	6	PRJNA1185791	aac(6')-Ie/aph(2'')-Ia	CP175276.1	Chromosome	chromosome	3111171			dfrF;gyrA_S83I;lsa(A);parC_S80I;tet(M);vanB;vanH-B;vanR-B;vanS-B;vanW-B;vanX-B;vanY-B		Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome
GCA_050506755.1	Bacteraemia	6	PRJNA1185791	aac(6')-Ie/aph(2'')-Ia	CP175273.1	Chromosome	chromosome	3109149			dfrF;gyrA_S83I;lsa(A);parC_S80I;tet(M);vanB;vanH-B;vanR-B;vanS-B;vanW-B;vanX-B;vanY-B		Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome
GCA_050507075.1	Bacteraemia	6	PRJNA1185791	aac(6')-Ie/aph(2'')-Ia	CP175221.1	Chromosome	chromosome	3154081			dfrF;gyrA_S83I;lsa(A);parC_S80I;tet(M)		Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome
GCA_050507105.1	Bacteraemia	6	PRJNA1185791	aac(6')-Ie/aph(2'')-Ia	CP175219.1	Chromosome	chromosome	3154091			dfrF;gyrA_S83I;lsa(A);parC_S80I;tet(M)		Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome
