sample_id	loci_evaluated	pass_count	review_count	fail_count	review_loci	failed_loci	assembly_qc_status	multiple_suspicious_loci
GCA_029011255.1	7	7	0	0			PASS	false
GCA_029011395.1	7	7	0	0			PASS	false
GCA_029011535.1	7	6	1	0	gdh		REVIEW	false
GCA_029011745.1	7	7	0	0			PASS	false
GCA_050469755.1	7	7	0	0			PASS	false
GCA_050471105.1	7	7	0	0			PASS	false
GCA_050472745.1	7	7	0	0			PASS	false
GCA_050472755.1	7	7	0	0			PASS	false
GCA_050473345.1	7	7	0	0			PASS	false
GCA_050473355.1	7	7	0	0			PASS	false
GCA_050473905.1	7	7	0	0			PASS	false
GCA_050474485.1	7	7	0	0			PASS	false
GCA_050474495.1	7	7	0	0			PASS	false
GCA_050475565.1	7	7	0	0			PASS	false
GCA_050475575.1	7	7	0	0			PASS	false
GCA_050476085.1	7	7	0	0			PASS	false
GCA_050480515.1	7	7	0	0			PASS	false
GCA_050481105.1	7	7	0	0			PASS	false
GCA_050481115.1	7	7	0	0			PASS	false
GCA_050481685.1	7	7	0	0			PASS	false
GCA_050481695.1	7	7	0	0			PASS	false
GCA_050482265.1	7	7	0	0			PASS	false
GCA_050485045.1	7	7	0	0			PASS	false
GCA_050485055.1	7	7	0	0			PASS	false
GCA_050485625.1	7	7	0	0			PASS	false
GCA_050485635.1	7	7	0	0			PASS	false
GCA_050486705.1	7	7	0	0			PASS	false
GCA_050486715.1	7	7	0	0			PASS	false
GCA_050491675.1	7	7	0	0			PASS	false
GCA_050491685.1	7	7	0	0			PASS	false
GCA_050492125.1	7	7	0	0			PASS	false
GCA_050492135.1	7	7	0	0			PASS	false
GCA_050505635.1	7	7	0	0			PASS	false
GCA_050505645.1	7	7	0	0			PASS	false
GCA_050506665.1	7	7	0	0			PASS	false
GCA_050506675.1	7	7	0	0			PASS	false
GCA_050506685.1	7	7	0	0			PASS	false
GCA_050506695.1	7	7	0	0			PASS	false
GCA_050506725.1	7	7	0	0			PASS	false
GCA_050506735.1	7	7	0	0			PASS	false
GCA_050506745.1	7	7	0	0			PASS	false
GCA_050506755.1	7	7	0	0			PASS	false
GCA_050506765.1	7	7	0	0			PASS	false
GCA_050506775.1	7	7	0	0			PASS	false
GCA_050506815.1	7	7	0	0			PASS	false
GCA_050506825.1	7	7	0	0			PASS	false
GCA_050506865.1	7	7	0	0			PASS	false
GCA_050506875.1	7	7	0	0			PASS	false
GCA_050506885.1	7	7	0	0			PASS	false
GCA_050506905.1	7	7	0	0			PASS	false
GCA_050506915.1	7	7	0	0			PASS	false
GCA_050506925.1	7	7	0	0			PASS	false
GCA_050506935.1	7	7	0	0			PASS	false
GCA_050506985.1	7	7	0	0			PASS	false
GCA_050506995.1	7	7	0	0			PASS	false
GCA_050507065.1	7	7	0	0			PASS	false
GCA_050507075.1	7	7	0	0			PASS	false
GCA_050507105.1	7	7	0	0			PASS	false
GCA_050516645.1	7	7	0	0			PASS	false
GCA_050516655.1	7	7	0	0			PASS	false
GCA_050516665.1	7	7	0	0			PASS	false
GCA_050516675.1	7	7	0	0			PASS	false
GCF_049262565.1	7	7	0	0			PASS	false
GCF_053117575.1	7	7	0	0			PASS	false
GCF_053117585.1	7	7	0	0			PASS	false
GCF_053117655.1	7	7	0	0			PASS	false
GCF_053117665.1	7	7	0	0			PASS	false
GCF_053117675.1	7	7	0	0			PASS	false
GCF_053117685.1	7	7	0	0			PASS	false
GCF_053117695.1	7	7	0	0			PASS	false
GCF_053117705.1	7	7	0	0			PASS	false
GCF_906464925.1	7	7	0	0			PASS	false
