sample_id	canonical_gene	best_allele	percent_identity	whole_locus_query_coverage	pubmlst_allele_coverage	alignment_length_nt	gaps	mismatches	query_length_nt	allele_length_nt	query_start	query_end	allele_start	allele_end	evalue	bitscore	qc_status	failure_code
GCA_029011255.1	gdh	gdh_15	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_029011395.1	gdh	gdh_13	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_029011535.1	gdh	gdh_1	1.0	0.35618279569892475	1.0	530	0	0	1488	530	754	1283	1	530	0.0	957	PASS	
GCA_029011745.1	gdh	gdh_13	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050469755.1	gdh	gdh_12	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050471105.1	gdh	gdh_3	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050472745.1	gdh	gdh_12	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050472755.1	gdh	gdh_18	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050473345.1	gdh	gdh_1	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050473355.1	gdh	gdh_1	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050473905.1	gdh	gdh_12	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050474485.1	gdh	gdh_8	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050474495.1	gdh	gdh_12	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050475565.1	gdh	gdh_4	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050475575.1	gdh	gdh_5	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050476085.1	gdh	gdh_1	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050480515.1	gdh	gdh_3	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050481105.1	gdh	gdh_3	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050481115.1	gdh	gdh_3	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050481685.1	gdh	gdh_3	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050481695.1	gdh	gdh_12	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050482265.1	gdh	gdh_12	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050485045.1	gdh	gdh_12	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050485055.1	gdh	gdh_5	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050485625.1	gdh	gdh_12	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050485635.1	gdh	gdh_8	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050486705.1	gdh	gdh_3	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050486715.1	gdh	gdh_5	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050491675.1	gdh	gdh_1	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050491685.1	gdh	gdh_1	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050492125.1	gdh	gdh_12	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050492135.1	gdh	gdh_12	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050505635.1	gdh	gdh_5	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050505645.1	gdh	gdh_5	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050506665.1	gdh	gdh_5	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050506675.1	gdh	gdh_5	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050506685.1	gdh	gdh_5	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050506695.1	gdh	gdh_5	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050506725.1	gdh	gdh_3	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050506735.1	gdh	gdh_3	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050506745.1	gdh	gdh_12	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050506755.1	gdh	gdh_12	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050506765.1	gdh	gdh_3	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050506775.1	gdh	gdh_14	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
GCA_050506815.1	gdh	gdh_5	1.0	0.34776902887139105	1.0	530	0	0	1524	530	754	1283	1	530	0.0	957	PASS	
