Raw_record_ID,Raw_row_in_file,Genome,Source,Gene,Method,Class,Subclass,Contig_ID,Coverage_reference_percent,Identity_reference_percent,Start,Stop,Strand
GCA_050469755.1:1,1,GCA_050469755.1,Bacteraemia,parC_S80I,POINTX,QUINOLONE,QUINOLONE,CP175101.1,100,99.76,506933,509392,-
GCA_050469755.1:2,2,GCA_050469755.1,Bacteraemia,dfrF,EXACTX,TRIMETHOPRIM,TRIMETHOPRIM,CP175101.1,100,100,698525,699016,-
GCA_050469755.1:3,3,GCA_050469755.1,Bacteraemia,dfrF,EXACTX,TRIMETHOPRIM,TRIMETHOPRIM,CP175101.1,100,100,1410705,1411196,-
GCA_050469755.1:4,4,GCA_050469755.1,Bacteraemia,lsa(A),EXACTX,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,CP175101.1,100,100,1457268,1458761,-
GCA_050469755.1:5,5,GCA_050469755.1,Bacteraemia,tet(M),EXACTX,TETRACYCLINE,TETRACYCLINE,CP175101.1,100,100,1917212,1919128,+
GCA_050469755.1:6,6,GCA_050469755.1,Bacteraemia,gyrA_S83I,POINTX,QUINOLONE,QUINOLONE,CP175101.1,100,99.76,2066124,2068622,+
GCA_050469755.1:7,7,GCA_050469755.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175101.1,100,100,2625462,2626898,+
GCA_050471105.1:1,1,GCA_050471105.1,Bacteraemia,lsa(A),BLASTX,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,CP175093.1,100,99.6,1317527,1319020,-
GCA_050471105.1:2,2,GCA_050471105.1,Bacteraemia,tet(M),EXACTX,TETRACYCLINE,TETRACYCLINE,CP175093.1,100,100,1980154,1982070,-
GCA_050472745.1:1,1,GCA_050472745.1,Bacteraemia,ant(6)-Ia,EXACTX,AMINOGLYCOSIDE,STREPTOMYCIN,CP175061.1,100,100,768,1673,+
GCA_050472745.1:2,2,GCA_050472745.1,Bacteraemia,sat4,EXACTX,STREPTOTHRICIN,STREPTOTHRICIN,CP175061.1,100,100,1673,2212,+
GCA_050472745.1:3,3,GCA_050472745.1,Bacteraemia,aph(3')-IIIa,EXACTX,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,CP175061.1,100,100,2308,3099,+
GCA_050472745.1:4,4,GCA_050472745.1,Bacteraemia,erm(B),EXACTX,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B,CP175061.1,100,100,64073,64807,+
GCA_050472745.1:5,5,GCA_050472745.1,Bacteraemia,gyrA_S83I,POINTX,QUINOLONE,QUINOLONE,CP175062.1,100,99.76,6616,9114,+
GCA_050472745.1:6,6,GCA_050472745.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175062.1,100,100,578420,579856,+
GCA_050472745.1:7,7,GCA_050472745.1,Bacteraemia,tet(M),EXACTX,TETRACYCLINE,TETRACYCLINE,CP175062.1,100,100,824687,826603,-
GCA_050472745.1:8,8,GCA_050472745.1,Bacteraemia,parC_S80I,POINTX,QUINOLONE,QUINOLONE,CP175062.1,100,99.63,1859834,1862293,-
GCA_050472745.1:9,9,GCA_050472745.1,Bacteraemia,dfrF,EXACTX,TRIMETHOPRIM,TRIMETHOPRIM,CP175062.1,100,100,2050096,2050587,-
GCA_050472745.1:10,10,GCA_050472745.1,Bacteraemia,dfrF,EXACTX,TRIMETHOPRIM,TRIMETHOPRIM,CP175062.1,100,100,2764053,2764544,-
GCA_050472745.1:11,11,GCA_050472745.1,Bacteraemia,lsa(A),EXACTX,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,CP175062.1,100,100,2810616,2812109,-
GCA_050472745.1:12,12,GCA_050472745.1,Bacteraemia,tet(M),EXACTX,TETRACYCLINE,TETRACYCLINE,CP175062.1,100,100,2976349,2978265,+
GCA_050472755.1:1,1,GCA_050472755.1,Bacteraemia,erm(B),EXACTX,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B,CP175059.1,100,100,2246,2980,+
GCA_050472755.1:2,2,GCA_050472755.1,Bacteraemia,tet(M),EXACTX,TETRACYCLINE,TETRACYCLINE,CP175059.1,100,100,26764,28680,+
GCA_050472755.1:3,3,GCA_050472755.1,Bacteraemia,tet(L),EXACTX,TETRACYCLINE,TETRACYCLINE,CP175059.1,100,100,28877,30250,+
GCA_050472755.1:4,4,GCA_050472755.1,Bacteraemia,erm(B),EXACTX,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B,CP175059.1,100,100,39960,40694,+
GCA_050472755.1:5,5,GCA_050472755.1,Bacteraemia,gyrA_S83Y,POINTX,QUINOLONE,QUINOLONE,CP175060.1,100,99.64,6617,9115,+
GCA_050472755.1:6,6,GCA_050472755.1,Bacteraemia,dfrG,EXACTX,TRIMETHOPRIM,TRIMETHOPRIM,CP175060.1,100,100,1067176,1067670,-
GCA_050472755.1:7,7,GCA_050472755.1,Bacteraemia,parC_S80I,POINTX,QUINOLONE,QUINOLONE,CP175060.1,100,99.76,1344535,1346994,-
GCA_050472755.1:8,8,GCA_050472755.1,Bacteraemia,lsa(A),BLASTX,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,CP175060.1,100,99.6,2201532,2203025,-
GCA_050473345.1:1,1,GCA_050473345.1,Bacteraemia,lsa(A),BLASTX,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,CP175058.1,100,99,706609,708102,+
GCA_050473355.1:10,10,GCA_050473355.1,Bacteraemia,lsa(A),BLASTX,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,CP175057.1,100,99.2,2273627,2275120,-
GCA_050473355.1:11,11,GCA_050473355.1,Bacteraemia,tet(M),EXACTX,TETRACYCLINE,TETRACYCLINE,CP175057.1,100,100,2818968,2820884,+
GCA_050473905.1:1,1,GCA_050473905.1,Bacteraemia,erm(B),EXACTX,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B,CP175054.1,100,100,11460,12194,-
GCA_050473905.1:2,2,GCA_050473905.1,Bacteraemia,catA,EXACTX,PHENICOL,CHLORAMPHENICOL,CP175054.1,100,100,15602,16246,+
GCA_050473905.1:3,3,GCA_050473905.1,Bacteraemia,gyrA_S83I,POINTX,QUINOLONE,QUINOLONE,CP175056.1,100,99.76,6616,9114,+
GCA_050473905.1:4,4,GCA_050473905.1,Bacteraemia,dfrF,EXACTX,TRIMETHOPRIM,TRIMETHOPRIM,CP175056.1,100,100,1166664,1167155,+
GCA_050473905.1:5,5,GCA_050473905.1,Bacteraemia,parC_S80I,POINTX,QUINOLONE,QUINOLONE,CP175056.1,100,99.76,1354936,1357395,+
GCA_050473905.1:6,6,GCA_050473905.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175056.1,100,100,2326702,2328138,-
GCA_050473905.1:7,7,GCA_050473905.1,Bacteraemia,aph(3')-IIIa,EXACTX,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,CP175056.1,100,100,2358888,2359679,-
GCA_050473905.1:8,8,GCA_050473905.1,Bacteraemia,sat4,EXACTX,STREPTOTHRICIN,STREPTOTHRICIN,CP175056.1,100,100,2359775,2360314,-
GCA_050473905.1:9,9,GCA_050473905.1,Bacteraemia,ant(6)-Ia,EXACTX,AMINOGLYCOSIDE,STREPTOMYCIN,CP175056.1,100,100,2360314,2361219,-
GCA_050473905.1:10,10,GCA_050473905.1,Bacteraemia,erm(B),EXACTX,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B,CP175056.1,100,100,2364481,2365215,-
GCA_050473905.1:11,11,GCA_050473905.1,Bacteraemia,dfrF,EXACTX,TRIMETHOPRIM,TRIMETHOPRIM,CP175056.1,100,100,2452903,2453394,-
GCA_050473905.1:12,12,GCA_050473905.1,Bacteraemia,lsa(A),EXACTX,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,CP175056.1,100,100,2499466,2500959,-
GCA_050473905.1:13,13,GCA_050473905.1,Bacteraemia,tet(M),EXACTX,TETRACYCLINE,TETRACYCLINE,CP175056.1,100,100,2665194,2667110,+
GCA_050473905.1:14,14,GCA_050473905.1,Bacteraemia,tet(M),EXACTX,TETRACYCLINE,TETRACYCLINE,CP175056.1,100,100,2977442,2979358,+
GCA_050474485.1:1,1,GCA_050474485.1,Bacteraemia,lsa(A),BLASTX,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,CP175046.1,100,99.2,2259998,2261491,-
GCA_050474495.1:1,1,GCA_050474495.1,Bacteraemia,erm(B),EXACTX,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B,CP175042.1,100,100,36691,37425,-
GCA_050474495.1:2,2,GCA_050474495.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175042.1,100,100,46803,48239,+
GCA_050474495.1:3,3,GCA_050474495.1,Bacteraemia,lsa(A),BLASTX,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,CP175045.1,100,98.8,100668,102161,+
GCA_050474495.1:4,4,GCA_050474495.1,Bacteraemia,parC_S80I,POINTX,QUINOLONE,QUINOLONE,CP175045.1,100,99.63,1094042,1096501,+
GCA_050474495.1:5,5,GCA_050474495.1,Bacteraemia,gyrA_S83I,POINTX,QUINOLONE,QUINOLONE,CP175045.1,100,99.76,2664315,2666813,-
GCA_050474495.1:6,6,GCA_050474495.1,Bacteraemia,tet(M),EXACTX,TETRACYCLINE,TETRACYCLINE,CP175045.1,100,100,3136298,3138214,-
GCA_050475565.1:1,1,GCA_050475565.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175029.1,100,100,38342,39778,+
GCA_050475565.1:2,2,GCA_050475565.1,Bacteraemia,gyrA_S83I,POINTX,QUINOLONE,QUINOLONE,CP175030.1,100,99.76,6617,9115,+
GCA_050475565.1:3,3,GCA_050475565.1,Bacteraemia,erm(B),EXACTX,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B,CP175030.1,100,100,288599,289333,+
GCA_050475565.1:4,4,GCA_050475565.1,Bacteraemia,lsa(A),EXACTX,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,CP175030.1,100,100,662390,663883,+
GCA_050475565.1:5,5,GCA_050475565.1,Bacteraemia,parC_S80I,POINTX,QUINOLONE,QUINOLONE,CP175030.1,100,99.76,1517110,1519569,+
GCA_050475565.1:6,6,GCA_050475565.1,Bacteraemia,tet(M),EXACTX,TETRACYCLINE,TETRACYCLINE,CP175030.1,100,100,3049312,3051228,+
GCA_050475575.1:1,1,GCA_050475575.1,Bacteraemia,tet(M),BLASTX,TETRACYCLINE,TETRACYCLINE,CP175027.1,100,99.84,888163,890079,+
GCA_050475575.1:2,2,GCA_050475575.1,Bacteraemia,erm(B),EXACTX,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B,CP175027.1,100,100,1576626,1577360,-
GCA_050475575.1:4,4,GCA_050475575.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175027.1,100,100,1582612,1584048,-
GCA_050475575.1:5,5,GCA_050475575.1,Bacteraemia,lsa(A),BLASTX,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,CP175027.1,100,99,2460282,2461775,-
GCA_050476085.1:2,2,GCA_050476085.1,Bacteraemia,lsa(A),BLASTX,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,CP175020.1,100,99.2,2444710,2446203,-
GCA_050480515.1:1,1,GCA_050480515.1,Bacteraemia,lsa(A),BLASTX,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,CP174930.1,100,99.6,1353122,1354615,-
GCA_050480515.1:2,2,GCA_050480515.1,Bacteraemia,tet(M),EXACTX,TETRACYCLINE,TETRACYCLINE,CP174930.1,100,100,2199724,2201640,+
GCA_050481105.1:1,1,GCA_050481105.1,Bacteraemia,lsa(A),BLASTX,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,CP174928.1,100,99.6,593496,594989,+
GCA_050481105.1:2,2,GCA_050481105.1,Bacteraemia,tet(M),EXACTX,TETRACYCLINE,TETRACYCLINE,CP174928.1,100,100,2720597,2722513,-
GCA_050481115.1:1,1,GCA_050481115.1,Bacteraemia,lsa(A),BLASTX,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,CP174925.1,100,99.6,2300150,2301643,-
