dataset,genome_id,functional_amr_hit_count,unique_amr_gene_count,amr_genes_present,amr_drug_classes,amr_drug_subclasses,exact_exactx_hit_count,blastx_hit_count,partialx_hit_count,other_hit_count,low_coverage_functional_hit_count,streptogramin_lincosamide_gene_count,streptogramin_lincosamide_genes,tetracycline_gene_count,tetracycline_genes,aminoglycoside_gene_count,aminoglycoside_genes,gentamicin_related_gene_count,gentamicin_related_genes,internal_stop_hit_count,internal_stop_genes
Bacteraemia,,471,58,GCA_050469755.1; GCA_050471105.1; GCA_050472745.1; GCA_050472755.1; GCA_050473345.1; GCA_050473355.1; GCA_050473905.1; GCA_050474485.1; GCA_050474495.1; GCA_050475565.1; GCA_050475575.1; GCA_050476085.1; GCA_050480515.1; GCA_050481105.1; GCA_050481115.1; GCA_050481685.1; GCA_050481695.1; GCA_050482265.1; GCA_050485045.1; GCA_050485055.1; GCA_050485625.1; GCA_050485635.1; GCA_050486705.1; GCA_050486715.1; GCA_050491675.1; GCA_050491685.1; GCA_050492125.1; GCA_050492135.1; GCA_050505635.1; GCA_050505645.1; GCA_050506665.1; GCA_050506675.1; GCA_050506685.1; GCA_050506695.1; GCA_050506725.1; GCA_050506735.1; GCA_050506745.1; GCA_050506755.1; GCA_050506765.1; GCA_050506775.1; GCA_050506815.1; GCA_050506825.1; GCA_050506865.1; GCA_050506875.1; GCA_050506885.1; GCA_050506905.1; GCA_050506915.1; GCA_050506925.1; GCA_050506935.1; GCA_050506985.1; GCA_050506995.1; GCA_050507065.1; GCA_050507075.1; GCA_050507105.1; GCA_050516645.1; GCA_050516655.1; GCA_050516665.1; GCA_050516675.1,AMINOGLYCOSIDE; ARSENIC; BACITRACIN; BLEOMYCIN; COPPER; GLYCOPEPTIDE; LINCOSAMIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; PHENICOL; QUATERNARY AMMONIUM; QUINOLONE; STREPTOTHRICIN; TETRACYCLINE; TRIMETHOPRIM,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN; AMIKACIN/KANAMYCIN; AMINOGLYCOSIDE; ARSENITE; BACITRACIN; BLEOMYCIN; CHLORAMPHENICOL; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; COPPER; KANAMYCIN/TOBRAMYCIN; LINCOSAMIDE; LINCOSAMIDE/STREPTOGRAMIN; QUATERNARY AMMONIUM; QUINOLONE; STREPTOMYCIN; STREPTOTHRICIN; TETRACYCLINE; TIGECYCLINE; TRIMETHOPRIM; VANCOMYCIN,305,104,20,42,0,58,GCA_050469755.1; GCA_050471105.1; GCA_050472745.1; GCA_050472755.1; GCA_050473345.1; GCA_050473355.1; GCA_050473905.1; GCA_050474485.1; GCA_050474495.1; GCA_050475565.1; GCA_050475575.1; GCA_050476085.1; GCA_050480515.1; GCA_050481105.1; GCA_050481115.1; GCA_050481685.1; GCA_050481695.1; GCA_050482265.1; GCA_050485045.1; GCA_050485055.1; GCA_050485625.1; GCA_050485635.1; GCA_050486705.1; GCA_050486715.1; GCA_050491675.1; GCA_050491685.1; GCA_050492125.1; GCA_050492135.1; GCA_050505635.1; GCA_050505645.1; GCA_050506665.1; GCA_050506675.1; GCA_050506685.1; GCA_050506695.1; GCA_050506725.1; GCA_050506735.1; GCA_050506745.1; GCA_050506755.1; GCA_050506765.1; GCA_050506775.1; GCA_050506815.1; GCA_050506825.1; GCA_050506865.1; GCA_050506875.1; GCA_050506885.1; GCA_050506905.1; GCA_050506915.1; GCA_050506925.1; GCA_050506935.1; GCA_050506985.1; GCA_050506995.1; GCA_050507065.1; GCA_050507075.1; GCA_050507105.1; GCA_050516645.1; GCA_050516655.1; GCA_050516665.1; GCA_050516675.1,44,GCA_050469755.1; GCA_050471105.1; GCA_050472745.1; GCA_050472755.1; GCA_050473355.1; GCA_050473905.1; GCA_050474495.1; GCA_050475565.1; GCA_050475575.1; GCA_050480515.1; GCA_050481105.1; GCA_050481115.1; GCA_050481685.1; GCA_050481695.1; GCA_050482265.1; GCA_050485045.1; GCA_050485055.1; GCA_050485625.1; GCA_050485635.1; GCA_050486705.1; GCA_050486715.1; GCA_050491675.1; GCA_050491685.1; GCA_050492125.1; GCA_050492135.1; GCA_050505635.1; GCA_050505645.1; GCA_050506665.1; GCA_050506675.1; GCA_050506685.1; GCA_050506695.1; GCA_050506745.1; GCA_050506755.1; GCA_050506765.1; GCA_050506815.1; GCA_050506825.1; GCA_050506865.1; GCA_050506905.1; GCA_050506995.1; GCA_050507065.1; GCA_050507075.1; GCA_050507105.1; GCA_050516665.1; GCA_050516675.1,28,GCA_050469755.1; GCA_050472745.1; GCA_050473905.1; GCA_050474495.1; GCA_050475565.1; GCA_050475575.1; GCA_050481695.1; GCA_050482265.1; GCA_050485045.1; GCA_050485055.1; GCA_050485625.1; GCA_050485635.1; GCA_050486705.1; GCA_050491675.1; GCA_050491685.1; GCA_050492125.1; GCA_050492135.1; GCA_050505635.1; GCA_050505645.1; GCA_050506745.1; GCA_050506755.1; GCA_050506815.1; GCA_050506865.1; GCA_050506885.1; GCA_050506905.1; GCA_050507075.1; GCA_050507105.1; GCA_050516665.1,24,GCA_050469755.1; GCA_050472745.1; GCA_050473905.1; GCA_050474495.1; GCA_050475565.1; GCA_050475575.1; GCA_050481695.1; GCA_050482265.1; GCA_050485045.1; GCA_050485055.1; GCA_050485625.1; GCA_050485635.1; GCA_050491675.1; GCA_050491685.1; GCA_050492125.1; GCA_050492135.1; GCA_050506745.1; GCA_050506755.1; GCA_050506815.1; GCA_050506865.1; GCA_050506885.1; GCA_050506905.1; GCA_050507075.1; GCA_050507105.1,2,GCA_050485635.1; GCA_050486715.1
Bacteraemia,amrfinder_all_58,471,58,GCA_050469755.1; GCA_050471105.1; GCA_050472745.1; GCA_050472755.1; GCA_050473345.1; GCA_050473355.1; GCA_050473905.1; GCA_050474485.1; GCA_050474495.1; GCA_050475565.1; GCA_050475575.1; GCA_050476085.1; GCA_050480515.1; GCA_050481105.1; GCA_050481115.1; GCA_050481685.1; GCA_050481695.1; GCA_050482265.1; GCA_050485045.1; GCA_050485055.1; GCA_050485625.1; GCA_050485635.1; GCA_050486705.1; GCA_050486715.1; GCA_050491675.1; GCA_050491685.1; GCA_050492125.1; GCA_050492135.1; GCA_050505635.1; GCA_050505645.1; GCA_050506665.1; GCA_050506675.1; GCA_050506685.1; GCA_050506695.1; GCA_050506725.1; GCA_050506735.1; GCA_050506745.1; GCA_050506755.1; GCA_050506765.1; GCA_050506775.1; GCA_050506815.1; GCA_050506825.1; GCA_050506865.1; GCA_050506875.1; GCA_050506885.1; GCA_050506905.1; GCA_050506915.1; GCA_050506925.1; GCA_050506935.1; GCA_050506985.1; GCA_050506995.1; GCA_050507065.1; GCA_050507075.1; GCA_050507105.1; GCA_050516645.1; GCA_050516655.1; GCA_050516665.1; GCA_050516675.1,AMINOGLYCOSIDE; ARSENIC; BACITRACIN; BLEOMYCIN; COPPER; GLYCOPEPTIDE; LINCOSAMIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; PHENICOL; QUATERNARY AMMONIUM; QUINOLONE; STREPTOTHRICIN; TETRACYCLINE; TRIMETHOPRIM,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN; AMIKACIN/KANAMYCIN; AMINOGLYCOSIDE; ARSENITE; BACITRACIN; BLEOMYCIN; CHLORAMPHENICOL; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; COPPER; KANAMYCIN/TOBRAMYCIN; LINCOSAMIDE; LINCOSAMIDE/STREPTOGRAMIN; QUATERNARY AMMONIUM; QUINOLONE; STREPTOMYCIN; STREPTOTHRICIN; TETRACYCLINE; TIGECYCLINE; TRIMETHOPRIM; VANCOMYCIN,305,104,20,42,0,58,GCA_050469755.1; GCA_050471105.1; GCA_050472745.1; GCA_050472755.1; GCA_050473345.1; GCA_050473355.1; GCA_050473905.1; GCA_050474485.1; GCA_050474495.1; GCA_050475565.1; GCA_050475575.1; GCA_050476085.1; GCA_050480515.1; GCA_050481105.1; GCA_050481115.1; GCA_050481685.1; GCA_050481695.1; GCA_050482265.1; GCA_050485045.1; GCA_050485055.1; GCA_050485625.1; GCA_050485635.1; GCA_050486705.1; GCA_050486715.1; GCA_050491675.1; GCA_050491685.1; GCA_050492125.1; GCA_050492135.1; GCA_050505635.1; GCA_050505645.1; GCA_050506665.1; GCA_050506675.1; GCA_050506685.1; GCA_050506695.1; GCA_050506725.1; GCA_050506735.1; GCA_050506745.1; GCA_050506755.1; GCA_050506765.1; GCA_050506775.1; GCA_050506815.1; GCA_050506825.1; GCA_050506865.1; GCA_050506875.1; GCA_050506885.1; GCA_050506905.1; GCA_050506915.1; GCA_050506925.1; GCA_050506935.1; GCA_050506985.1; GCA_050506995.1; GCA_050507065.1; GCA_050507075.1; GCA_050507105.1; GCA_050516645.1; GCA_050516655.1; GCA_050516665.1; GCA_050516675.1,44,GCA_050469755.1; GCA_050471105.1; GCA_050472745.1; GCA_050472755.1; GCA_050473355.1; GCA_050473905.1; GCA_050474495.1; GCA_050475565.1; GCA_050475575.1; GCA_050480515.1; GCA_050481105.1; GCA_050481115.1; GCA_050481685.1; GCA_050481695.1; GCA_050482265.1; GCA_050485045.1; GCA_050485055.1; GCA_050485625.1; GCA_050485635.1; GCA_050486705.1; GCA_050486715.1; GCA_050491675.1; GCA_050491685.1; GCA_050492125.1; GCA_050492135.1; GCA_050505635.1; GCA_050505645.1; GCA_050506665.1; GCA_050506675.1; GCA_050506685.1; GCA_050506695.1; GCA_050506745.1; GCA_050506755.1; GCA_050506765.1; GCA_050506815.1; GCA_050506825.1; GCA_050506865.1; GCA_050506905.1; GCA_050506995.1; GCA_050507065.1; GCA_050507075.1; GCA_050507105.1; GCA_050516665.1; GCA_050516675.1,28,GCA_050469755.1; GCA_050472745.1; GCA_050473905.1; GCA_050474495.1; GCA_050475565.1; GCA_050475575.1; GCA_050481695.1; GCA_050482265.1; GCA_050485045.1; GCA_050485055.1; GCA_050485625.1; GCA_050485635.1; GCA_050486705.1; GCA_050491675.1; GCA_050491685.1; GCA_050492125.1; GCA_050492135.1; GCA_050505635.1; GCA_050505645.1; GCA_050506745.1; GCA_050506755.1; GCA_050506815.1; GCA_050506865.1; GCA_050506885.1; GCA_050506905.1; GCA_050507075.1; GCA_050507105.1; GCA_050516665.1,24,GCA_050469755.1; GCA_050472745.1; GCA_050473905.1; GCA_050474495.1; GCA_050475565.1; GCA_050475575.1; GCA_050481695.1; GCA_050482265.1; GCA_050485045.1; GCA_050485055.1; GCA_050485625.1; GCA_050485635.1; GCA_050491675.1; GCA_050491685.1; GCA_050492125.1; GCA_050492135.1; GCA_050506745.1; GCA_050506755.1; GCA_050506815.1; GCA_050506865.1; GCA_050506885.1; GCA_050506905.1; GCA_050507075.1; GCA_050507105.1,2,GCA_050485635.1; GCA_050486715.1
Bacteraemia,GCA_050469755.1.,7,1,GCA_050469755.1,AMINOGLYCOSIDE; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; TETRACYCLINE; TRIMETHOPRIM,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; TETRACYCLINE; TRIMETHOPRIM,5,0,0,2,0,1,GCA_050469755.1,1,GCA_050469755.1,1,GCA_050469755.1,1,GCA_050469755.1,0,
Bacteraemia,GCA_050471105.1.,2,1,GCA_050471105.1,LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,1,1,0,0,0,1,GCA_050471105.1,1,GCA_050471105.1,0,,0,,0,
Bacteraemia,GCA_050472745.1.,12,1,GCA_050472745.1,AMINOGLYCOSIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; STREPTOTHRICIN; TETRACYCLINE; TRIMETHOPRIM,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN; AMIKACIN/KANAMYCIN; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; STREPTOMYCIN; STREPTOTHRICIN; TETRACYCLINE; TRIMETHOPRIM,10,0,0,2,0,1,GCA_050472745.1,1,GCA_050472745.1,1,GCA_050472745.1,1,GCA_050472745.1,0,
Bacteraemia,GCA_050472755.1.,8,1,GCA_050472755.1,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; TETRACYCLINE; TRIMETHOPRIM,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; TETRACYCLINE; TRIMETHOPRIM,5,1,0,2,0,1,GCA_050472755.1,1,GCA_050472755.1,0,,0,,0,
Bacteraemia,GCA_050473345.1.,1,1,GCA_050473345.1,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,0,1,0,0,0,1,GCA_050473345.1,0,,0,,0,,0,
Bacteraemia,GCA_050473355.1.,11,1,GCA_050473355.1,ARSENIC; LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,ARSENITE; LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,3,7,1,0,0,1,GCA_050473355.1,1,GCA_050473355.1,0,,0,,0,
Bacteraemia,GCA_050473905.1.,14,1,GCA_050473905.1,AMINOGLYCOSIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; PHENICOL; QUINOLONE; STREPTOTHRICIN; TETRACYCLINE; TRIMETHOPRIM,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN; AMIKACIN/KANAMYCIN; CHLORAMPHENICOL; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; STREPTOMYCIN; STREPTOTHRICIN; TETRACYCLINE; TRIMETHOPRIM,12,0,0,2,0,1,GCA_050473905.1,1,GCA_050473905.1,1,GCA_050473905.1,1,GCA_050473905.1,0,
Bacteraemia,GCA_050474485.1.,1,1,GCA_050474485.1,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,0,1,0,0,0,1,GCA_050474485.1,0,,0,,0,,0,
