Genome_1,Genome_2,AMR_Jaccard_distance,AMR_Jaccard_similarity,Nine_locus_patristic_distance,ST_pair_evaluable,ST_relationship,Source_relationship,Study_relationship
GCA_029011255.1,GCA_029011395.1,0.5,0.5,0.020246969100000005,TRUE,Different ST,Same source,Same study
GCA_029011255.1,GCA_029011745.1,1,0,0.020246969100000005,TRUE,Different ST,Same source,Same study
GCA_029011255.1,GCA_050475565.1,0.8333333333333334,0.16666666666666663,0.0176276063,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCF_906464925.1,0.9,0.09999999999999998,0.016931192600000002,TRUE,Different ST,Same source,Different study
GCA_029011255.1,GCA_050506775.1,0,1,0.0169496293,FALSE,ST comparison unavailable,Different source,Different study
GCA_029011255.1,GCA_029011535.1,1,0,0.023301315800000007,TRUE,Different ST,Same source,Same study
GCA_029011255.1,GCA_050506915.1,0,1,0.023305888800000008,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050506985.1,0,1,0.023305888800000008,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050506935.1,0,1,0.023305888800000008,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050506925.1,0,1,0.023305888800000008,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050476085.1,0,1,0.020259948600000008,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050473355.1,0.5,0.5,0.019679378700000007,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050473345.1,0,1,0.019813530100000004,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCF_049262565.1,0.5,0.5,0.020403417700000002,TRUE,Different ST,Same source,Different study
GCA_029011255.1,GCA_050474485.1,0,1,0.017516001700000002,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050485635.1,0.9444444444444444,0.05555555555555558,0.015192713200000003,FALSE,ST comparison unavailable,Different source,Different study
GCA_029011255.1,GCA_050469755.1,0.8333333333333334,0.16666666666666663,0.016036210400000004,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050507105.1,0.9,0.09999999999999998,0.016036210400000004,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050481695.1,0.9473684210526316,0.05263157894736836,0.016036210400000004,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050473905.1,0.9090909090909091,0.09090909090909094,0.016036210400000004,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050507075.1,0.9,0.09999999999999998,0.016036210400000004,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050482265.1,0.9473684210526316,0.05263157894736836,0.016036210400000004,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050492135.1,0.9,0.09999999999999998,0.016036210400000004,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050492125.1,0.9,0.09999999999999998,0.016036210400000004,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050506745.1,0.9411764705882353,0.05882352941176472,0.016036210400000004,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050506755.1,0.9285714285714286,0.0714285714285714,0.016036210400000004,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050485045.1,0.9285714285714286,0.0714285714285714,0.016036210400000004,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050472745.1,0.9,0.09999999999999998,0.016036210400000004,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050485625.1,0.9444444444444444,0.05555555555555558,0.016128492700000004,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050506885.1,0.9166666666666666,0.08333333333333337,0.0191574447,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050474495.1,0.8333333333333334,0.16666666666666663,0.019911345700000003,TRUE,Different ST,Different source,Different study
GCA_029011255.1,GCA_050506905.1,0.9166666666666666,0.08333333333333337,0.019911345700000003,TRUE,Different ST,Different source,Different study
