genome_accession	source	ST	BioProject	AMR_gene	AMR_class	AMR_plot_class	AMRFinderPlus_contig_ID	replicon_accession	replicon_description	localisation_classification	evidence_used	replicon_length_bp	replicon_role	sequence_report_path	AMRFinderPlus_raw_record_ID
GCA_029011255.1	Reproductive	165	PRJNA934404	lsa(A)	LINCOSAMIDE/STREPTOGRAMIN	Macrolide/lincosamide	CP118048.1	CP118048.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	2699936	assembled-molecule	local_archive/large_outputs/Efaecalis_14_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_029011255.1/sequence_report.jsonl	GCA_029011255.1:1
GCA_029011395.1	Reproductive	44	PRJNA934404	lsa(A)	LINCOSAMIDE/STREPTOGRAMIN	Macrolide/lincosamide	CP118057.1	CP118057.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	2940442	assembled-molecule	local_archive/large_outputs/Efaecalis_14_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_029011395.1/sequence_report.jsonl	GCA_029011395.1:2
GCA_029011395.1	Reproductive	44	PRJNA934404	tet(M)	TETRACYCLINE	Tetracycline	CP118057.1	CP118057.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	2940442	assembled-molecule	local_archive/large_outputs/Efaecalis_14_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_029011395.1/sequence_report.jsonl	GCA_029011395.1:1
GCA_029011535.1	Reproductive	19	PRJNA934404	tet(S)	TETRACYCLINE	Tetracycline	CP118072.1	CP118072.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	2795902	assembled-molecule	local_archive/large_outputs/Efaecalis_14_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_029011535.1/sequence_report.jsonl	GCA_029011535.1:2
GCA_029011535.1	Reproductive	19	PRJNA934404	erm(B)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	Macrolide/lincosamide	CP118073.1	CP118073.1	pEfVSI19_01	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	70631	assembled-molecule	local_archive/large_outputs/Efaecalis_14_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_029011535.1/sequence_report.jsonl	GCA_029011535.1:3
GCA_029011745.1	Reproductive	44	PRJNA934404	tet(M)	TETRACYCLINE	Tetracycline	CP118085.1	CP118085.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	2984075	assembled-molecule	local_archive/large_outputs/Efaecalis_14_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_029011745.1/sequence_report.jsonl	GCA_029011745.1:1
GCA_050469755.1	Bacteraemia	6	PRJNA1185791	aac(6')-Ie/aph(2'')-Ia	AMINOGLYCOSIDE	Aminoglycoside	CP175101.1	CP175101.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3037128	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050469755.1/sequence_report.jsonl	GCA_050469755.1:7
GCA_050469755.1	Bacteraemia	6	PRJNA1185791	dfrF	TRIMETHOPRIM	Other	CP175101.1	CP175101.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3037128	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050469755.1/sequence_report.jsonl	GCA_050469755.1:2
GCA_050469755.1	Bacteraemia	6	PRJNA1185791	dfrF	TRIMETHOPRIM	Other	CP175101.1	CP175101.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3037128	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050469755.1/sequence_report.jsonl	GCA_050469755.1:3
GCA_050469755.1	Bacteraemia	6	PRJNA1185791	gyrA_S83I	QUINOLONE	Other	CP175101.1	CP175101.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3037128	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050469755.1/sequence_report.jsonl	GCA_050469755.1:6
GCA_050469755.1	Bacteraemia	6	PRJNA1185791	lsa(A)	LINCOSAMIDE/STREPTOGRAMIN	Macrolide/lincosamide	CP175101.1	CP175101.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3037128	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050469755.1/sequence_report.jsonl	GCA_050469755.1:4
GCA_050469755.1	Bacteraemia	6	PRJNA1185791	parC_S80I	QUINOLONE	Other	CP175101.1	CP175101.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3037128	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050469755.1/sequence_report.jsonl	GCA_050469755.1:1
GCA_050469755.1	Bacteraemia	6	PRJNA1185791	tet(M)	TETRACYCLINE	Tetracycline	CP175101.1	CP175101.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3037128	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050469755.1/sequence_report.jsonl	GCA_050469755.1:5
