dataset	assembly_accession	sample_id	contigs	bases	CDS	rRNA	tRNA	tmRNA	prokka_version
bacteraemia	GCA_050469755.1	bacteraemia__GCA_050469755.1	2	3109712	2974	12	60	1	1.15.6
bacteraemia	GCA_050471105.1	bacteraemia__GCA_050471105.1	3	3026355	2895	12	61	1	1.15.6
bacteraemia	GCA_050472745.1	bacteraemia__GCA_050472745.1	2	3185947	3085	12	61	1	1.15.6
bacteraemia	GCA_050472755.1	bacteraemia__GCA_050472755.1	2	2787785	2573	12	59	1	1.15.6
bacteraemia	GCA_050473345.1	bacteraemia__GCA_050473345.1	1	2794695	2593	12	60	1	1.15.6
bacteraemia	GCA_050473355.1	bacteraemia__GCA_050473355.1	1	2841459	2664	12	61	1	1.15.6
bacteraemia	GCA_050473905.1	bacteraemia__GCA_050473905.1	3	3202018	3076	12	61	1	1.15.6
bacteraemia	GCA_050474485.1	bacteraemia__GCA_050474485.1	1	2733050	2528	12	59	1	1.15.6
bacteraemia	GCA_050474495.1	bacteraemia__GCA_050474495.1	4	3423196	3396	11	65	1	1.15.6
bacteraemia	GCA_050475565.1	bacteraemia__GCA_050475565.1	3	3184703	3046	12	66	1	1.15.6
bacteraemia	GCA_050475575.1	bacteraemia__GCA_050475575.1	4	3143107	3043	12	62	1	1.15.6
bacteraemia	GCA_050476085.1	bacteraemia__GCA_050476085.1	4	3019119	2844	12	64	1	1.15.6
bacteraemia	GCA_050480515.1	bacteraemia__GCA_050480515.1	3	3049629	2898	12	60	1	1.15.6
bacteraemia	GCA_050481105.1	bacteraemia__GCA_050481105.1	3	3076926	2926	12	60	1	1.15.6
bacteraemia	GCA_050481115.1	bacteraemia__GCA_050481115.1	2	3047365	2902	12	61	1	1.15.6
bacteraemia	GCA_050481685.1	bacteraemia__GCA_050481685.1	2	3047368	2902	12	61	1	1.15.6
bacteraemia	GCA_050481695.1	bacteraemia__GCA_050481695.1	4	3339275	3272	12	63	1	1.15.6
bacteraemia	GCA_050482265.1	bacteraemia__GCA_050482265.1	4	3339286	3265	12	63	1	1.15.6
bacteraemia	GCA_050485045.1	bacteraemia__GCA_050485045.1	5	3449992	3425	12	62	1	1.15.6
bacteraemia	GCA_050485055.1	bacteraemia__GCA_050485055.1	5	3428711	3445	12	61	1	1.15.6
bacteraemia	GCA_050485625.1	bacteraemia__GCA_050485625.1	3	3370808	3339	12	65	1	1.15.6
bacteraemia	GCA_050485635.1	bacteraemia__GCA_050485635.1	3	3353751	3329	12	65	1	1.15.6
bacteraemia	GCA_050486705.1	bacteraemia__GCA_050486705.1	3	3125665	2992	12	60	1	1.15.6
bacteraemia	GCA_050486715.1	bacteraemia__GCA_050486715.1	1	2786849	2582	12	61	1	1.15.6
bacteraemia	GCA_050491675.1	bacteraemia__GCA_050491675.1	3	2921198	2767	12	59	1	1.15.6
bacteraemia	GCA_050491685.1	bacteraemia__GCA_050491685.1	3	2921198	2764	12	59	1	1.15.6
bacteraemia	GCA_050492125.1	bacteraemia__GCA_050492125.1	3	3177956	3060	12	59	1	1.15.6
bacteraemia	GCA_050492135.1	bacteraemia__GCA_050492135.1	4	3212558	3100	12	59	1	1.15.6
bacteraemia	GCA_050505635.1	bacteraemia__GCA_050505635.1	1	2873527	2660	12	61	1	1.15.6
bacteraemia	GCA_050505645.1	bacteraemia__GCA_050505645.1	1	2873526	2662	12	61	1	1.15.6
bacteraemia	GCA_050506665.1	bacteraemia__GCA_050506665.1	1	2908051	2714	12	62	1	1.15.6
bacteraemia	GCA_050506675.1	bacteraemia__GCA_050506675.1	1	2908051	2714	12	62	1	1.15.6
bacteraemia	GCA_050506685.1	bacteraemia__GCA_050506685.1	2	3116734	2971	12	62	1	1.15.6
bacteraemia	GCA_050506695.1	bacteraemia__GCA_050506695.1	2	3116765	2968	12	62	1	1.15.6
bacteraemia	GCA_050506725.1	bacteraemia__GCA_050506725.1	3	3060487	2905	12	62	1	1.15.6
bacteraemia	GCA_050506735.1	bacteraemia__GCA_050506735.1	3	2999464	2832	12	62	1	1.15.6
bacteraemia	GCA_050506745.1	bacteraemia__GCA_050506745.1	4	3294711	3175	12	59	1	1.15.6
bacteraemia	GCA_050506755.1	bacteraemia__GCA_050506755.1	4	3246088	3125	12	59	1	1.15.6
bacteraemia	GCA_050506765.1	bacteraemia__GCA_050506765.1	3	3027869	2880	12	60	1	1.15.6
bacteraemia	GCA_050506775.1	bacteraemia__GCA_050506775.1	3	3041716	2953	12	64	1	1.15.6
bacteraemia	GCA_050506815.1	bacteraemia__GCA_050506815.1	2	3037470	2907	12	62	1	1.15.6
bacteraemia	GCA_050506825.1	bacteraemia__GCA_050506825.1	1	3017096	2912	12	61	1	1.15.6
bacteraemia	GCA_050506865.1	bacteraemia__GCA_050506865.1	1	2847511	2663	12	62	1	1.15.6
bacteraemia	GCA_050506875.1	bacteraemia__GCA_050506875.1	2	2997920	2870	12	64	1	1.15.6
bacteraemia	GCA_050506885.1	bacteraemia__GCA_050506885.1	4	3235280	3140	12	63	1	1.15.6
bacteraemia	GCA_050506905.1	bacteraemia__GCA_050506905.1	6	3452763	3413	12	66	1	1.15.6
bacteraemia	GCA_050506915.1	bacteraemia__GCA_050506915.1	4	2883716	2763	12	59		1.15.6
bacteraemia	GCA_050506925.1	bacteraemia__GCA_050506925.1	2	2878998	2757	12	59	1	1.15.6
bacteraemia	GCA_050506935.1	bacteraemia__GCA_050506935.1	4	2885024	2765	12	59	1	1.15.6
bacteraemia	GCA_050506985.1	bacteraemia__GCA_050506985.1	2	2878998	2757	12	59	1	1.15.6
bacteraemia	GCA_050506995.1	bacteraemia__GCA_050506995.1	2	2928878	2782	12	60	1	1.15.6
bacteraemia	GCA_050507065.1	bacteraemia__GCA_050507065.1	2	2967455	2810	12	60	1	1.15.6
