Genome,Source,Panaroo_family_count
GCA_029011255.1,Reproductive,2492
GCA_029011395.1,Reproductive,2839
GCA_029011535.1,Reproductive,2828
GCA_029011745.1,Reproductive,2912
GCA_050469755.1,Bacteraemia,2943
GCA_050471105.1,Bacteraemia,2881
GCA_050472745.1,Bacteraemia,3040
GCA_050472755.1,Bacteraemia,2569
GCA_050473345.1,Bacteraemia,2582
GCA_050473355.1,Bacteraemia,2651
GCA_050473905.1,Bacteraemia,3051
GCA_050474485.1,Bacteraemia,2528
GCA_050474495.1,Bacteraemia,3368
GCA_050475565.1,Bacteraemia,3031
GCA_050475575.1,Bacteraemia,3026
GCA_050476085.1,Bacteraemia,2831
GCA_050480515.1,Bacteraemia,2887
GCA_050481105.1,Bacteraemia,2915
GCA_050481115.1,Bacteraemia,2887
GCA_050481685.1,Bacteraemia,2887
GCA_050481695.1,Bacteraemia,3242
GCA_050482265.1,Bacteraemia,3239
GCA_050485045.1,Bacteraemia,3395
GCA_050485055.1,Bacteraemia,3398
GCA_050485625.1,Bacteraemia,3306
GCA_050485635.1,Bacteraemia,3294
GCA_050486705.1,Bacteraemia,2963
GCA_050486715.1,Bacteraemia,2579
GCA_050491675.1,Bacteraemia,2747
GCA_050491685.1,Bacteraemia,2744
GCA_050492125.1,Bacteraemia,3038
GCA_050492135.1,Bacteraemia,3079
GCA_050505635.1,Bacteraemia,2656
GCA_050505645.1,Bacteraemia,2657
GCA_050506665.1,Bacteraemia,2707
GCA_050506675.1,Bacteraemia,2707
GCA_050506685.1,Bacteraemia,2957
GCA_050506695.1,Bacteraemia,2956
GCA_050506725.1,Bacteraemia,2894
GCA_050506735.1,Bacteraemia,2825
GCA_050506745.1,Bacteraemia,3150
GCA_050506755.1,Bacteraemia,3096
GCA_050506765.1,Bacteraemia,2874
GCA_050506775.1,Bacteraemia,2926
GCA_050506815.1,Bacteraemia,2893
GCA_050506825.1,Bacteraemia,2896
GCA_050506865.1,Bacteraemia,2657
GCA_050506875.1,Bacteraemia,2858
GCA_050506885.1,Bacteraemia,3120
GCA_050506905.1,Bacteraemia,3387
GCA_050506915.1,Bacteraemia,2735
GCA_050506925.1,Bacteraemia,2731
GCA_050506935.1,Bacteraemia,2736
GCA_050506985.1,Bacteraemia,2731
GCA_050506995.1,Bacteraemia,2770
GCA_050507065.1,Bacteraemia,2798
GCA_050507075.1,Bacteraemia,3117
GCA_050507105.1,Bacteraemia,3111
GCA_050516645.1,Bacteraemia,2999
GCA_050516655.1,Bacteraemia,3000
GCA_050516665.1,Bacteraemia,2934
GCA_050516675.1,Bacteraemia,2892
GCF_049262565.1,Reproductive,2823
GCF_053117575.1,Reproductive,2985
GCF_053117585.1,Reproductive,2774
GCF_053117655.1,Reproductive,2664
GCF_053117665.1,Reproductive,3149
GCF_053117675.1,Reproductive,2881
GCF_053117685.1,Reproductive,2926
GCF_053117695.1,Reproductive,2877
GCF_053117705.1,Reproductive,2904
GCF_906464925.1,Reproductive,2741
