Genome,Source,ST,Study_ID,Contig_ID,Locus_number,Start,Stop,Strand,Best_reference_symbol,Best_reference_ID,Identity,Coverage,HSP_count,Matching_reference_IDs,Detection_status
GCA_029011395.1,Reproductive,44,PRJNA934404,CP118057.1,1,435636,439529,+,prgB/asc10,WP_002395058,93.956,99.9744767738642,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_029011395.1,Reproductive,44,PRJNA934404,CP118057.1,2,1327859,1331750,+,asa1,WP_010785625,96.557,100.0,1,WP_010785625,accepted_present
GCA_029011535.1,Reproductive,19,PRJNA934404,CP118073.1,1,9856,13772,+,prgB/asc10,WP_002395058,95.662,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_029011535.1,Reproductive,19,PRJNA934404,CP118075.1,2,41237,45154,+,EF0149,WP_011109430,95.109,99.5405819295559,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCA_029011745.1,Reproductive,44,PRJNA934404,CP118085.1,1,390487,394379,+,prgB/asc10,WP_002395058,93.93,99.9744767738642,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_029011745.1,Reproductive,44,PRJNA934404,CP118085.1,2,1213182,1217073,+,asa1,WP_010785625,96.557,100.0,1,WP_010785625,accepted_present
GCA_050469755.1,Bacteraemia,6,PRJNA1185791,CP175100.1,1,20404,24321,-,prgB/asc10,WP_002395058,96.605,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_050469755.1,Bacteraemia,6,PRJNA1185791,CP175101.1,2,2491354,2495247,+,EF0485,WP_010710127,94.67,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_050472745.1,Bacteraemia,6,PRJNA1185791,CP175062.1,1,433240,437133,+,EF0485,WP_010710127,94.67,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_050473905.1,Bacteraemia,6,PRJNA1185791,CP175055.1,1,1381,5307,+,EF0485,WP_010710127,95.289,99.9744767738642,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCA_050473905.1,Bacteraemia,6,PRJNA1185791,CP175056.1,2,392281,396174,+,EF0485,WP_010710127,94.67,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_050474495.1,Bacteraemia,778,PRJNA1185791,CP175043.1,1,18994,22910,+,EF0149,WP_011109430,95.159,99.5405819295559,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCA_050474495.1,Bacteraemia,778,PRJNA1185791,CP175045.1,2,2259767,2263660,-,prgB/asc10,WP_002395058,93.981,99.9744767738642,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_050475565.1,Bacteraemia,28,PRJNA1185791,CP175028.1,1,22201,26091,+,asa1,WP_010785625,95.631,100.0,1,WP_010785625,accepted_present
GCA_050475565.1,Bacteraemia,28,PRJNA1185791,CP175029.1,2,3912,7802,+,asa1,WP_010785625,99.126,100.0,1,WP_010785625,accepted_present
GCA_050475565.1,Bacteraemia,28,PRJNA1185791,CP175030.1,3,2739666,2743582,-,EF0485,WP_010710127,95.203,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_050475575.1,Bacteraemia,179,PRJNA1185791,CP175024.1,1,640,4557,+,prgB/asc10,WP_002395058,95.433,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_050475575.1,Bacteraemia,179,PRJNA1185791,CP175025.1,2,1,3927,+,prgB/asc10,WP_002395058,95.239,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_050475575.1,Bacteraemia,179,PRJNA1185791,CP175027.1,3,134848,138765,+,EF0149,WP_011109430,99.974,100.0,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCA_050475575.1,Bacteraemia,179,PRJNA1185791,CP175027.1,4,401959,405876,+,EF0485,WP_010710127,99.974,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_050480515.1,Bacteraemia,40,PRJNA1185791,CP174929.1,1,41089,44979,+,asa1,WP_010785625,99.1,100.0,1,WP_010785625,accepted_present
GCA_050481105.1,Bacteraemia,40,PRJNA1185791,CP174926.1,1,41089,44979,+,asa1,WP_010785625,99.1,100.0,1,WP_010785625,accepted_present
GCA_050481695.1,Bacteraemia,6,PRJNA1185791,CP174920.1,1,35724,39641,-,EF0149,WP_011109430,95.077,99.5405819295559,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCA_050481695.1,Bacteraemia,6,PRJNA1185791,CP174921.1,2,2202591,2206484,-,EF0485,WP_010710127,94.67,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_050482265.1,Bacteraemia,6,PRJNA1185791,CP174914.1,1,280095,283988,+,EF0485,WP_010710127,94.67,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
GCA_050482265.1,Bacteraemia,6,PRJNA1185791,CP174915.1,2,13147,17064,+,EF0149,WP_011109430,95.077,99.5405819295559,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCA_050485045.1,Bacteraemia,6,PRJNA1185791,CP174865.1,1,643,4569,+,EF0485,WP_010710127,95.34,99.9744767738642,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCA_050485045.1,Bacteraemia,6,PRJNA1185791,CP174868.1,2,16723,20640,+,EF0149,WP_011109430,95.697,99.5405819295559,3,WP_002395058;WP_010710127;WP_011109430,accepted_present
GCA_050485045.1,Bacteraemia,6,PRJNA1185791,CP174869.1,3,2326500,2330393,-,EF0485,WP_010710127,94.67,100.0,5,WP_002395058;WP_010710127;WP_010785625;WP_011109430,accepted_present
