Genome,Query_ID,Target_gene,Database_gene_symbol,Reference_accession,Reference_name,Mapping_status,Contig_ID,Locus_number_on_contig,Start,Stop,Strand,Identity,Coverage,HSP_count,Best_bitscore,Distinct_target_locus_number_on_contig,Distinct_target_locus_ID
GCA_029011255.1,VFG002165|WP_002356954|efaA|efaA,efaA,efaA,WP_002356954,endocarditis specific antigen,approved_primary,CP118048.1,1,1696626,1697552,+,99.569,100.0,1,1654.0,1,CP118048.1|+|1
GCA_029011255.1,VFG002166|WP_010714416|ace|ace,ace,ace,WP_010714416,collagen adhesin protein,approved_primary,CP118048.1,1,863332,865074,+,94.04790825386385,100.0,7,2327.0,1,CP118048.1|+|1
GCA_029011255.1,VFG002174|WP_002369251|gelE|gelE,gelE,gelE,WP_002369251,coccolysin,approved_primary,CP118048.1,1,1539882,1541414,-,98.89100000000002,100.0,1,2689.0,1,CP118048.1|-|1
GCA_029011255.1,VFG002191|WP_002369252|sprE|sprE,sprE,sprE,WP_002369252,"serine proteinase, V8 family",approved_primary,CP118048.1,1,1538979,1539833,-,98.48,100.0,1,1484.0,1,CP118048.1|-|1
GCA_029011255.1,VFG042976|WP_154081516|ebpA|ebpA,ebpA,ebpA,WP_154081516,endocarditis and biofilm-associated pilus tip protein EbpA,approved_primary,CP118048.1,1,852136,855600,+,99.076,100.0,1,6105.0,1,CP118048.1|+|1
GCA_029011255.1,VFG042977|WP_002379309|ebpB|ebpB,ebpB,ebpB,WP_002379309,endocarditis and biofilm-associated pilus minor subunit EbpB,approved_primary,CP118048.1,1,855604,857034,+,99.02200000000002,100.0,1,2518.0,1,CP118048.1|+|1
GCA_029011255.1,VFG042978|WP_011109477|ebpC|ebpC,ebpC,ebpC,WP_011109477,endocarditis and biofilm-associated pilus major subunit EbpC,approved_primary,CP118048.1,1,857031,858914,+,98.779,100.0,1,3296.0,1,CP118048.1|+|1
GCA_029011395.1,VFG002164|WP_002395058|prgB/asc10|aggregation_substance_context,aggregation_substance_context,prgB/asc10,WP_002395058,aggregation substance PrgB/Asc10,review_required_context,CP118057.1,1,435637,439529,+,93.956,99.97447677386421,1,6010.0,1,CP118057.1|+|1
GCA_029011395.1,VFG002164|WP_002395058|prgB/asc10|aggregation_substance_context,aggregation_substance_context,prgB/asc10,WP_002395058,aggregation substance PrgB/Asc10,review_required_context,CP118057.1,2,1327859,1331750,+,93.72437111751522,79.58141909137315,2,3554.0,2,CP118057.1|+|2
GCA_029011395.1,VFG002165|WP_002356954|efaA|efaA,efaA,efaA,WP_002356954,endocarditis specific antigen,approved_primary,CP118057.1,1,1171206,1172132,-,99.569,100.0,1,1654.0,1,CP118057.1|-|1
GCA_029011395.1,VFG002165|WP_002356954|efaA|efaA,efaA,efaA,WP_002356954,endocarditis specific antigen,approved_primary,CP118057.1,2,2588244,2589053,-,68.237,87.37864077669903,1,269.0,2,CP118057.1|-|2
GCA_029011395.1,VFG002166|WP_010714416|ace|ace,ace,ace,WP_010714416,collagen adhesin protein,approved_primary,CP118057.1,1,2077341,2079224,-,94.44903830141548,100.0,7,2676.0,1,CP118057.1|-|1
GCA_029011395.1,VFG002171|WP_011109430|EF0149|aggregation_substance_context,aggregation_substance_context,EF0149,WP_011109430,aggregation substance,review_required_context,CP118057.1,1,435637,439460,+,87.565,98.36651352730985,1,4801.0,1,CP118057.1|+|1
GCA_029011395.1,VFG002171|WP_011109430|EF0149|aggregation_substance_context,aggregation_substance_context,EF0149,WP_011109430,aggregation substance,review_required_context,CP118057.1,2,1327859,1331681,+,94.12932338308458,76.92700357325165,2,3594.0,2,CP118057.1|+|2
GCA_029011395.1,VFG002172|WP_010710127|EF0485|aggregation_substance_context,aggregation_substance_context,EF0485,WP_010710127,aggregation substance,review_required_context,CP118057.1,1,435636,439529,+,93.702,100.0,1,5966.0,1,CP118057.1|+|1
GCA_029011395.1,VFG002172|WP_010710127|EF0485|aggregation_substance_context,aggregation_substance_context,EF0485,WP_010710127,aggregation substance,review_required_context,CP118057.1,2,1327860,1331750,+,93.01709449071109,79.55589586523736,2,3545.0,2,CP118057.1|+|2
GCA_029011395.1,VFG002173|WP_010785625|asa1|asa1_or_validated_equivalent,asa1_or_validated_equivalent,asa1,WP_010785625,aggregation substance Asa1,approved_primary,CP118057.1,1,435637,439529,+,91.9973056978233,80.10794140323824,2,3523.0,1,CP118057.1|+|1
GCA_029011395.1,VFG002173|WP_010785625|asa1|asa1_or_validated_equivalent,asa1_or_validated_equivalent,asa1,WP_010785625,aggregation substance Asa1,approved_primary,CP118057.1,2,1327859,1331750,+,96.557,100.0,1,6412.0,2,CP118057.1|+|2
