Genome	Tree	Nearest_neighbour	Nearest_neighbour_source	Patristic_distance	Num_tied_neighbours	strain	ST
GCA_029011255.1	core_genome	GCA_050506875.1	Bacteraemia	0.00846608	1	GCA_029011255.1	165
GCA_029011395.1	core_genome	GCA_029011745.1	Reproductive	0.000467816	1	GCA_029011395.1	44
GCA_029011535.1	core_genome	GCA_050506985.1	Bacteraemia	0.000387594	1	GCA_029011535.1	19
GCA_029011745.1	core_genome	GCA_029011395.1	Reproductive	0.000467816	1	GCA_029011745.1	44
GCF_049262565.1	core_genome	GCF_053117695.1	Reproductive	0.00674001	1	GCF_049262565.1	30
GCF_053117575.1	core_genome	GCF_053117705.1	Reproductive	0.0000426308	1	GCF_053117575.1	179
GCF_053117585.1	core_genome	GCA_050486715.1	Bacteraemia	0.0000465505	1	GCF_053117585.1	16
GCF_053117655.1	core_genome	GCF_053117705.1	Reproductive	0.000051536	1	GCF_053117655.1	179
GCF_053117665.1	core_genome	GCA_050486705.1	Bacteraemia	0.000805204	1	GCF_053117665.1	40
GCF_053117675.1	core_genome	GCA_050491675.1; GCA_050491685.1	Bacteraemia; Bacteraemia	0.0000635005; 0.0000635005	2	GCF_053117675.1	480
GCF_053117685.1	core_genome	GCF_053117705.1	Reproductive	0.0000361868	1	GCF_053117685.1	179
GCF_053117695.1	core_genome	GCF_049262565.1	Reproductive	0.00674001	1	GCF_053117695.1	211
GCF_053117705.1	core_genome	GCF_053117685.1	Reproductive	0.0000361868	1	GCF_053117705.1	179
GCF_906464925.1	core_genome	GCA_050491675.1; GCA_050491685.1	Bacteraemia; Bacteraemia	0.00749534; 0.00749534	2	GCF_906464925.1	894
