rank	taxon	terminal_branch_length
1	GCA_050472755.1	0.0077601355
2	GCA_050506775.1	0.00581323
3	GCA_029011255.1	0.0053246801
4	GCA_050475565.1	0.0052589215
5	GCA_050506885.1	0.003637753
6	GCF_906464925.1	0.0034390883
7	GCF_053117695.1	0.0033906708
8	GCF_049262565.1	0.0033493347
9	GCA_050506875.1	0.0031414031
10	GCA_050485635.1	0.0020375379
11	GCA_050474485.1	0.0017352828
12	GCA_050476085.1	0.001665342
13	GCA_050473345.1	0.0011061025
14	GCA_050473355.1	0.0010188756
15	GCF_053117665.1	0.0007839075
16	GCA_050485055.1	0.000380257
17	GCA_029011745.1	0.000304759
18	GCA_029011535.1	0.0003025215
19	GCA_029011395.1	0.0001630573
20	GCA_050506765.1	7.01937e-05
21	GCA_050469755.1	6.4291e-05
22	GCA_050506815.1	4.20989e-05
23	GCF_053117675.1	3.95092e-05
24	GCA_050516675.1	3.21462e-05
25	GCF_053117585.1	3.18783e-05
26	GCF_053117655.1	3.04379e-05
27	GCA_050506905.1	2.58636e-05
28	GCA_050506825.1	2.40181e-05
29	GCA_050506865.1	2.39366e-05
30	GCA_050475575.1	2.27561e-05
31	GCA_050516665.1	2.15124e-05
32	GCA_050473905.1	2.10701e-05
33	GCF_053117575.1	2.04127e-05
34	GCF_053117685.1	1.98611e-05
35	GCA_050471105.1	1.94024e-05
36	GCA_050474495.1	1.64173e-05
37	GCF_053117705.1	1.63257e-05
38	GCA_050485045.1	1.55317e-05
39	GCA_050486715.1	1.46722e-05
40	GCA_050486705.1	1.35036e-05
41	GCA_050485625.1	1.26166e-05
42	GCA_050506915.1	1.11213e-05
43	GCA_050472745.1	8.1973e-06
44	GCA_050507065.1	1.7389e-06
45	GCA_050506935.1	1.1678e-06
46	GCA_050506745.1	1.1585e-06
47	GCA_050506685.1	5.605e-07
48	GCA_050506995.1	5.601e-07
49	GCA_050505645.1	5.598e-07
50	GCA_050506985.1	5.573e-07
51	GCA_050481695.1	4.72e-08
52	GCA_050482265.1	4.72e-08
53	GCA_050506755.1	4.72e-08
54	GCA_050492135.1	4.72e-08
55	GCA_050492125.1	4.72e-08
56	GCA_050507075.1	4.72e-08
57	GCA_050507105.1	4.72e-08
58	GCA_050505635.1	4.72e-08
59	GCA_050506665.1	4.72e-08
60	GCA_050506675.1	4.72e-08
61	GCA_050506695.1	4.72e-08
62	GCA_050480515.1	4.72e-08
63	GCA_050481105.1	4.72e-08
64	GCA_050481685.1	4.72e-08
65	GCA_050481115.1	4.72e-08
66	GCA_050506735.1	4.72e-08
67	GCA_050506725.1	4.72e-08
68	GCA_050516645.1	4.72e-08
69	GCA_050516655.1	4.72e-08
70	GCA_050506925.1	4.72e-08
71	GCA_050491685.1	4.72e-08
72	GCA_050491675.1	4.72e-08
