accession	source_group	non_missing_sites	missing_sites	non_missing_percent
GCA_029011745.1		1947050	171503	91.904710432073
GCA_029011535.1		2024340	94213	95.552955248228
GCA_029011395.1		2035661	82892	96.087329417768
GCA_050492125.1		2076038	42515	97.993205739956
GCA_050492135.1		2076038	42515	97.993205739956
GCA_050506875.1		2078721	39832	98.119848783580
GCA_050506885.1		2085777	32776	98.452906299724
GCA_050486715.1		2088375	30178	98.575537170890
GCA_050471105.1		2089122	29431	98.610797086502
GCF_053117675.1		2090689	27864	98.684762665838
GCF_049262565.1		2091468	27085	98.721533046376
GCF_053117695.1		2091861	26692	98.740083443747
GCA_050472755.1		2092890	25663	98.788654331518
GCA_050506905.1		2094003	24550	98.841190189719
GCA_050474495.1		2094543	24010	98.866679285342
GCA_050472745.1		2094926	23627	98.884757662423
GCA_029011255.1		2095029	23524	98.889619471403
GCF_053117655.1		2095404	23149	98.907320232253
GCA_050491675.1		2095935	22618	98.932384509616
GCA_050491685.1		2096022	22531	98.936491086133
GCA_050506755.1		2096432	22121	98.955843917995
GCF_906464925.1		2096535	22018	98.960705726975
GCA_050516655.1		2096772	21781	98.971892607832
GCA_050469755.1		2096789	21764	98.972695042324
GCA_050516645.1		2096898	21655	98.977840063477
GCA_050473905.1		2096984	21569	98.981899437965
GCA_050506745.1		2097098	21455	98.987280469264
GCA_050506915.1		2097294	21259	98.996532066934
GCA_050476085.1		2097531	21022	99.007718947791
GCA_050506935.1		2097597	20956	99.010834281701
GCA_050506925.1		2097609	20944	99.011400706048
GCA_050506985.1		2097609	20944	99.011400706048
GCA_050507075.1		2097758	20795	99.018433808359
GCA_050507105.1		2097758	20795	99.018433808359
GCA_050506775.1		2097996	20557	99.029667891245
GCF_053117685.1		2098086	20467	99.033916073849
GCA_050482265.1		2098103	20450	99.034718508340
GCA_050481695.1		2098109	20444	99.035001720514
GCA_050485045.1		2098250	20303	99.041657206593
GCA_050473355.1		2098612	19941	99.058744341067
GCA_050485625.1		2098628	19925	99.059499573530
GCF_053117665.1		2098989	19564	99.076539505974
GCA_050506685.1		2099229	19324	99.087867992918
GCA_050506695.1		2099229	19324	99.087867992918
GCA_050506825.1		2099379	19174	99.094948297258
GCA_050481115.1		2099568	18985	99.103869480726
GCA_050481685.1		2099574	18979	99.104152692899
GCA_050485055.1		2099682	18871	99.109250512024
GCA_050506735.1		2099736	18817	99.111799421586
GCA_050506765.1		2099808	18745	99.115197967669
GCA_050506725.1		2099835	18718	99.116472422451
GCA_050506815.1		2100015	18538	99.124968787658
GCA_050486705.1		2100069	18484	99.127517697221
GCA_050516665.1		2100096	18457	99.128792152002
GCA_050475575.1		2100330	18223	99.139837426772
GCA_050485635.1		2100405	18148	99.143377578942
GCA_050473345.1		2100672	17881	99.155980520667
GCA_050516675.1		2100714	17839	99.157963005882
GCA_050506995.1		2101002	17551	99.171557190214
GCA_050507065.1		2101071	17482	99.174814130211
GCA_050475565.1		2101107	17446	99.176513403252
GCA_050505645.1		2101128	17425	99.177504645860
GCA_050505635.1		2101164	17389	99.179203918901
GCF_053117705.1		2101350	17203	99.187983496283
GCF_053117575.1		2101413	17140	99.190957224105
GCA_050480515.1		2101440	17113	99.192231678886
GCA_050481105.1		2101440	17113	99.192231678886
GCA_050474485.1		2102730	15823	99.253122296209
GCA_050506865.1		2102925	15628	99.262326691851
GCA_050506665.1		2103144	15409	99.272663936187
GCA_050506675.1		2103144	15409	99.272663936187
GCF_053117585.1		2103813	14740	99.304242093542
