Raw_record_ID,Raw_row_in_file,Genome,Source,Gene,Method,Class,Subclass,Contig_ID,Coverage_reference_percent,Identity_reference_percent,Start,Stop,Strand
GCA_050469755.1:7,7,GCA_050469755.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175101.1,100,100,2625462,2626898,+
GCA_050472745.1:6,6,GCA_050472745.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175062.1,100,100,578420,579856,+
GCA_050473905.1:6,6,GCA_050473905.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175056.1,100,100,2326702,2328138,-
GCA_050474495.1:2,2,GCA_050474495.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175042.1,100,100,46803,48239,+
GCA_050475565.1:1,1,GCA_050475565.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175029.1,100,100,38342,39778,+
GCA_050475575.1:4,4,GCA_050475575.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175027.1,100,100,1582612,1584048,-
GCA_050481695.1:18,18,GCA_050481695.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP174921.1,100,100,2073679,2075115,-
GCA_050482265.1:2,2,GCA_050482265.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP174914.1,100,100,411465,412901,+
GCA_050485045.1:14,14,GCA_050485045.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP174869.1,100,100,2197578,2199014,-
GCA_050485055.1:10,10,GCA_050485055.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP174864.1,100,100,586660,588096,+
GCA_050485625.1:18,18,GCA_050485625.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP174859.1,100,100,2098746,2100182,-
GCA_050485635.1:15,15,GCA_050485635.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP174856.1,100,100,642911,644347,+
GCA_050491675.1:7,7,GCA_050491675.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175116.1,100,100,1452975,1454411,-
GCA_050491685.1:7,7,GCA_050491685.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175113.1,100,100,1452975,1454411,-
GCA_050492125.1:2,2,GCA_050492125.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175110.1,100,100,488998,490434,+
GCA_050492135.1:2,2,GCA_050492135.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175106.1,100,100,488998,490434,+
GCA_050506745.1:5,5,GCA_050506745.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175276.1,100,100,2013852,2015288,-
GCA_050506755.1:8,8,GCA_050506755.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175273.1,100,100,344234,345670,+
GCA_050506815.1:7,7,GCA_050506815.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175260.1,100,100,1540947,1542383,-
GCA_050506865.1:7,7,GCA_050506865.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175257.1,100,100,1524545,1525981,-
GCA_050506885.1:10,10,GCA_050506885.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175253.1,100,100,53229,54665,+
GCA_050506905.1:12,12,GCA_050506905.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175241.1,100,100,4178,5614,+
GCA_050507075.1:2,2,GCA_050507075.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175221.1,100,100,574282,575718,+
GCA_050507105.1:2,2,GCA_050507105.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175219.1,100,100,642872,644308,+
GCF_053117575.1:7,7,GCF_053117575.1,Reproductive,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,NZ_CP181216.1,100,100,1544184,1545620,-
GCF_053117585.1:4,4,GCF_053117585.1,Reproductive,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,NZ_CP181214.1,100,100,1559991,1561427,-
GCF_053117685.1:3,3,GCF_053117685.1,Reproductive,aac(6')-Ie/aph(2'')-Ia,BLASTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,NZ_CP181229.1,100,99.79,1563074,1564510,+
GCF_053117695.1:3,3,GCF_053117695.1,Reproductive,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,NZ_CP181235.1,100,100,48441,49877,-
GCF_053117705.1:7,7,GCF_053117705.1,Reproductive,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,NZ_CP181238.1,100,100,1542116,1543552,-
