Heatmap_variant	Dimension	Item_1	Item_2	Item_1_accession	Item_2_accession	Distance	Item_1_cluster_order	Item_2_cluster_order	Distance_method	Scaling_normalisation	Linkage_method
unclustered	rows_and_columns								not applied; rows ordered by source/accession and columns by prevalence/gene	none; raw accepted-detection presence/absence values (0/1)	not applied
clustered	rows (strains)	VSI48	VSI48	GCA_029011255.1	GCA_029011255.1	0	11	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	VSI36	VSI48	GCA_029011395.1	GCA_029011255.1	0.5	25	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	VSI19	VSI48	GCA_029011535.1	GCA_029011255.1	1	33	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	VSI09	VSI48	GCA_029011745.1	GCA_029011255.1	1	1	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	H820	VSI48	GCA_050469755.1	GCA_029011255.1	0.8333333333333334	59	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	H815	VSI48	GCA_050471105.1	GCA_029011255.1	0.5	26	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1578	VSI48	GCA_050472745.1	GCA_029011255.1	0.9	66	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1577	VSI48	GCA_050472755.1	GCA_029011255.1	0.8571428571428571	71	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1555	VSI48	GCA_050473345.1	GCA_029011255.1	0	12	11	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
