Genome,Source,Original_GFF,CDS_count,Genome_length_bp,GFF_size_bytes,Embedded_FASTA,Embedded_sequence_count,Outlier_flags,Staged_GFF
GCA_029011255.1,Reproductive,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/reproductive/reproductive__GCA_029011255.1/reproductive__GCA_029011255.1.gff,2547,2755036,3514153,True,2,none,data/processed/core_genome/input_gffs_72/GCA_029011255.1.gff
GCA_029011395.1,Reproductive,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/reproductive/reproductive__GCA_029011395.1/reproductive__GCA_029011395.1.gff,2969,3006678,3871137,True,3,none,data/processed/core_genome/input_gffs_72/GCA_029011395.1.gff
GCA_029011535.1,Reproductive,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/reproductive/reproductive__GCA_029011535.1/reproductive__GCA_029011535.1.gff,3016,2988172,3865184,True,4,none,data/processed/core_genome/input_gffs_72/GCA_029011535.1.gff
GCA_029011745.1,Reproductive,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/reproductive/reproductive__GCA_029011745.1/reproductive__GCA_029011745.1.gff,3271,3041350,3981825,True,2,none,data/processed/core_genome/input_gffs_72/GCA_029011745.1.gff
GCA_050469755.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050469755.1/bacteraemia__GCA_050469755.1.gff,2974,3109712,3966763,True,2,none,data/processed/core_genome/input_gffs_72/GCA_050469755.1.gff
GCA_050471105.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050471105.1/bacteraemia__GCA_050471105.1.gff,2895,3026355,3865072,True,3,none,data/processed/core_genome/input_gffs_72/GCA_050471105.1.gff
GCA_050472745.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050472745.1/bacteraemia__GCA_050472745.1.gff,3085,3185947,4070474,True,2,none,data/processed/core_genome/input_gffs_72/GCA_050472745.1.gff
GCA_050472755.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050472755.1/bacteraemia__GCA_050472755.1.gff,2573,2787785,3547776,True,2,none,data/processed/core_genome/input_gffs_72/GCA_050472755.1.gff
GCA_050473345.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050473345.1/bacteraemia__GCA_050473345.1.gff,2593,2794695,3562685,True,1,none,data/processed/core_genome/input_gffs_72/GCA_050473345.1.gff
GCA_050473355.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050473355.1/bacteraemia__GCA_050473355.1.gff,2664,2841459,3623837,True,1,none,data/processed/core_genome/input_gffs_72/GCA_050473355.1.gff
GCA_050473905.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050473905.1/bacteraemia__GCA_050473905.1.gff,3076,3202018,4085072,True,3,none,data/processed/core_genome/input_gffs_72/GCA_050473905.1.gff
GCA_050474485.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050474485.1/bacteraemia__GCA_050474485.1.gff,2528,2733050,3483170,True,1,none,data/processed/core_genome/input_gffs_72/GCA_050474485.1.gff
GCA_050474495.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050474495.1/bacteraemia__GCA_050474495.1.gff,3396,3423196,4378714,True,4,none,data/processed/core_genome/input_gffs_72/GCA_050474495.1.gff
GCA_050475565.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050475565.1/bacteraemia__GCA_050475565.1.gff,3046,3184703,4059831,True,3,none,data/processed/core_genome/input_gffs_72/GCA_050475565.1.gff
GCA_050475575.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050475575.1/bacteraemia__GCA_050475575.1.gff,3043,3143107,4016864,True,4,none,data/processed/core_genome/input_gffs_72/GCA_050475575.1.gff
GCA_050476085.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050476085.1/bacteraemia__GCA_050476085.1.gff,2844,3019119,3851077,True,4,none,data/processed/core_genome/input_gffs_72/GCA_050476085.1.gff
GCA_050480515.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050480515.1/bacteraemia__GCA_050480515.1.gff,2898,3049629,3890055,True,3,none,data/processed/core_genome/input_gffs_72/GCA_050480515.1.gff
GCA_050481105.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050481105.1/bacteraemia__GCA_050481105.1.gff,2926,3076926,3925415,True,3,none,data/processed/core_genome/input_gffs_72/GCA_050481105.1.gff
GCA_050481115.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050481115.1/bacteraemia__GCA_050481115.1.gff,2902,3047365,3890599,True,2,none,data/processed/core_genome/input_gffs_72/GCA_050481115.1.gff
GCA_050481685.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050481685.1/bacteraemia__GCA_050481685.1.gff,2902,3047368,3890600,True,2,none,data/processed/core_genome/input_gffs_72/GCA_050481685.1.gff
GCA_050481695.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050481695.1/bacteraemia__GCA_050481695.1.gff,3272,3339275,4268964,True,4,none,data/processed/core_genome/input_gffs_72/GCA_050481695.1.gff
GCA_050482265.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050482265.1/bacteraemia__GCA_050482265.1.gff,3265,3339286,4266955,True,4,none,data/processed/core_genome/input_gffs_72/GCA_050482265.1.gff
GCA_050485045.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050485045.1/bacteraemia__GCA_050485045.1.gff,3425,3449992,4411337,True,5,none,data/processed/core_genome/input_gffs_72/GCA_050485045.1.gff
GCA_050485055.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050485055.1/bacteraemia__GCA_050485055.1.gff,3445,3428711,4394192,True,5,none,data/processed/core_genome/input_gffs_72/GCA_050485055.1.gff
GCA_050485625.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050485625.1/bacteraemia__GCA_050485625.1.gff,3339,3370808,4315274,True,3,none,data/processed/core_genome/input_gffs_72/GCA_050485625.1.gff
GCA_050485635.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050485635.1/bacteraemia__GCA_050485635.1.gff,3329,3353751,4294655,True,3,none,data/processed/core_genome/input_gffs_72/GCA_050485635.1.gff
GCA_050486705.1,Bacteraemia,local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050486705.1/bacteraemia__GCA_050486705.1.gff,2992,3125665,3989905,True,3,none,data/processed/core_genome/input_gffs_72/GCA_050486705.1.gff
