Genome,Elapsed_seconds
GCA_029011535.1,6.384019460001582
GCA_029011745.1,6.38740542099913
GCA_029011395.1,6.38964001000204
GCA_029011255.1,6.391678809999576
GCA_050472755.1,1.0747688880001078
GCA_050471105.1,1.1504852090001805
GCA_050469755.1,1.2134455339983106
GCA_050472745.1,1.2984972640006163
GCA_050473345.1,1.1252411780005787
GCA_050473355.1,1.0700842549995286
GCA_050474485.1,1.0952054839981429
GCA_050473905.1,1.3409084459999576
GCA_050475565.1,1.6462620489983237
GCA_050474495.1,1.6711666360024537
GCA_050476085.1,1.5305269339987717
GCA_050475575.1,1.8283833200002846
GCA_050481105.1,1.3894382700018468
GCA_050480515.1,1.434336587000871
GCA_050481115.1,1.4419863679977425
GCA_050481685.1,1.3187349699983315
GCA_050481695.1,1.35648064599809
GCA_050482265.1,1.3594779840022966
GCA_050485045.1,1.3975232550001238
GCA_050485055.1,1.4013912650007114
GCA_050485635.1,1.3004426039988175
GCA_050485625.1,1.362505486002192
GCA_050486715.1,1.2109789280002587
GCA_050486705.1,1.3591017550024844
GCA_050491675.1,1.2562853550007276
GCA_050491685.1,1.2965408529998967
GCA_050492125.1,1.491967547000968
GCA_050492135.1,1.4452247049994185
GCA_050505645.1,1.7684364470005676
GCA_050505635.1,1.858395183000539
GCA_050506665.1,1.633758896998188
GCA_050506675.1,1.613874296999711
GCA_050506685.1,1.5327848460001405
GCA_050506695.1,1.504508187997999
GCA_050506725.1,2.0117282110004453
GCA_050506735.1,2.069364235001558
GCA_050506755.1,2.275037347997568
GCA_050506745.1,2.2903631850022066
GCA_050506765.1,1.7374223549995804
GCA_050506775.1,1.6983018749997427
GCA_050506825.1,1.5267449540006055
GCA_050506815.1,1.6904618020016642
GCA_050506865.1,1.5086314500003937
GCA_050506875.1,1.7572031059971778
GCA_050506915.1,1.5187977669993415
GCA_050506885.1,1.7756822850024037
GCA_050506925.1,1.369730864000303
GCA_050506905.1,1.8470672340008605
GCA_050506935.1,1.2906928209995385
GCA_050506985.1,1.2651061119977385
GCA_050506995.1,1.3759696570014057
GCA_050507065.1,1.3728442400024505
GCA_050507075.1,1.3810536269993463
GCA_050507105.1,1.4302426109970838
GCA_050516645.1,1.518761639999866
GCA_050516655.1,1.4887642829999095
GCA_050516675.1,1.4728797069983557
GCA_050516665.1,1.5392186479984957
GCF_049262565.1,1.3418913950008573
GCF_053117575.1,1.4698312079999596
GCF_053117655.1,1.22158684200258
GCF_053117585.1,1.2855551530010416
GCF_053117665.1,1.3709797869996692
GCF_053117675.1,1.3840377639971848
GCF_053117685.1,1.612784475000808
GCF_053117695.1,1.7471739329994307
GCF_053117705.1,2.300515192997409
GCF_906464925.1,2.1784049599991704
