Genome,Source,Target_gene,Detection_status,Status_reason,Database_gene_symbol,Reference_accession,Contig_ID,Start,Stop,Strand,Identity,Coverage,Candidate_locus_count,Original_detection_status,Accepted_locus_count,Resolution_policy
GCA_029011255.1,Reproductive,ace,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ace,WP_010714416,CP118048.1,863332.0,865074.0,+,94.04790825386384,100.0,1,accepted_present,1,unchanged_B3_status
GCA_029011255.1,Reproductive,aggregation_substance_family_detected,not_detected,No retained aggregation-substance-family candidate,,,,,,,,,0,not_detected,0,approved_broad_aggregation_substance_family_rule
GCA_029011255.1,Reproductive,asa1_specific,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0,not_detected,0,approved_competitive_best_reference_rule
GCA_029011255.1,Reproductive,cylA,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0,not_detected,0,unchanged_B3_status
GCA_029011255.1,Reproductive,ebpA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpA,WP_154081516,CP118048.1,852136.0,855600.0,+,99.076,100.0,1,accepted_present,1,unchanged_B3_status
GCA_029011255.1,Reproductive,ebpB,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpB,WP_002379309,CP118048.1,855604.0,857034.0,+,99.02200000000002,100.0,1,accepted_present,1,unchanged_B3_status
GCA_029011255.1,Reproductive,ebpC,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpC,WP_011109477,CP118048.1,857031.0,858914.0,+,98.779,100.0,1,accepted_present,1,unchanged_B3_status
GCA_029011255.1,Reproductive,efaA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,efaA,WP_002356954,CP118048.1,1696626.0,1697552.0,+,99.569,100.0,1,accepted_present,1,unchanged_B3_status
GCA_029011255.1,Reproductive,esp,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0,not_detected,0,unchanged_B3_status
GCA_029011255.1,Reproductive,gelE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,gelE,WP_002369251,CP118048.1,1539882.0,1541414.0,-,98.89100000000002,100.0,1,accepted_present,1,unchanged_B3_status
GCA_029011255.1,Reproductive,sprE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,sprE,WP_002369252,CP118048.1,1538979.0,1539833.0,-,98.48,100.0,1,accepted_present,1,unchanged_B3_status
GCA_029011395.1,Reproductive,ace,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ace,WP_010714416,CP118057.1,2077341.0,2079224.0,-,94.44903830141548,100.0,1,accepted_present,1,unchanged_B3_status
GCA_029011395.1,Reproductive,aggregation_substance_family_detected,accepted_present,At least one accepted aggregation-substance-family locus detected,asa1,WP_010785625,CP118057.1,1327859,1331750,+,96.557,100.0,2,ambiguous_multiple_hit,2,approved_broad_aggregation_substance_family_rule
