"assembly_accession"	"biosample_accession"	"strain"	"dataset_category"	"plasmid_status"	"plasmid_count"
"GCF_053117705.1"	"SAMN46230707"	"2819"	"Reproductive"	"Y"	"4"
"GCF_053117695.1"	"SAMN46230708"	"4153"	"Reproductive"	"Y"	"3"
"GCF_053117685.1"	"SAMN46230709"	"4638"	"Reproductive"	"Y"	"3"
"GCF_053117675.1"	"SAMN46230710"	"4774"	"Reproductive"	"Y"	"2"
"GCF_053117665.1"	"SAMN46230711"	"4953"	"Reproductive"	"Y"	"3"
"GCF_053117655.1"	"SAMN46230712"	"5034"	"Reproductive"	"Y"	"1"
"GCF_053117575.1"	"SAMN46230713"	"5245"	"Reproductive"	"Y"	"3"
"GCF_053117585.1"	"SAMN46230714"	"5410"	"Reproductive"	"Y"	"1"
"GCF_049262565.1"	"SAMN47264607"	"UMB6935B"	"Reproductive"	"Y"	"2"
"GCA_029011255.1"	"SAMN33275456"	"VSI48"	"Reproductive"	"Y"	"1"
"GCA_029011535.1"	"SAMN33275446"	"VSI19"	"Reproductive"	"Y"	"3"
"GCA_029011395.1"	"SAMN33275452"	"VSI36"	"Reproductive"	"Y"	"2"
"GCA_029011745.1"	"SAMN33275436"	"VSI09"	"Reproductive"	"Y"	"1"
"GCF_906464925.1"	"SAMEA6595201"	"BX5936"	"Reproductive"	"Y"	"2"
"GCA_050516675.1"	"SAMN44727142"	"C6696"	"Bacteraemia"	"Y"	"1"
"GCA_050516665.1"	"SAMN44727143"	"C6697"	"Bacteraemia"	"Y"	"1"
"GCA_050516655.1"	"SAMN44727144"	"C5819"	"Bacteraemia"	"Y"	"3"
"GCA_050516645.1"	"SAMN44727145"	"C5822"	"Bacteraemia"	"Y"	"4"
"GCA_050492135.1"	"SAMN44727061"	"C1551"	"Bacteraemia"	"Y"	"3"
"GCA_050492125.1"	"SAMN44727062"	"C1552"	"Bacteraemia"	"Y"	"2"
"GCA_050491685.1"	"SAMN44727063"	"C1574"	"Bacteraemia"	"Y"	"2"
"GCA_050491675.1"	"SAMN44727064"	"C1576"	"Bacteraemia"	"Y"	"2"
"GCA_050486715.1"	"SAMN44726998"	"C1226"	"Bacteraemia"	"N"	"0"
"GCA_050486705.1"	"SAMN44726999"	"C1228"	"Bacteraemia"	"Y"	"2"
"GCA_050482265.1"	"SAMN44727015"	"C1224"	"Bacteraemia"	"Y"	"3"
"GCA_050481695.1"	"SAMN44727016"	"C1225"	"Bacteraemia"	"Y"	"3"
"GCA_050481685.1"	"SAMN44727017"	"C2194"	"Bacteraemia"	"Y"	"1"
"GCA_050481115.1"	"SAMN44727018"	"C2195"	"Bacteraemia"	"Y"	"1"
"GCA_050481105.1"	"SAMN44727019"	"C8810"	"Bacteraemia"	"Y"	"2"
"GCA_050480515.1"	"SAMN44727020"	"C8814"	"Bacteraemia"	"Y"	"2"
"GCA_050485635.1"	"SAMN44727002"	"C2196"	"Bacteraemia"	"Y"	"2"
"GCA_050485625.1"	"SAMN44727003"	"C2198"	"Bacteraemia"	"Y"	"2"
"GCA_050485055.1"	"SAMN44727004"	"C8811"	"Bacteraemia"	"Y"	"4"
"GCA_050485045.1"	"SAMN44727005"	"C8816"	"Bacteraemia"	"Y"	"4"
"GCA_050473905.1"	"SAMN44727046"	"C1539"	"Bacteraemia"	"Y"	"2"
"GCA_050473355.1"	"SAMN44727047"	"C1554"	"Bacteraemia"	"N"	"0"
"GCA_050473345.1"	"SAMN44727048"	"C1555"	"Bacteraemia"	"N"	"0"
"GCA_050472755.1"	"SAMN44727049"	"C1577"	"Bacteraemia"	"Y"	"1"
"GCA_050472745.1"	"SAMN44727050"	"C1578"	"Bacteraemia"	"Y"	"1"
"GCA_050476085.1"	"SAMN44727037"	"C1321"	"Bacteraemia"	"Y"	"3"
"GCA_050475575.1"	"SAMN44727038"	"C1329"	"Bacteraemia"	"Y"	"3"
"GCA_050475565.1"	"SAMN44727039"	"C1336"	"Bacteraemia"	"Y"	"2"
"GCA_050471105.1"	"SAMN44727056"	"H815"	"Bacteraemia"	"Y"	"2"
"GCA_050469755.1"	"SAMN44727059"	"H820"	"Bacteraemia"	"Y"	"1"
"GCA_050474495.1"	"SAMN44727043"	"C1472"	"Bacteraemia"	"Y"	"3"
"GCA_050474485.1"	"SAMN44727044"	"C1473"	"Bacteraemia"	"N"	"0"
"GCA_050506885.1"	"SAMN44727103"	"C5858"	"Bacteraemia"	"Y"	"3"
"GCA_050506875.1"	"SAMN44727104"	"C6375"	"Bacteraemia"	"Y"	"1"
"GCA_050506865.1"	"SAMN44727105"	"C6388"	"Bacteraemia"	"N"	"0"
"GCA_050506825.1"	"SAMN44727106"	"C6389"	"Bacteraemia"	"N"	"0"
"GCA_050506815.1"	"SAMN44727107"	"C6391"	"Bacteraemia"	"Y"	"1"
"GCA_050506775.1"	"SAMN44727109"	"C6409"	"Bacteraemia"	"Y"	"2"
"GCA_050506765.1"	"SAMN44727110"	"C6411"	"Bacteraemia"	"Y"	"2"
"GCA_050506755.1"	"SAMN44727111"	"C5844"	"Bacteraemia"	"Y"	"3"
"GCA_050506745.1"	"SAMN44727112"	"C5846"	"Bacteraemia"	"Y"	"3"
"GCA_050506735.1"	"SAMN44727113"	"C5873"	"Bacteraemia"	"Y"	"2"
"GCA_050506725.1"	"SAMN44727114"	"C5874"	"Bacteraemia"	"Y"	"2"
"GCA_050506695.1"	"SAMN44727117"	"C5881"	"Bacteraemia"	"Y"	"1"
"GCA_050506685.1"	"SAMN44727118"	"C5882"	"Bacteraemia"	"Y"	"1"
"GCA_050506675.1"	"SAMN44727119"	"C6504"	"Bacteraemia"	"N"	"0"
"GCA_050506665.1"	"SAMN44727120"	"C6489"	"Bacteraemia"	"N"	"0"
"GCA_050505645.1"	"SAMN44727073"	"H813"	"Bacteraemia"	"N"	"0"
"GCA_050505635.1"	"SAMN44727072"	"H797"	"Bacteraemia"	"N"	"0"
"GCA_050507105.1"	"SAMN44727093"	"C1468"	"Bacteraemia"	"Y"	"1"
"GCA_050507075.1"	"SAMN44727094"	"C1469"	"Bacteraemia"	"Y"	"1"
"GCA_050507065.1"	"SAMN44727095"	"C1337"	"Bacteraemia"	"Y"	"1"
"GCA_050506995.1"	"SAMN44727096"	"C1335"	"Bacteraemia"	"Y"	"1"
"GCA_050506985.1"	"SAMN44727097"	"C1538"	"Bacteraemia"	"Y"	"1"
"GCA_050506935.1"	"SAMN44727098"	"C1542"	"Bacteraemia"	"Y"	"3"
"GCA_050506925.1"	"SAMN44727099"	"C1544"	"Bacteraemia"	"Y"	"1"
"GCA_050506915.1"	"SAMN44727100"	"C1545"	"Bacteraemia"	"Y"	"3"
"GCA_050506905.1"	"SAMN44727101"	"C5845"	"Bacteraemia"	"Y"	"5"
