tree	assembly_accession	group	terminal_branch	terminal_over_median	robust_z
primary_72genome_9locus	GCA_029011255.1	Reproductive	0.0022497891	2249.7891	2248.7891
primary_72genome_9locus	GCA_029011395.1	Reproductive	1e-06	1	0
primary_72genome_9locus	GCA_029011745.1	Reproductive	1e-06	1	0
primary_72genome_9locus	GCA_050475565.1	Bacteraemia	0.0028693741	2869.3741	2868.3741
primary_72genome_9locus	GCF_906464925.1	Reproductive	0.0036377247	3637.7247	3636.7247
primary_72genome_9locus	GCA_050506775.1	Bacteraemia	0.0040681008	4068.1008	4067.1008
primary_72genome_9locus	GCA_029011535.1	Reproductive	9.34693e-05	93.4693	92.4693
primary_72genome_9locus	GCA_050506915.1	Bacteraemia	0	0	-1
primary_72genome_9locus	GCA_050506985.1	Bacteraemia	0	0	-1
primary_72genome_9locus	GCA_050506935.1	Bacteraemia	0	0	-1
primary_72genome_9locus	GCA_050506925.1	Bacteraemia	1e-06	1	0
primary_72genome_9locus	GCA_050476085.1	Bacteraemia	2.8944e-06	2.8944	1.8944
primary_72genome_9locus	GCA_050473355.1	Bacteraemia	2.2572e-06	2.2572	1.2572
primary_72genome_9locus	GCA_050473345.1	Bacteraemia	0.0002602165	260.2165	259.2165
primary_72genome_9locus	GCF_049262565.1	Reproductive	0.001878353	1878.353	1877.353
primary_72genome_9locus	GCA_050474485.1	Bacteraemia	0.0008538282	853.8282	852.8282
primary_72genome_9locus	GCA_050485635.1	Bacteraemia	0.000454153	454.153	453.153
primary_72genome_9locus	GCA_050469755.1	Bacteraemia	0	0	-1
primary_72genome_9locus	GCA_050507105.1	Bacteraemia	0	0	-1
primary_72genome_9locus	GCA_050481695.1	Bacteraemia	0	0	-1
primary_72genome_9locus	GCA_050473905.1	Bacteraemia	0	0	-1
primary_72genome_9locus	GCA_050507075.1	Bacteraemia	0	0	-1
primary_72genome_9locus	GCA_050482265.1	Bacteraemia	0	0	-1
primary_72genome_9locus	GCA_050492135.1	Bacteraemia	0	0	-1
primary_72genome_9locus	GCA_050492125.1	Bacteraemia	0	0	-1
primary_72genome_9locus	GCA_050506745.1	Bacteraemia	0	0	-1
primary_72genome_9locus	GCA_050506755.1	Bacteraemia	0	0	-1
primary_72genome_9locus	GCA_050485045.1	Bacteraemia	0	0	-1
primary_72genome_9locus	GCA_050472745.1	Bacteraemia	1e-06	1	0
primary_72genome_9locus	GCA_050485625.1	Bacteraemia	9.42823e-05	94.2823	93.2823
primary_72genome_9locus	GCA_050506885.1	Bacteraemia	0.0043182321	4318.2321	4317.2321
primary_72genome_9locus	GCA_050474495.1	Bacteraemia	1e-06	1	0
primary_72genome_9locus	GCA_050506905.1	Bacteraemia	1e-06	1	0
primary_72genome_9locus	GCF_053117695.1	Reproductive	0.0041882174	4188.2174	4187.2174
primary_72genome_9locus	GCA_050471105.1	Bacteraemia	0	0	-1
primary_72genome_9locus	GCA_050481115.1	Bacteraemia	0	0	-1
primary_72genome_9locus	GCA_050481685.1	Bacteraemia	0	0	-1
primary_72genome_9locus	GCA_050481105.1	Bacteraemia	0	0	-1
primary_72genome_9locus	GCA_050480515.1	Bacteraemia	2.4454e-06	2.4454	1.4454
primary_72genome_9locus	GCA_050486705.1	Bacteraemia	1e-06	1	0
primary_72genome_9locus	GCA_050506725.1	Bacteraemia	1e-06	1	0
primary_72genome_9locus	GCA_050506735.1	Bacteraemia	1e-06	1	0
primary_72genome_9locus	GCF_053117665.1	Reproductive	0.000189672	189.672	188.672
primary_72genome_9locus	GCA_050506765.1	Bacteraemia	9.47101e-05	94.7101	93.7101
primary_72genome_9locus	GCA_050506825.1	Bacteraemia	1e-06	1	0
primary_72genome_9locus	GCA_050516645.1	Bacteraemia	1e-06	1	0
primary_72genome_9locus	GCA_050516655.1	Bacteraemia	1e-06	1	0
primary_72genome_9locus	GCA_050475575.1	Bacteraemia	0	0	-1
primary_72genome_9locus	GCF_053117685.1	Reproductive	0	0	-1
primary_72genome_9locus	GCF_053117705.1	Reproductive	0	0	-1
primary_72genome_9locus	GCA_050506695.1	Bacteraemia	0	0	-1
primary_72genome_9locus	GCA_050506815.1	Bacteraemia	0	0	-1
primary_72genome_9locus	GCA_050516665.1	Bacteraemia	0	0	-1
primary_72genome_9locus	GCA_050507065.1	Bacteraemia	0	0	-1
primary_72genome_9locus	GCF_053117575.1	Reproductive	0	0	-1
primary_72genome_9locus	GCA_050506995.1	Bacteraemia	0	0	-1
primary_72genome_9locus	GCF_053117655.1	Reproductive	0	0	-1
primary_72genome_9locus	GCA_050506685.1	Bacteraemia	1e-06	1	0
primary_72genome_9locus	GCA_050516675.1	Bacteraemia	9.31686e-05	93.1686	92.1686
primary_72genome_9locus	GCA_050485055.1	Bacteraemia	0	0	-1
primary_72genome_9locus	GCA_050506675.1	Bacteraemia	0	0	-1
primary_72genome_9locus	GCF_053117585.1	Reproductive	0	0	-1
primary_72genome_9locus	GCA_050506865.1	Bacteraemia	0	0	-1
primary_72genome_9locus	GCA_050506665.1	Bacteraemia	1e-06	1	0
primary_72genome_9locus	GCA_050505635.1	Bacteraemia	2.4419e-06	2.4419	1.4419
primary_72genome_9locus	GCA_050505645.1	Bacteraemia	2.4365e-06	2.4365	1.4365
primary_72genome_9locus	GCA_050486715.1	Bacteraemia	9.20833e-05	92.0833	91.0833
primary_72genome_9locus	GCA_050491675.1	Bacteraemia	1e-06	1	0
primary_72genome_9locus	GCA_050491685.1	Bacteraemia	1e-06	1	0
primary_72genome_9locus	GCF_053117675.1	Reproductive	1e-06	1	0
primary_72genome_9locus	GCA_050472755.1	Bacteraemia	0.0067979732	6797.9732	6796.9732
primary_72genome_9locus	GCA_050506875.1	Bacteraemia	0.0019110787	1911.0787	1910.0787
sensitivity_71genome_9locus	GCA_029011255.1	Reproductive	0.0022515639	2251.5639	2250.5639
sensitivity_71genome_9locus	GCA_029011535.1	Reproductive	9.36857e-05	93.6857	92.6857
sensitivity_71genome_9locus	GCA_050506915.1	Bacteraemia	0	0	-1
sensitivity_71genome_9locus	GCA_050506935.1	Bacteraemia	0	0	-1
sensitivity_71genome_9locus	GCA_050506985.1	Bacteraemia	0	0	-1
sensitivity_71genome_9locus	GCA_050506925.1	Bacteraemia	1e-06	1	0
