Genome	Source	Locus	Official_allele	Contig	Start	Stop	Strand	Identity_percent	Allele_coverage_percent	Alignment_length	Mismatches	Gaps	Evalue	Bitscore	Is_exact_full_length
GCA_029011255.1	Reproductive	gdh	15	CP118048.1	741210	741739	-	100	100	530	0	0	0	957	TRUE
GCA_029011255.1	Reproductive	gdh	2	CP118048.1	741210	741739	-	99.811	100	530	1	0	0	952	FALSE
GCA_029011255.1	Reproductive	gdh	16	CP118048.1	741210	741739	-	99.811	100	530	1	0	0	952	FALSE
GCA_029011255.1	Reproductive	gdh	45	CP118048.1	741210	741739	-	99.811	100	530	1	0	0	952	FALSE
GCA_029011255.1	Reproductive	gdh	96	CP118048.1	741210	741739	-	99.811	100	530	1	0	0	952	FALSE
GCA_029011255.1	Reproductive	gdh	115	CP118048.1	741210	741739	-	99.811	100	530	1	0	0	952	FALSE
GCA_029011255.1	Reproductive	gdh	40	CP118048.1	741210	741739	-	99.623	100	530	2	0	0	948	FALSE
GCA_029011255.1	Reproductive	gdh	41	CP118048.1	741210	741739	-	99.623	100	530	2	0	0	948	FALSE
GCA_029011255.1	Reproductive	gdh	70	CP118048.1	741210	741739	-	99.623	100	530	2	0	0	948	FALSE
GCA_029011255.1	Reproductive	gdh	103	CP118048.1	741210	741739	-	99.623	100	530	2	0	0	948	FALSE
GCA_029011255.1	Reproductive	gdh	108	CP118048.1	741210	741739	-	99.623	100	530	2	0	0	948	FALSE
GCA_029011255.1	Reproductive	gdh	113	CP118048.1	741210	741739	-	99.623	100	530	2	0	0	948	FALSE
GCA_029011255.1	Reproductive	gdh	137	CP118048.1	741210	741739	-	99.623	100	530	2	0	0	948	FALSE
GCA_029011255.1	Reproductive	gdh	1	CP118048.1	741210	741739	-	99.434	100	530	3	0	0	943	FALSE
GCA_029011255.1	Reproductive	gdh	3	CP118048.1	741210	741739	-	99.434	100	530	3	0	0	943	FALSE
GCA_029011255.1	Reproductive	gdh	7	CP118048.1	741210	741739	-	99.434	100	530	3	0	0	943	FALSE
GCA_029011255.1	Reproductive	gdh	10	CP118048.1	741210	741739	-	99.434	100	530	3	0	0	943	FALSE
GCA_029011255.1	Reproductive	gdh	14	CP118048.1	741210	741739	-	99.434	100	530	3	0	0	943	FALSE
GCA_029011255.1	Reproductive	gdh	39	CP118048.1	741210	741739	-	99.434	100	530	3	0	0	943	FALSE
GCA_029011255.1	Reproductive	gdh	54	CP118048.1	741210	741739	-	99.434	100	530	3	0	0	943	FALSE
GCA_029011255.1	Reproductive	gdh	69	CP118048.1	741210	741739	-	99.434	100	530	3	0	0	943	FALSE
GCA_029011255.1	Reproductive	gyd	2	CP118048.1	1641606	1642000	-	100	100	395	0	0	0	713	TRUE
GCA_029011255.1	Reproductive	gyd	1	CP118048.1	1641606	1642000	-	99.747	100	395	1	0	0	709	FALSE
GCA_029011255.1	Reproductive	gyd	6	CP118048.1	1641606	1642000	-	99.747	100	395	1	0	0	709	FALSE
GCA_029011255.1	Reproductive	gyd	9	CP118048.1	1641606	1642000	-	99.747	100	395	1	0	0	709	FALSE
GCA_029011255.1	Reproductive	gyd	10	CP118048.1	1641606	1642000	-	99.747	100	395	1	0	0	709	FALSE
GCA_029011255.1	Reproductive	gyd	12	CP118048.1	1641606	1642000	-	99.747	100	395	1	0	0	709	FALSE
GCA_029011255.1	Reproductive	gyd	13	CP118048.1	1641606	1642000	-	99.747	100	395	1	0	0	709	FALSE
GCA_029011255.1	Reproductive	gyd	14	CP118048.1	1641606	1642000	-	99.747	100	395	1	0	0	709	FALSE
GCA_029011255.1	Reproductive	gyd	15	CP118048.1	1641606	1642000	-	99.747	100	395	1	0	0	709	FALSE
GCA_029011255.1	Reproductive	gyd	17	CP118048.1	1641606	1642000	-	99.747	100	395	1	0	0	709	FALSE
GCA_029011255.1	Reproductive	gyd	18	CP118048.1	1641606	1642000	-	99.747	100	395	1	0	0	709	FALSE
GCA_029011255.1	Reproductive	gyd	22	CP118048.1	1641606	1642000	-	99.747	100	395	1	0	0	709	FALSE
GCA_029011255.1	Reproductive	gyd	24	CP118048.1	1641606	1642000	-	99.747	100	395	1	0	0	709	FALSE
GCA_029011255.1	Reproductive	gyd	40	CP118048.1	1641606	1642000	-	99.747	100	395	1	0	0	709	FALSE
GCA_029011255.1	Reproductive	gyd	51	CP118048.1	1641606	1642000	-	99.747	100	395	1	0	0	709	FALSE
GCA_029011255.1	Reproductive	gyd	56	CP118048.1	1641606	1642000	-	99.747	100	395	1	0	0	709	FALSE
GCA_029011255.1	Reproductive	gyd	3	CP118048.1	1641606	1642000	-	99.494	100	395	2	0	0	704	FALSE
GCA_029011255.1	Reproductive	gyd	4	CP118048.1	1641606	1642000	-	99.494	100	395	2	0	0	704	FALSE
GCA_029011255.1	Reproductive	gyd	5	CP118048.1	1641606	1642000	-	99.494	100	395	2	0	0	704	FALSE
GCA_029011255.1	Reproductive	gyd	16	CP118048.1	1641606	1642000	-	99.494	100	395	2	0	0	704	FALSE
GCA_029011255.1	Reproductive	gyd	27	CP118048.1	1641606	1642000	-	99.494	100	395	2	0	0	704	FALSE
GCA_029011255.1	Reproductive	pstS	37	CP118048.1	1420076	1420658	-	100	100	583	0	0	0	1052	TRUE
GCA_029011255.1	Reproductive	pstS	19	CP118048.1	1420076	1420658	-	99.828	100	583	1	0	0	1048	FALSE
GCA_029011255.1	Reproductive	pstS	41	CP118048.1	1420076	1420658	-	99.828	100	583	1	0	0	1048	FALSE
GCA_029011255.1	Reproductive	pstS	42	CP118048.1	1420076	1420658	-	99.828	100	583	1	0	0	1048	FALSE
GCA_029011255.1	Reproductive	pstS	102	CP118048.1	1420076	1420658	-	99.828	100	583	1	0	0	1048	FALSE
GCA_029011255.1	Reproductive	pstS	103	CP118048.1	1420076	1420658	-	99.828	100	583	1	0	0	1048	FALSE
GCA_029011255.1	Reproductive	pstS	33	CP118048.1	1420076	1420658	-	99.657	100	583	2	0	0	1043	FALSE
GCA_029011255.1	Reproductive	pstS	61	CP118048.1	1420076	1420658	-	99.657	100	583	2	0	0	1043	FALSE
GCA_029011255.1	Reproductive	pstS	84	CP118048.1	1420076	1420658	-	99.657	100	583	2	0	0	1043	FALSE
GCA_029011255.1	Reproductive	pstS	89	CP118048.1	1420076	1420658	-	99.657	100	583	2	0	0	1043	FALSE
GCA_029011255.1	Reproductive	pstS	134	CP118048.1	1420077	1420658	-	99.657	100	583	1	1	0	1040	FALSE
GCA_029011255.1	Reproductive	pstS	4	CP118048.1	1420076	1420658	-	99.485	100	583	3	0	0	1039	FALSE
GCA_029011255.1	Reproductive	pstS	12	CP118048.1	1420076	1420658	-	99.485	100	583	3	0	0	1039	FALSE
GCA_029011255.1	Reproductive	pstS	14	CP118048.1	1420076	1420658	-	99.485	100	583	3	0	0	1039	FALSE
GCA_029011255.1	Reproductive	pstS	16	CP118048.1	1420076	1420658	-	99.485	100	583	3	0	0	1039	FALSE
GCA_029011255.1	Reproductive	pstS	17	CP118048.1	1420076	1420658	-	99.485	100	583	3	0	0	1039	FALSE
GCA_029011255.1	Reproductive	pstS	27	CP118048.1	1420076	1420658	-	99.485	100	583	3	0	0	1039	FALSE
GCA_029011255.1	Reproductive	pstS	85	CP118048.1	1420076	1420658	-	99.485	100	583	3	0	0	1039	FALSE
GCA_029011255.1	Reproductive	pstS	96	CP118048.1	1420076	1420658	-	99.485	100	583	3	0	0	1039	FALSE
GCA_029011255.1	Reproductive	pstS	121	CP118048.1	1420076	1420658	-	99.485	100	583	3	0	0	1039	FALSE
GCA_029011255.1	Reproductive	pstS	1	CP118048.1	1420076	1420658	-	99.314	100	583	4	0	0	1034	FALSE
GCA_029011255.1	Reproductive	gki	1	CP118048.1	2198899	2199336	-	100	100	438	0	0	0	791	TRUE
GCA_029011255.1	Reproductive	gki	2	CP118048.1	2198899	2199336	-	99.772	100	438	1	0	0	786	FALSE
GCA_029011255.1	Reproductive	gki	23	CP118048.1	2198899	2199336	-	99.772	100	438	1	0	0	786	FALSE
GCA_029011255.1	Reproductive	gki	24	CP118048.1	2198899	2199336	-	99.772	100	438	1	0	0	786	FALSE
GCA_029011255.1	Reproductive	gki	44	CP118048.1	2198899	2199336	-	99.772	100	438	1	0	0	786	FALSE
GCA_029011255.1	Reproductive	gki	46	CP118048.1	2198899	2199336	-	99.772	100	438	1	0	0	786	FALSE
GCA_029011255.1	Reproductive	gki	52	CP118048.1	2198899	2199336	-	99.772	100	438	1	0	0	786	FALSE
GCA_029011255.1	Reproductive	gki	64	CP118048.1	2198899	2199336	-	99.772	100	438	1	0	0	786	FALSE
GCA_029011255.1	Reproductive	gki	66	CP118048.1	2198899	2199336	-	99.772	100	438	1	0	0	786	FALSE
GCA_029011255.1	Reproductive	gki	76	CP118048.1	2198899	2199336	-	99.772	100	438	1	0	0	786	FALSE
GCA_029011255.1	Reproductive	gki	79	CP118048.1	2198899	2199336	-	99.772	100	438	1	0	0	786	FALSE
GCA_029011255.1	Reproductive	gki	97	CP118048.1	2198899	2199336	-	99.772	100	438	1	0	0	786	FALSE
GCA_029011255.1	Reproductive	gki	104	CP118048.1	2198899	2199336	-	99.772	100	438	1	0	0	786	FALSE
GCA_029011255.1	Reproductive	gki	116	CP118048.1	2198899	2199336	-	99.772	100	438	1	0	0	786	FALSE
GCA_029011255.1	Reproductive	gki	121	CP118048.1	2198899	2199336	-	99.772	100	438	1	0	0	786	FALSE
GCA_029011255.1	Reproductive	gki	16	CP118048.1	2198899	2199336	-	99.543	100	438	2	0	0	782	FALSE
GCA_029011255.1	Reproductive	gki	37	CP118048.1	2198899	2199336	-	99.543	100	438	2	0	0	782	FALSE
GCA_029011255.1	Reproductive	gki	54	CP118048.1	2198899	2199336	-	99.543	100	438	2	0	0	782	FALSE
GCA_029011255.1	Reproductive	gki	75	CP118048.1	2198899	2199336	-	99.543	100	438	2	0	0	782	FALSE
GCA_029011255.1	Reproductive	gki	19	CP118048.1	2198900	2199336	-	99.542	99.77168949771689	437	2	0	0	780	FALSE
GCA_029011255.1	Reproductive	gki	8	CP118048.1	2198899	2199336	-	99.315	100	438	3	0	0	777	FALSE
GCA_029011255.1	Reproductive	aroE	17	CP118048.1	1286341	1286799	+	100	100	459	0	0	0	829	TRUE
GCA_029011255.1	Reproductive	aroE	3	CP118048.1	1286341	1286799	+	99.782	100	459	1	0	0	824	FALSE
GCA_029011255.1	Reproductive	aroE	4	CP118048.1	1286341	1286799	+	99.782	100	459	1	0	0	824	FALSE
GCA_029011255.1	Reproductive	aroE	5	CP118048.1	1286341	1286799	+	99.782	100	459	1	0	0	824	FALSE
GCA_029011255.1	Reproductive	aroE	47	CP118048.1	1286341	1286799	+	99.782	100	459	1	0	0	824	FALSE
GCA_029011255.1	Reproductive	aroE	1	CP118048.1	1286341	1286799	+	99.564	100	459	2	0	0	820	FALSE
GCA_029011255.1	Reproductive	aroE	10	CP118048.1	1286341	1286799	+	99.564	100	459	2	0	0	820	FALSE
GCA_029011255.1	Reproductive	aroE	11	CP118048.1	1286341	1286799	+	99.564	100	459	2	0	0	820	FALSE
GCA_029011255.1	Reproductive	aroE	14	CP118048.1	1286341	1286799	+	99.564	100	459	2	0	0	820	FALSE
GCA_029011255.1	Reproductive	aroE	18	CP118048.1	1286341	1286799	+	99.564	100	459	2	0	0	820	FALSE
GCA_029011255.1	Reproductive	aroE	22	CP118048.1	1286341	1286799	+	99.564	100	459	2	0	0	820	FALSE
GCA_029011255.1	Reproductive	aroE	26	CP118048.1	1286341	1286799	+	99.564	100	459	2	0	0	820	FALSE
GCA_029011255.1	Reproductive	aroE	27	CP118048.1	1286341	1286799	+	99.564	100	459	2	0	0	820	FALSE
GCA_029011255.1	Reproductive	aroE	29	CP118048.1	1286341	1286799	+	99.564	100	459	2	0	0	820	FALSE
