assembly_accession	strain	reproductive_bacteraemia_category	PC1	PC2	PC3	ST
GCA_029011255.1	VSI48	Reproductive	3.00508057756995	-33.933818540593	0.100390213491904	165
GCA_029011395.1	VSI36	Reproductive	5.97282092151952	-5.52291447614097	-2.20568632997173	44
GCA_029011535.1	VSI19	Reproductive	4.84868636736803	1.47504340151532	3.27584717053899	19
GCA_029011745.1	VSI09	Reproductive	5.97282092151952	-5.52291447614098	-2.20568632997173	44
GCA_050469755.1	H820	Bacteraemia	6.82008110833635	2.8208360371557	-6.14130563489676	6
GCA_050471105.1	H815	Bacteraemia	3.50691250327614	2.25746057578505	9.71422752052458	40
GCA_050472745.1	C1578	Bacteraemia	6.82008110833635	2.8208360371557	-6.14130563489675	6
GCA_050472755.1	C1577	Bacteraemia	1.99366497690806	-4.83786723360634	0.195479361077552	53
GCA_050473345.1	C1555	Bacteraemia	4.26252895880141	0.223946953054354	1.98109794517329	202
GCA_050473355.1	C1554	Bacteraemia	4.19143690740044	0.112865169354839	1.16765655932106	21
GCA_050473905.1	C1539	Bacteraemia	6.82008110833635	2.8208360371557	-6.14130563489677	6
GCA_050474485.1	C1473	Bacteraemia	4.46897379842081	0.383801608359383	1.22915218312164	32
GCA_050474495.1	C1472	Bacteraemia	2.64511768264655	2.98743019204232	-14.4856888660412	778
GCA_050475565.1	C1336	Bacteraemia	3.22516355355161	-0.585136306131757	-1.99812266901331	28
GCA_050475575.1	C1329	Bacteraemia	-10.5427099046897	0.21982738843103	-1.36300783078643	179
GCA_050476085.1	C1321	Bacteraemia	4.55816739602639	0.664869825256878	0.901269905422051	21
GCA_050480515.1	C8814	Bacteraemia	3.50691250327614	2.25746057578505	9.71422752052459	40
GCA_050481105.1	C8810	Bacteraemia	3.50691250327614	2.25746057578505	9.71422752052459	40
GCA_050481115.1	C2195	Bacteraemia	3.50691250327614	2.25746057578505	9.71422752052459	40
GCA_050481685.1	C2194	Bacteraemia	3.50691250327614	2.25746057578505	9.71422752052459	40
GCA_050481695.1	C1225	Bacteraemia	6.82008110833635	2.8208360371557	-6.14130563489675	6
GCA_050482265.1	C1224	Bacteraemia	6.82008110833635	2.8208360371557	-6.14130563489675	6
GCA_050485045.1	C8816	Bacteraemia	6.82008110833635	2.8208360371557	-6.14130563489675	6
GCA_050485055.1	C8811	Bacteraemia	-9.02876801141972	1.26892699332794	-0.115961223798513	16
GCA_050485625.1	C2198	Bacteraemia	6.82008110833635	2.8208360371557	-6.14130563489675	6
GCA_050485635.1	C2196	Bacteraemia	4.98360874833386	2.06021602509617	-1.00587996009978	Unassigned
GCA_050486705.1	C1228	Bacteraemia	3.42271489940202	2.18566305589446	9.35963473184329	40
GCA_050486715.1	C1226	Bacteraemia	-9.11054120934107	1.21376544832223	-0.114547422625266	Unassigned
GCA_050491675.1	C1576	Bacteraemia	-6.20703251831191	-0.415804171916194	-1.29313982259337	480
GCA_050491685.1	C1574	Bacteraemia	-6.20703251831191	-0.415804171916194	-1.29313982259337	480
GCA_050492125.1	C1552	Bacteraemia	6.82008110833635	2.8208360371557	-6.14130563489675	6
GCA_050492135.1	C1551	Bacteraemia	6.82008110833635	2.8208360371557	-6.14130563489675	6
GCA_050505635.1	H797	Bacteraemia	-9.24112993036639	1.30876784815786	-0.120159354720078	16
GCA_050505645.1	H813	Bacteraemia	-9.24112993036639	1.30876784815786	-0.120159354720077	16
GCA_050506665.1	C6489	Bacteraemia	-9.02876801141972	1.26892699332794	-0.115961223798512	16
GCA_050506675.1	C6504	Bacteraemia	-9.02876801141972	1.26892699332794	-0.115961223798512	16
GCA_050506685.1	C5882	Bacteraemia	-10.5427099046897	0.21982738843103	-1.36300783078643	179
GCA_050506695.1	C5881	Bacteraemia	-10.5427099046897	0.21982738843103	-1.36300783078643	179
GCA_050506725.1	C5874	Bacteraemia	3.50321916123763	2.25428692864276	9.69848051748809	40
GCA_050506735.1	C5873	Bacteraemia	3.50321916123763	2.25428692864276	9.69848051748809	40
GCA_050506745.1	C5846	Bacteraemia	6.82008110833635	2.8208360371557	-6.14130563489675	6
GCA_050506755.1	C5844	Bacteraemia	6.82008110833635	2.8208360371557	-6.14130563489675	6
GCA_050506765.1	C6411	Bacteraemia	1.88534767344251	1.18335121719415	8.59644742446017	40
GCA_050506775.1	C6409	Bacteraemia	1.2019858732438	-1.70935104044617	-0.989499280151439	Unassigned
GCA_050506815.1	C6391	Bacteraemia	-10.5427099046897	0.21982738843103	-1.36300783078643	179
GCA_050506825.1	C6389	Bacteraemia	1.88534767344251	1.18335121719415	8.59644742446017	40
GCA_050506865.1	C6388	Bacteraemia	-9.02876801141972	1.26892699332794	-0.115961223798512	16
GCA_050506875.1	C6375	Bacteraemia	2.32138785417322	-30.696609004963	-0.548405939244717	1271
GCA_050506885.1	C5858	Bacteraemia	4.2876582563243	-6.82459179341646	-3.25100462118977	1112
GCA_050506905.1	C5845	Bacteraemia	2.64511768264655	2.98743019204232	-14.4856888660412	778
GCA_050506915.1	C1545	Bacteraemia	4.9524709393425	1.5111708023937	3.33675918993513	19
GCA_050506925.1	C1544	Bacteraemia	4.9524709393425	1.5111708023937	3.33675918993513	19
GCA_050506935.1	C1542	Bacteraemia	4.9524709393425	1.5111708023937	3.33675918993513	19
GCA_050506985.1	C1538	Bacteraemia	4.9524709393425	1.5111708023937	3.33675918993513	19
GCA_050506995.1	C1335	Bacteraemia	-10.5427099046897	0.21982738843103	-1.36300783078643	179
GCA_050507065.1	C1337	Bacteraemia	-10.5427099046897	0.21982738843103	-1.36300783078643	179
GCA_050507075.1	C1469	Bacteraemia	6.82008110833635	2.8208360371557	-6.14130563489675	6
GCA_050507105.1	C1468	Bacteraemia	6.82008110833635	2.8208360371557	-6.14130563489675	6
GCA_050516645.1	C5822	Bacteraemia	1.88716727959417	0.916195586317264	7.33102051013184	220
GCA_050516655.1	C5819	Bacteraemia	1.88716727959417	0.916195586317264	7.33102051013184	220
GCA_050516665.1	C6697	Bacteraemia	-10.5427099046897	0.21982738843103	-1.36300783078643	179
GCA_050516675.1	C6696	Bacteraemia	-10.3840740944907	0.314138457963202	-1.29519802514969	179
GCF_049262565.1	UMB6935B	Reproductive	3.617230840603	-1.02446527767247	1.12935173001699	30
GCF_053117575.1	5245	Reproductive	-10.5427099046897	0.21982738843103	-1.36300783078643	179
GCF_053117585.1	5410	Reproductive	-9.02876801141972	1.26892699332794	-0.115961223798512	16
GCF_053117655.1	5034	Reproductive	-10.5427099046897	0.21982738843103	-1.36300783078643	179
GCF_053117665.1	4953	Reproductive	3.42271489940202	2.18566305589446	9.35963473184329	40
GCF_053117675.1	4774	Reproductive	-6.06439440517147	-0.403146469731421	-1.24796006702804	480
GCF_053117685.1	4638	Reproductive	-10.5427099046897	0.21982738843103	-1.36300783078643	179
