sample_id	canonical_gene	reference_accession	percent_identity	query_coverage	reference_coverage	alignment_length_aa	gaps	mismatches	query_length_aa	reference_length_aa	query_start	query_end	reference_start	reference_end	evalue	bitscore	qc_status	failure_code
GCA_029011255.1	gdh	P54547	0.5329200000000001	0.9566929133858267	0.9938650306748467	486	8	219	508	489	6	491	9	486	0.0	540	FAIL	PROTEIN_COVERAGE_OR_IDENTITY
GCA_029011395.1	gdh	P54547	0.5329200000000001	0.9566929133858267	0.9938650306748467	486	8	219	508	489	6	491	9	486	0.0	541	FAIL	PROTEIN_COVERAGE_OR_IDENTITY
GCA_029011535.1	gdh	P54547	0.53079	0.9495967741935484	0.9631901840490797	471	8	213	496	489	6	476	9	471	0.0	523	FAIL	PROTEIN_COVERAGE_OR_IDENTITY
GCA_029011745.1	gdh	P54547	0.5329200000000001	0.9566929133858267	0.9938650306748467	486	8	219	508	489	6	491	9	486	0.0	541	FAIL	PROTEIN_COVERAGE_OR_IDENTITY
GCA_050469755.1	gdh	P54547	0.5329200000000001	0.9566929133858267	0.9938650306748467	486	8	219	508	489	6	491	9	486	0.0	541	FAIL	PROTEIN_COVERAGE_OR_IDENTITY
GCA_050471105.1	gdh	P54547	0.5329200000000001	0.9566929133858267	0.9938650306748467	486	8	219	508	489	6	491	9	486	0.0	541	FAIL	PROTEIN_COVERAGE_OR_IDENTITY
GCA_050472745.1	gdh	P54547	0.5329200000000001	0.9566929133858267	0.9938650306748467	486	8	219	508	489	6	491	9	486	0.0	541	FAIL	PROTEIN_COVERAGE_OR_IDENTITY
GCA_050472755.1	gdh	P54547	0.5329200000000001	0.9566929133858267	0.9938650306748467	486	8	219	508	489	6	491	9	486	0.0	541	FAIL	PROTEIN_COVERAGE_OR_IDENTITY
GCA_050473345.1	gdh	P54547	0.5329200000000001	0.9566929133858267	0.9938650306748467	486	8	219	508	489	6	491	9	486	0.0	541	FAIL	PROTEIN_COVERAGE_OR_IDENTITY
GCA_050473355.1	gdh	P54547	0.5329200000000001	0.9566929133858267	0.9938650306748467	486	8	219	508	489	6	491	9	486	0.0	541	FAIL	PROTEIN_COVERAGE_OR_IDENTITY
GCA_050473905.1	gdh	P54547	0.5329200000000001	0.9566929133858267	0.9938650306748467	486	8	219	508	489	6	491	9	486	0.0	541	FAIL	PROTEIN_COVERAGE_OR_IDENTITY
GCA_050474485.1	gdh	P54547	0.53498	0.9566929133858267	0.9938650306748467	486	8	218	508	489	6	491	9	486	0.0	543	FAIL	PROTEIN_COVERAGE_OR_IDENTITY
GCA_050474495.1	gdh	P54547	0.5329200000000001	0.9566929133858267	0.9938650306748467	486	8	219	508	489	6	491	9	486	0.0	541	FAIL	PROTEIN_COVERAGE_OR_IDENTITY
GCA_050475565.1	gdh	P54547	0.5329200000000001	0.9566929133858267	0.9938650306748467	486	8	219	508	489	6	491	9	486	0.0	541	FAIL	PROTEIN_COVERAGE_OR_IDENTITY
GCA_050475575.1	gdh	P54547	0.5329200000000001	0.9566929133858267	0.9938650306748467	486	8	219	508	489	6	491	9	486	0.0	541	FAIL	PROTEIN_COVERAGE_OR_IDENTITY
GCA_050476085.1	gdh	P54547	0.5329200000000001	0.9566929133858267	0.9938650306748467	486	8	219	508	489	6	491	9	486	0.0	541	FAIL	PROTEIN_COVERAGE_OR_IDENTITY
GCA_050480515.1	gdh	P54547	0.5329200000000001	0.9566929133858267	0.9938650306748467	486	8	219	508	489	6	491	9	486	0.0	541	FAIL	PROTEIN_COVERAGE_OR_IDENTITY
GCA_050481105.1	gdh	P54547	0.5329200000000001	0.9566929133858267	0.9938650306748467	486	8	219	508	489	6	491	9	486	0.0	541	FAIL	PROTEIN_COVERAGE_OR_IDENTITY
GCA_050481115.1	gdh	P54547	0.5329200000000001	0.9566929133858267	0.9938650306748467	486	8	219	508	489	6	491	9	486	0.0	541	FAIL	PROTEIN_COVERAGE_OR_IDENTITY
GCA_050481685.1	gdh	P54547	0.5329200000000001	0.9566929133858267	0.9938650306748467	486	8	219	508	489	6	491	9	486	0.0	541	FAIL	PROTEIN_COVERAGE_OR_IDENTITY
GCA_050481695.1	gdh	P54547	0.5329200000000001	0.9566929133858267	0.9938650306748467	486	8	219	508	489	6	491	9	486	0.0	541	FAIL	PROTEIN_COVERAGE_OR_IDENTITY
GCA_050482265.1	gdh	P54547	0.5329200000000001	0.9566929133858267	0.9938650306748467	486	8	219	508	489	6	491	9	486	0.0	541	FAIL	PROTEIN_COVERAGE_OR_IDENTITY
GCA_050485045.1	gdh	P54547	0.5329200000000001	0.9566929133858267	0.9938650306748467	486	8	219	508	489	6	491	9	486	0.0	541	FAIL	PROTEIN_COVERAGE_OR_IDENTITY
GCA_050485055.1	gdh	P54547	0.5329200000000001	0.9566929133858267	0.9938650306748467	486	8	219	508	489	6	491	9	486	0.0	541	FAIL	PROTEIN_COVERAGE_OR_IDENTITY
GCA_050485625.1	gdh	P54547	0.5329200000000001	0.9566929133858267	0.9938650306748467	486	8	219	508	489	6	491	9	486	0.0	541	FAIL	PROTEIN_COVERAGE_OR_IDENTITY
GCA_050485635.1	gdh	P54547	0.53498	0.9566929133858267	0.9938650306748467	486	8	218	508	489	6	491	9	486	0.0	543	FAIL	PROTEIN_COVERAGE_OR_IDENTITY
GCA_050486705.1	gdh	P54547	0.5329200000000001	0.9566929133858267	0.9938650306748467	486	8	219	508	489	6	491	9	486	0.0	541	FAIL	PROTEIN_COVERAGE_OR_IDENTITY
GCA_050486715.1	gdh	P54547	0.5329200000000001	0.9566929133858267	0.9938650306748467	486	8	219	508	489	6	491	9	486	0.0	541	FAIL	PROTEIN_COVERAGE_OR_IDENTITY
GCA_050491675.1	gdh	P54547	0.5329200000000001	0.9566929133858267	0.9938650306748467	486	8	219	508	489	6	491	9	486	0.0	541	FAIL	PROTEIN_COVERAGE_OR_IDENTITY
GCA_050491685.1	gdh	P54547	0.5329200000000001	0.9566929133858267	0.9938650306748467	486	8	219	508	489	6	491	9	486	0.0	541	FAIL	PROTEIN_COVERAGE_OR_IDENTITY
