VFG_ID	Reference_accession	Database_gene_symbol	Database_annotation	Original_header	Project_target	Mapping_status	Mapping_reason	Reference_length	Query_ID
VFG002164	WP_002395058	prgB/asc10	aggregation substance PrgB/Asc10	VFG002164(gb|WP_002395058) (prgB/asc10) aggregation substance PrgB/Asc10 [AS (VF0352) - Adherence (VFC0001)] [Enterococcus faecalis V583]	aggregation_substance_context	review_required_context	Aggregation-substance family member is retained but not equated with asa1	3918	VFG002164|WP_002395058|prgB/asc10|aggregation_substance_context
VFG002165	WP_002356954	efaA	endocarditis specific antigen	VFG002165(gb|WP_002356954) (efaA) endocarditis specific antigen [EfaA (VF0354) - Adherence (VFC0001)] [Enterococcus faecalis V583]	efaA	approved_primary	Explicit VFDB symbol matches the predefined project target	927	VFG002165|WP_002356954|efaA|efaA
VFG002166	WP_010714416	ace	collagen adhesin protein	VFG002166(gb|WP_010714416) (ace) collagen adhesin protein [Ace (VF0355) - Adherence (VFC0001)] [Enterococcus faecalis V583]	ace	approved_primary	Explicit VFDB symbol matches the predefined project target	2025	VFG002166|WP_010714416|ace|ace
VFG002171	WP_011109430	EF0149	aggregation substance	VFG002171(gb|WP_011109430) (EF0149) aggregation substance [AS (VF0352) - Adherence (VFC0001)] [Enterococcus faecalis V583]	aggregation_substance_context	review_required_context	Aggregation-substance family member is retained but not equated with asa1	3918	VFG002171|WP_011109430|EF0149|aggregation_substance_context
VFG002172	WP_010710127	EF0485	aggregation substance	VFG002172(gb|WP_010710127) (EF0485) aggregation substance [AS (VF0352) - Adherence (VFC0001)] [Enterococcus faecalis V583]	aggregation_substance_context	review_required_context	Aggregation-substance family member is retained but not equated with asa1	3918	VFG002172|WP_010710127|EF0485|aggregation_substance_context
VFG002173	WP_010785625	asa1	aggregation substance Asa1	VFG002173(gb|WP_010785625) (asa1) aggregation substance Asa1 [AS (VF0352) - Adherence (VFC0001)] [Enterococcus faecalis V583]	asa1_or_validated_equivalent	approved_primary	Explicit VFDB symbol matches the predefined project target	3891	VFG002173|WP_010785625|asa1|asa1_or_validated_equivalent
VFG002174	WP_002369251	gelE	coccolysin	VFG002174(gb|WP_002369251) (gelE) coccolysin [Gelatinase (VF0357) - Enzyme (VFC0251)] [Enterococcus faecalis V583]	gelE	approved_primary	Explicit VFDB symbol matches the predefined project target	1533	VFG002174|WP_002369251|gelE|gelE
VFG002175	AAM75248	cylR1	cytolysin regulator R1	VFG002175(gb|AAM75248) (cylR1) cytolysin regulator R1 [Cytolysin (VF0356) - Exotoxin (VFC0235)] [Enterococcus faecalis str. MMH594]	cytolysin_operon_context	context_only	Recognised cytolysin component retained without inferring operon function or phenotype	285	VFG002175|AAM75248|cylR1|cytolysin_operon_context
VFG002176	AAM75252	cylB	ABC-type transporter	VFG002176(gb|AAM75252) (cylB) ABC-type transporter [Cytolysin (VF0356) - Exotoxin (VFC0235)] [Enterococcus faecalis str. MMH594]	cytolysin_operon_context	context_only	Recognised cytolysin component retained without inferring operon function or phenotype	2145	VFG002176|AAM75252|cylB|cytolysin_operon_context
VFG002177	AAM75253	cylA	cytolysin activator	VFG002177(gb|AAM75253) (cylA) cytolysin activator [Cytolysin (VF0356) - Exotoxin (VFC0235)] [Enterococcus faecalis str. MMH594]	cylA	approved_primary	Explicit VFDB symbol matches the predefined project target	1239	VFG002177|AAM75253|cylA|cylA
VFG002178	AAM75254	cylI	cytolysin immunity protein	VFG002178(gb|AAM75254) (cylI) cytolysin immunity protein [Cytolysin (VF0356) - Exotoxin (VFC0235)] [Enterococcus faecalis str. MMH594]	cytolysin_operon_context	context_only	Recognised cytolysin component retained without inferring operon function or phenotype	984	VFG002178|AAM75254|cylI|cytolysin_operon_context
VFG002179	AAD09858	esp	Enterococcal surface protein; Esp	VFG002179(gb|AAD09858) (esp) Enterococcal surface protein; Esp [Esp (VF0353) - Adherence (VFC0001)] [Enterococcus faecalis str. MMH594]	esp	approved_primary	Explicit VFDB symbol matches the predefined project target	5622	VFG002179|AAD09858|esp|esp
VFG002191	WP_002369252	sprE	serine proteinase, V8 family	VFG002191(gb|WP_002369252) (sprE) serine proteinase, V8 family [SprE (VF0358) - Enzyme (VFC0251)] [Enterococcus faecalis V583]	sprE	approved_primary	Explicit VFDB symbol matches the predefined project target	855	VFG002191|WP_002369252|sprE|sprE
VFG042976	WP_154081516	ebpA	endocarditis and biofilm-associated pilus tip protein EbpA	VFG042976(gb|WP_154081516) (ebpA) endocarditis and biofilm-associated pilus tip protein EbpA [Ebp pili (VF0538) - Adherence (VFC0001)] [Enterococcus faecalis V583]	ebpA	approved_primary	Explicit VFDB symbol matches the predefined project target	3465	VFG042976|WP_154081516|ebpA|ebpA
VFG042977	WP_002379309	ebpB	endocarditis and biofilm-associated pilus minor subunit EbpB	VFG042977(gb|WP_002379309) (ebpB) endocarditis and biofilm-associated pilus minor subunit EbpB [Ebp pili (VF0538) - Adherence (VFC0001)] [Enterococcus faecalis V583]	ebpB	approved_primary	Explicit VFDB symbol matches the predefined project target	1431	VFG042977|WP_002379309|ebpB|ebpB
VFG042978	WP_011109477	ebpC	endocarditis and biofilm-associated pilus major subunit EbpC	VFG042978(gb|WP_011109477) (ebpC) endocarditis and biofilm-associated pilus major subunit EbpC [Ebp pili (VF0538) - Adherence (VFC0001)] [Enterococcus faecalis V583]	ebpC	approved_primary	Explicit VFDB symbol matches the predefined project target	1878	VFG042978|WP_011109477|ebpC|ebpC
VFG045470	AAM75247	cylR2	cytolysin regulator R2	VFG045470(gb|AAM75247) (cylR2) cytolysin regulator R2 [Cytolysin (VF0356) - Exotoxin (VFC0235)] [Enterococcus faecalis str. MMH594]	cytolysin_operon_context	context_only	Recognised cytolysin component retained without inferring operon function or phenotype	201	VFG045470|AAM75247|cylR2|cytolysin_operon_context
VFG045472	AAM75249	cylL	CylL; cytolysin subunit	VFG045472(gb|AAM75249) (cylL) CylL; cytolysin subunit [Cytolysin (VF0356) - Exotoxin (VFC0235)] [Enterococcus faecalis str. MMH594]	cytolysin_operon_context	context_only	Recognised cytolysin component retained without inferring operon function or phenotype	207	VFG045472|AAM75249|cylL|cytolysin_operon_context
VFG045473	AAM75250	cylS	CylS; cytolysin subunit	VFG045473(gb|AAM75250) (cylS) CylS; cytolysin subunit [Cytolysin (VF0356) - Exotoxin (VFC0235)] [Enterococcus faecalis str. MMH594]	cytolysin_operon_context	context_only	Recognised cytolysin component retained without inferring operon function or phenotype	192	VFG045473|AAM75250|cylS|cytolysin_operon_context
VFG045474	AAM75251	cylM	CylM; cytolysin subunit modifier	VFG045474(gb|AAM75251) (cylM) CylM; cytolysin subunit modifier [Cytolysin (VF0356) - Exotoxin (VFC0235)] [Enterococcus faecalis str. MMH594]	cytolysin_operon_context	context_only	Recognised cytolysin component retained without inferring operon function or phenotype	2982	VFG045474|AAM75251|cylM|cytolysin_operon_context
