assembly_accession	in_tree	biosample_accession	source_group	reproductive_bacteraemia_category	country	year	amr_gene_count	hlgr_gentamicin_marker_status	hlgr_gentamicin_markers	in_metadata	qc_status
GCA_029011255.1	TRUE	SAMN33275456	Vaginal swab	Reproductive	USA	NA	1	Not detected	NA	TRUE	MATCH
GCA_029011395.1	TRUE	SAMN33275452	Vaginal swab	Reproductive	USA	NA	1	Not detected	NA	TRUE	MATCH
GCA_029011745.1	TRUE	SAMN33275436	Vaginal swab	Reproductive	USA	NA	1	Not detected	NA	TRUE	MATCH
GCA_050475565.1	TRUE	SAMN44727039	Clinical laboratory	Bacteraemia	USA	NA	1	Present	GCA_050475565.1	TRUE	MATCH
GCF_906464925.1	TRUE	SAMEA6595201	Semen sample	Reproductive	United Kingdon	NA	1	Not detected	NA	TRUE	MATCH
GCA_050506775.1	TRUE	SAMN44727109	Clinical laboratory	Bacteraemia	USA	NA	1	Not detected	NA	TRUE	MATCH
GCA_029011535.1	TRUE	SAMN33275446	Vaginal swab	Reproductive	USA	NA	1	Not detected	NA	TRUE	MATCH
GCA_050506915.1	TRUE	SAMN44727100	Clinical laboratory	Bacteraemia	USA	NA	1	Not detected	NA	TRUE	MATCH
GCA_050506985.1	TRUE	SAMN44727097	Clinical laboratory	Bacteraemia	USA	NA	1	Not detected	NA	TRUE	MATCH
GCA_050506935.1	TRUE	SAMN44727098	Clinical laboratory	Bacteraemia	USA	NA	1	Not detected	NA	TRUE	MATCH
GCA_050506925.1	TRUE	SAMN44727099	Clinical laboratory	Bacteraemia	USA	NA	1	Not detected	NA	TRUE	MATCH
GCA_050476085.1	TRUE	SAMN44727037	Clinical laboratory	Bacteraemia	USA	NA	1	Not detected	NA	TRUE	MATCH
GCA_050473355.1	TRUE	SAMN44727047	Clinical laboratory	Bacteraemia	USA	NA	1	Not detected	NA	TRUE	MATCH
GCA_050473345.1	TRUE	SAMN44727048	Clinical laboratory	Bacteraemia	USA	NA	1	Not detected	NA	TRUE	MATCH
GCF_049262565.1	TRUE	SAMN47264607	Vaginal swab	Reproductive	USA	NA	1	Not detected	NA	TRUE	MATCH
GCA_050474485.1	TRUE	SAMN44727044	Clinical laboratory	Bacteraemia	USA	NA	1	Not detected	NA	TRUE	MATCH
