Genome,Source,ST,Study_ID,Contig_ID,Locus_number,Start,Stop,Strand,Reference_ID,Identity,Coverage,HSP_count,Detection_status
GCA_029011395.1,Reproductive,44,PRJNA934404,CP118057.1,1,435637,439529,+,WP_010785625,91.9973056978233,80.10794140323824,2,ambiguous_multiple_hit
GCA_029011395.1,Reproductive,44,PRJNA934404,CP118057.1,2,1327859,1331750,+,WP_010785625,96.557,100.0,1,ambiguous_multiple_hit
GCA_029011745.1,Reproductive,44,PRJNA934404,CP118085.1,1,390488,394379,+,WP_010785625,91.96530825864278,80.10794140323824,2,ambiguous_multiple_hit
GCA_029011745.1,Reproductive,44,PRJNA934404,CP118085.1,2,1213182,1217073,+,WP_010785625,96.557,100.0,1,ambiguous_multiple_hit
GCA_050469755.1,Bacteraemia,6,PRJNA1185791,CP175100.1,1,20404,24321,-,WP_010785625,95.41986995515695,80.13364173734259,2,ambiguous_multiple_hit
GCA_050469755.1,Bacteraemia,6,PRJNA1185791,CP175101.1,2,2491355,2495247,+,WP_010785625,93.37354225352112,80.10794140323824,2,ambiguous_multiple_hit
GCA_050475565.1,Bacteraemia,28,PRJNA1185791,CP175028.1,1,22201,26091,+,WP_010785625,95.631,100.0,1,ambiguous_multiple_hit
GCA_050475565.1,Bacteraemia,28,PRJNA1185791,CP175029.1,2,3912,7802,+,WP_010785625,99.126,100.0,1,ambiguous_multiple_hit
GCA_050475565.1,Bacteraemia,28,PRJNA1185791,CP175030.1,3,2739666,2743581,-,WP_010785625,92.66259147709067,80.10794140323824,2,ambiguous_multiple_hit
GCA_050475575.1,Bacteraemia,179,PRJNA1185791,CP175024.1,1,640,4557,+,WP_010785625,94.84304228058937,80.13364173734259,2,ambiguous_multiple_hit
GCA_050475575.1,Bacteraemia,179,PRJNA1185791,CP175025.1,2,1,3927,+,WP_010785625,94.50676237623763,80.13364173734259,2,ambiguous_multiple_hit
GCA_050475575.1,Bacteraemia,179,PRJNA1185791,CP175027.1,3,401960,405876,+,WP_010785625,93.62338929830183,80.10794140323824,2,ambiguous_multiple_hit
GCA_050491675.1,Bacteraemia,480,PRJNA1185791,CP175117.1,1,2870,6760,+,WP_010785625,97.353,100.0,1,ambiguous_multiple_hit
GCA_050491675.1,Bacteraemia,480,PRJNA1185791,CP175118.1,2,57183,61100,-,WP_010785625,94.74711947469571,80.13364173734259,2,ambiguous_multiple_hit
GCA_050491685.1,Bacteraemia,480,PRJNA1185791,CP175114.1,1,4136,8026,+,WP_010785625,97.353,100.0,1,ambiguous_multiple_hit
GCA_050491685.1,Bacteraemia,480,PRJNA1185791,CP175115.1,2,4467,8384,+,WP_010785625,94.74711947469571,80.13364173734259,2,ambiguous_multiple_hit
GCA_050506725.1,Bacteraemia,40,PRJNA1185791,CP175285.1,1,57215,61076,+,WP_010785625,96.256,98.84348496530455,1,ambiguous_multiple_hit
GCA_050506725.1,Bacteraemia,40,PRJNA1185791,CP175285.1,2,118238,122128,+,WP_010785625,97.353,100.0,1,ambiguous_multiple_hit
GCF_053117575.1,Reproductive,179,PRJNA1209846,NZ_CP181216.1,1,400135,404051,+,WP_010785625,93.59147644985582,80.10794140323824,2,ambiguous_multiple_hit
GCF_053117575.1,Reproductive,179,PRJNA1209846,NZ_CP181217.1,2,64231,68148,+,WP_010785625,94.52240262652145,80.13364173734259,2,ambiguous_multiple_hit
GCF_053117585.1,Reproductive,16,PRJNA1209846,NZ_CP181214.1,1,405557,409473,+,WP_010785625,93.59147644985582,80.10794140323824,2,ambiguous_multiple_hit
GCF_053117585.1,Reproductive,16,PRJNA1209846,NZ_CP181215.1,2,19973,24302,+,WP_010785625,91.9231165020337,80.13364173734259,3,ambiguous_multiple_hit
GCF_053117685.1,Reproductive,179,PRJNA1209846,NZ_CP181229.1,1,2702314,2706230,-,WP_010785625,93.59147644985582,80.10794140323824,2,ambiguous_multiple_hit
GCF_053117685.1,Reproductive,179,PRJNA1209846,NZ_CP181231.1,2,10593,14483,+,WP_010785625,96.942,100.0,1,ambiguous_multiple_hit
