sample_id	canonical_gene	reference_accession	percent_identity	query_coverage	reference_coverage	alignment_length_aa	gaps	mismatches	query_length_aa	reference_length_aa	query_start	query_end	reference_start	reference_end	evalue	bitscore	qc_status	failure_code
GCA_029011255.1	gdh	WP_002355906.1	0.99803	0.9980314960629921	1.0	507	0	1	508	507	1	507	1	507	0.0	1055	PASS	
GCA_029011395.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_029011535.1	gdh	WP_002355906.1	0.99165	0.9657258064516129	0.9447731755424064	479	0	4	496	507	1	479	1	479	0.0	988	PASS	
GCA_029011745.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050469755.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050471105.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050472745.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050472755.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050473345.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050473355.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050473905.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050474485.1	gdh	WP_002355906.1	0.99803	0.9980314960629921	1.0	507	0	1	508	507	1	507	1	507	0.0	1056	PASS	
GCA_050474495.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050475565.1	gdh	WP_002355906.1	0.99803	0.9980314960629921	1.0	507	0	1	508	507	1	507	1	507	0.0	1056	PASS	
GCA_050475575.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050476085.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050480515.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050481105.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050481115.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050481685.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050481695.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050482265.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050485045.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050485055.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050485625.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050485635.1	gdh	WP_002355906.1	0.99803	0.9980314960629921	1.0	507	0	1	508	507	1	507	1	507	0.0	1056	PASS	
GCA_050486705.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050486715.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050491675.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050491685.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050492125.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050492135.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050505635.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050505645.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050506665.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050506675.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050506685.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050506695.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050506725.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050506735.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050506745.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050506755.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050506765.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050506775.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050506815.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050506825.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050506865.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050506875.1	gdh	WP_002355906.1	0.99803	0.9980314960629921	1.0	507	0	1	508	507	1	507	1	507	0.0	1055	PASS	
GCA_050506885.1	gdh	WP_002355906.1	0.99803	0.9980314960629921	1.0	507	0	1	508	507	1	507	1	507	0.0	1055	PASS	
GCA_050506905.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050506915.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050506925.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050506935.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050506985.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050506995.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050507065.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050507075.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050507105.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050516645.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050516655.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050516665.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCA_050516675.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCF_049262565.1	gdh	WP_002355906.1	0.99803	0.9980314960629921	1.0	507	0	1	508	507	1	507	1	507	0.0	1056	PASS	
GCF_053117575.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCF_053117585.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCF_053117655.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
GCF_053117665.1	gdh	WP_002355906.1	1.0	0.9980314960629921	1.0	507	0	0	508	507	1	507	1	507	0.0	1057	PASS	
