Genome	strain	ST	multilocus_clade	core_clade	nearest_neighbour_ml	nearest_neighbour_ml_source	distance_ml	nearest_neighbour_core	nearest_neighbour_core_source	distance_core
GCA_029011255.1	GCA_029011255.1	165	NA	clade_1	GCA_050506875.1	Bacteraemia	0.00416087	GCA_050506875.1	Bacteraemia	0.00846608
GCA_029011395.1	GCA_029011395.1	44	clade_1	clade_1	GCA_029011745.1	Reproductive	0.000002	GCA_029011745.1	Reproductive	0.000467816
GCA_029011535.1	GCA_029011535.1	19	clade_1	clade_1	GCA_050506915.1; GCA_050506925.1; GCA_050506935.1; GCA_050506985.1	Bacteraemia; Bacteraemia; Bacteraemia; Bacteraemia	0.000191512; 0.000191512; 0.000191512; 0.000191512	GCA_050506985.1	Bacteraemia	0.000387594
GCA_029011745.1	GCA_029011745.1	44	clade_1	clade_1	GCA_029011395.1	Reproductive	0.000002	GCA_029011395.1	Reproductive	0.000467816
GCF_049262565.1	GCF_049262565.1	30	clade_1	NA	GCA_050473355.1	Bacteraemia	0.00303267	GCF_053117695.1	Reproductive	0.00674001
GCF_053117575.1	GCF_053117575.1	179	clade_1	clade_1	GCA_050475575.1; GCA_050506695.1; GCA_050506815.1; GCA_050506995.1; GCA_050507065.1; GCA_050516665.1; GCF_053117655.1; GCF_053117685.1; GCF_053117705.1	Bacteraemia; Bacteraemia; Bacteraemia; Bacteraemia; Bacteraemia; Bacteraemia; Reproductive; Reproductive; Reproductive	0; 0; 0; 0; 0; 0; 0; 0; 0	GCF_053117705.1	Reproductive	0.0000426308
GCF_053117585.1	GCF_053117585.1	16	clade_1	clade_1	GCA_050485055.1; GCA_050506675.1; GCA_050506865.1	Bacteraemia; Bacteraemia; Bacteraemia	0; 0; 0	GCA_050486715.1	Bacteraemia	0.0000465505
GCF_053117655.1	GCF_053117655.1	179	clade_1	clade_1	GCA_050475575.1; GCA_050506695.1; GCA_050506815.1; GCA_050506995.1; GCA_050507065.1; GCA_050516665.1; GCF_053117575.1; GCF_053117685.1; GCF_053117705.1	Bacteraemia; Bacteraemia; Bacteraemia; Bacteraemia; Bacteraemia; Bacteraemia; Reproductive; Reproductive; Reproductive	0; 0; 0; 0; 0; 0; 0; 0; 0	GCF_053117705.1	Reproductive	0.000051536
GCF_053117665.1	GCF_053117665.1	40	clade_1	clade_1	GCA_050486705.1	Bacteraemia	0.000193049	GCA_050486705.1	Bacteraemia	0.000805204
GCF_053117675.1	GCF_053117675.1	480	clade_1	clade_1	GCA_050491675.1; GCA_050491685.1	Bacteraemia; Bacteraemia	0.0000955279; 0.0000955279	GCA_050491675.1; GCA_050491685.1	Bacteraemia; Bacteraemia	0.0000635005; 0.0000635005
GCF_053117685.1	GCF_053117685.1	179	clade_1	clade_1	GCA_050475575.1; GCA_050506695.1; GCA_050506815.1; GCA_050506995.1; GCA_050507065.1; GCA_050516665.1; GCF_053117575.1; GCF_053117655.1; GCF_053117705.1	Bacteraemia; Bacteraemia; Bacteraemia; Bacteraemia; Bacteraemia; Bacteraemia; Reproductive; Reproductive; Reproductive	0; 0; 0; 0; 0; 0; 0; 0; 0	GCF_053117705.1	Reproductive	0.0000361868
GCF_053117695.1	GCF_053117695.1	211	clade_1	NA	GCA_050485635.1	Bacteraemia	0.00773488	GCF_049262565.1	Reproductive	0.00674001
GCF_053117705.1	GCF_053117705.1	179	clade_1	clade_1	GCA_050475575.1; GCA_050506695.1; GCA_050506815.1; GCA_050506995.1; GCA_050507065.1; GCA_050516665.1; GCF_053117575.1; GCF_053117655.1; GCF_053117685.1	Bacteraemia; Bacteraemia; Bacteraemia; Bacteraemia; Bacteraemia; Bacteraemia; Reproductive; Reproductive; Reproductive	0; 0; 0; 0; 0; 0; 0; 0; 0	GCF_053117685.1	Reproductive	0.0000361868
GCF_906464925.1	GCF_906464925.1	894	clade_1	clade_1	GCA_050485635.1	Bacteraemia	0.00753782	GCA_050491675.1; GCA_050491685.1	Bacteraemia; Bacteraemia	0.00749534; 0.00749534
