Genome,Source,ST,Study_ID,Original_genome_status,Contig_ID,Replicon_type,Replicon_description,Start,Stop,Strand,Asa1_reference_ID,Asa1_identity,Asa1_coverage,Asa1_bitscore,Asa1_HSP_count,Best_context_symbol,Best_context_reference_ID,Best_context_identity,Best_context_coverage,Best_context_bitscore,Competitive_locus_interpretation
GCA_029011395.1,Reproductive,44,PRJNA934404,ambiguous_multiple_hit,CP118057.1,chromosome,"Enterococcus faecalis strain VSI36 chromosome, complete genome",435637,439529,+,WP_010785625,91.9973056978233,80.10794140323824,3523.0,2,prgB/asc10,WP_002395058,93.956,99.9744767738642,6010.0,related_aggregation_substance_reference_best_supported
GCA_029011395.1,Reproductive,44,PRJNA934404,ambiguous_multiple_hit,CP118057.1,chromosome,"Enterococcus faecalis strain VSI36 chromosome, complete genome",1327859,1331750,+,WP_010785625,96.557,100.0,6412.0,1,EF0149,WP_011109430,94.12932338308458,76.92700357325165,3594.0,asa1_reference_best_supported
GCA_029011535.1,Reproductive,19,PRJNA934404,accepted_present,CP118073.1,plasmid,"Enterococcus faecalis strain VSI19 plasmid pEfVSI19_01, complete sequence",9856,13772,+,WP_010785625,95.41944170403586,80.13364173734259,3712.0,2,prgB/asc10,WP_002395058,95.662,100.0,6291.0,related_aggregation_substance_reference_best_supported
GCA_029011745.1,Reproductive,44,PRJNA934404,ambiguous_multiple_hit,CP118085.1,chromosome,"Enterococcus faecalis strain VSI09 chromosome, complete genome",390488,394379,+,WP_010785625,91.96530825864278,80.10794140323824,3523.0,2,prgB/asc10,WP_002395058,93.93,99.9744767738642,6001.0,related_aggregation_substance_reference_best_supported
GCA_029011745.1,Reproductive,44,PRJNA934404,ambiguous_multiple_hit,CP118085.1,chromosome,"Enterococcus faecalis strain VSI09 chromosome, complete genome",1213182,1217073,+,WP_010785625,96.557,100.0,6412.0,1,EF0149,WP_011109430,94.12932338308458,76.92700357325165,3594.0,asa1_reference_best_supported
GCA_050469755.1,Bacteraemia,6,PRJNA1185791,ambiguous_multiple_hit,CP175100.1,plasmid,"Enterococcus faecalis strain H820 plasmid unnamed1, complete sequence",20404,24321,-,WP_010785625,95.41986995515695,80.13364173734259,3721.0,2,prgB/asc10,WP_002395058,96.605,100.0,6467.0,related_aggregation_substance_reference_best_supported
GCA_050469755.1,Bacteraemia,6,PRJNA1185791,ambiguous_multiple_hit,CP175101.1,chromosome,"Enterococcus faecalis strain H820 chromosome, complete genome",2491355,2495247,+,WP_010785625,93.37354225352112,80.10794140323824,3712.0,2,EF0485,WP_010710127,94.67,100.0,6143.0,related_aggregation_substance_reference_best_supported
GCA_050472745.1,Bacteraemia,6,PRJNA1185791,accepted_present,CP175062.1,chromosome,"Enterococcus faecalis strain C1578 chromosome, complete genome",433241,437133,+,WP_010785625,93.37354225352112,80.10794140323824,3712.0,2,EF0485,WP_010710127,94.67,100.0,6143.0,related_aggregation_substance_reference_best_supported
GCA_050473905.1,Bacteraemia,6,PRJNA1185791,accepted_present,CP175056.1,chromosome,"Enterococcus faecalis strain C1539 chromosome, complete genome",392282,396174,+,WP_010785625,93.37354225352112,80.10794140323824,3712.0,2,EF0485,WP_010710127,94.67,100.0,6143.0,related_aggregation_substance_reference_best_supported
GCA_050474495.1,Bacteraemia,778,PRJNA1185791,accepted_present,CP175045.1,chromosome,"Enterococcus faecalis strain C1472 chromosome, complete genome",2259767,2263659,-,WP_010785625,91.9973056978233,80.10794140323824,3523.0,2,prgB/asc10,WP_002395058,93.981,99.9744767738642,6014.0,related_aggregation_substance_reference_best_supported
