sample_id	canonical_gene	selected_feature_id	reviewer	review_date	rationale
GCA_029011255.1	gyd	reproductive__GCA_029011255.1_01582	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_029011255.1	pstS	reproductive__GCA_029011255.1_01377	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_029011395.1	gyd	reproductive__GCA_029011395.1_01305	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_029011395.1	pstS	reproductive__GCA_029011395.1_01579	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_029011535.1	pstS	reproductive__GCA_029011535.1_01465	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_029011745.1	gyd	reproductive__GCA_029011745.1_01257	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_029011745.1	pstS	reproductive__GCA_029011745.1_01605	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050469755.1	gyd	bacteraemia__GCA_050469755.1_00827	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050469755.1	pstS	bacteraemia__GCA_050469755.1_00580	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050471105.1	gyd	bacteraemia__GCA_050471105.1_00744	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050471105.1	pstS	bacteraemia__GCA_050471105.1_00586	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050472745.1	gyd	bacteraemia__GCA_050472745.1_02188	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
GCA_050472745.1	pstS	bacteraemia__GCA_050472745.1_01939	OpenAI Codex-assisted review	2026-08-06	Selected the 891-nt PstS1 CDS supported by the pinned E. faecalis MLST pstS primer target and the consistent 891-nt ortholog across all 72 genomes; rejected the unsupported 855-nt paralog.
GCA_050472755.1	gyd	bacteraemia__GCA_050472755.1_01559	OpenAI Codex-assisted review	2026-08-06	Selected the 1002-nt GAPDH CDS: both pinned E. faecalis MLST gyd primers match this paralog; the alternative 1011-nt GAPDH CDS has neither primer match.
