genome_accession	source	ST	BioProject	replicon_accession	replicon_description	localisation_classification	replicon_length_bp	aac(6')-Ie/aph(2'')-Ia	aadD1	ant(6)-Ia	aph(3')-IIIa	catA	dfrF	dfrG	erm(B)	fexA	gyrA_S83I	gyrA_S83R	gyrA_S83Y	lnu(B)	lsa(A)	lsa(E)	optrA	parC_S80I	rpsJ_RATHK53Q	sat4	spw	str	tet(L)	tet(M)	tet(S)	vanA	vanB	vanH-A	vanH-B	vanR-A	vanR-B	vanS-A	vanS-B	vanW-B	vanX-A	vanX-B	vanY-A	vanY-B	vanZ-A
GCA_029011255.1	Reproductive	165	PRJNA934404	CP118048.1	chromosome	Chromosome	2699936	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_029011395.1	Reproductive	44	PRJNA934404	CP118057.1	chromosome	Chromosome	2940442	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_029011535.1	Reproductive	19	PRJNA934404	CP118072.1	chromosome	Chromosome	2795902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_029011535.1	Reproductive	19	PRJNA934404	CP118073.1	pEfVSI19_01	Plasmid	70631	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_029011745.1	Reproductive	44	PRJNA934404	CP118085.1	chromosome	Chromosome	2984075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050469755.1	Bacteraemia	6	PRJNA1185791	CP175101.1	chromosome	Chromosome	3037128	1	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050471105.1	Bacteraemia	40	PRJNA1185791	CP175093.1	chromosome	Chromosome	2942728	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050472745.1	Bacteraemia	6	PRJNA1185791	CP175061.1	unnamed1	Plasmid	67301	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050472745.1	Bacteraemia	6	PRJNA1185791	CP175062.1	chromosome	Chromosome	3118646	1	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050472755.1	Bacteraemia	53	PRJNA1185791	CP175059.1	unnamed1	Plasmid	42347	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050472755.1	Bacteraemia	53	PRJNA1185791	CP175060.1	chromosome	Chromosome	2745438	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050473345.1	Bacteraemia	202	PRJNA1185791	CP175058.1	chromosome	Chromosome	2794695	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050473355.1	Bacteraemia	21	PRJNA1185791	CP175057.1	chromosome	Chromosome	2841459	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050473905.1	Bacteraemia	6	PRJNA1185791	CP175054.1	unnamed1	Plasmid	23077	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050473905.1	Bacteraemia	6	PRJNA1185791	CP175056.1	chromosome	Chromosome	3104972	1	0	1	1	0	2	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA_050474485.1	Bacteraemia	32	PRJNA1185791	CP175046.1	chromosome	Chromosome	2733050	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
