Name,Protein id,Contig id,Start,Stop,Strand,Element symbol,Element name,Scope,Type,Subtype,Class,Subclass,Method,Target length,Reference sequence length,% Coverage of reference,% Identity to reference,Alignment length,Closest reference accession,Closest reference name,HMM accession,HMM description
GCA_029011255.1,,CP118048.1,2136910,2138403,-,lsa(A),ABC-F type ribosomal protection protein Lsa(A),core,AMR,AMR,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,BLASTX,498,498,100.0,99.2,498,WP_002387187.1,ABC-F type ribosomal protection protein Lsa(A),,
GCA_029011395.1,,CP118057.1,153244,155160,+,tet(M),tetracycline resistance ribosomal protection protein Tet(M),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100.0,100.0,639,WP_000691737.1,tetracycline resistance ribosomal protection protein Tet(M),,
GCA_029011395.1,,CP118057.1,723597,725090,+,lsa(A),ABC-F type ribosomal protection protein Lsa(A),core,AMR,AMR,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,BLASTX,498,498,100.0,99.4,498,WP_002387187.1,ABC-F type ribosomal protection protein Lsa(A),,
GCA_029011535.1,,CP118072.1,724109,725263,+,lsa(A),ABC-F type ribosomal protection protein Lsa(A),core,AMR,AMR,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,PARTIALX,385,498,77.31,100.0,385,WP_002398829.1,ABC-F type ribosomal protection protein Lsa(A),,
GCA_029011535.1,,CP118072.1,1930701,1932623,+,tet(S),tetracycline resistance ribosomal protection protein Tet(S),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,641,641,100.0,100.0,641,WP_000691722.1,tetracycline resistance ribosomal protection protein Tet(S),,
GCA_029011535.1,,CP118073.1,54262,54996,-,erm(B),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),core,AMR,AMR,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B,EXACTX,245,245,100.0,100.0,245,WP_001038790.1,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),,
GCA_029011745.1,,CP118085.1,312128,314044,+,tet(M),tetracycline resistance ribosomal protection protein Tet(M),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100.0,100.0,639,WP_000691727.1,tetracycline resistance ribosomal protection protein Tet(M),,
GCA_029011745.1,,CP118085.1,2382644,2383798,-,lsa(A),ABC-F type ribosomal protection protein Lsa(A),core,AMR,AMR,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,PARTIALX,385,498,77.31,99.48,385,WP_002387187.1,ABC-F type ribosomal protection protein Lsa(A),,
GCF_049262565.1,,NZ_CP185997.1,2333107,2334600,-,lsa(A),ABC-F type ribosomal protection protein Lsa(A),core,AMR,AMR,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,EXACTX,498,498,100.0,100.0,498,WP_002365053.1,ABC-F type ribosomal protection protein Lsa(A),,
GCF_049262565.1,,NZ_CP185997.1,2469444,2470607,+,tet(M),tetracycline resistance ribosomal protection protein Tet(M),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,INTERNAL_STOP,388,639,60.72,98.45,388,WP_063856115.1,tetracycline resistance ribosomal protection protein Tet(M),,
