Genome,Source,Target_gene,Detection_status,Status_reason,Database_gene_symbol,Reference_accession,Contig_ID,Start,Stop,Strand,Identity,Coverage,Candidate_locus_count
GCA_029011255.1,Reproductive,ace,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ace,WP_010714416,CP118048.1,863332,865074,+,94.04790825386385,100.0,1
GCA_029011255.1,Reproductive,efaA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,efaA,WP_002356954,CP118048.1,1696626,1697552,+,99.569,100.0,1
GCA_029011255.1,Reproductive,ebpA,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpA,WP_154081516,CP118048.1,852136,855600,+,99.076,100.0,1
GCA_029011255.1,Reproductive,ebpB,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpB,WP_002379309,CP118048.1,855604,857034,+,99.02200000000002,100.0,1
GCA_029011255.1,Reproductive,ebpC,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ebpC,WP_011109477,CP118048.1,857031,858914,+,98.779,100.0,1
GCA_029011255.1,Reproductive,asa1_or_validated_equivalent,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0
GCA_029011255.1,Reproductive,gelE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,gelE,WP_002369251,CP118048.1,1539882,1541414,-,98.89100000000002,100.0,1
GCA_029011255.1,Reproductive,sprE,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,sprE,WP_002369252,CP118048.1,1538979,1539833,-,98.48,100.0,1
GCA_029011255.1,Reproductive,esp,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0
GCA_029011255.1,Reproductive,cylA,not_detected,No candidate met a retained detection-status threshold,,,,,,,,,0
GCA_029011395.1,Reproductive,ace,accepted_present,One distinct genomic locus meets >=80% identity and >=80% reference coverage,ace,WP_010714416,CP118057.1,2077341,2079224,-,94.44903830141548,100.0,1
