Genome	Tree	Nearest_neighbour	Nearest_neighbour_source	Patristic_distance	Num_tied_neighbours	strain	ST
GCA_029011255.1	multilocus	GCA_050506875.1	Bacteraemia	0.00416087	1	GCA_029011255.1	165
GCA_029011395.1	multilocus	GCA_029011745.1	Reproductive	0.000002	1	GCA_029011395.1	44
GCA_029011535.1	multilocus	GCA_050506915.1; GCA_050506925.1; GCA_050506935.1; GCA_050506985.1	Bacteraemia; Bacteraemia; Bacteraemia; Bacteraemia	0.000191512; 0.000191512; 0.000191512; 0.000191512	4	GCA_029011535.1	19
GCA_029011745.1	multilocus	GCA_029011395.1	Reproductive	0.000002	1	GCA_029011745.1	44
GCF_049262565.1	multilocus	GCA_050473355.1	Bacteraemia	0.00303267	1	GCF_049262565.1	30
GCF_053117575.1	multilocus	GCA_050475575.1; GCA_050506695.1; GCA_050506815.1; GCA_050506995.1; GCA_050507065.1; GCA_050516665.1; GCF_053117655.1; GCF_053117685.1; GCF_053117705.1	Bacteraemia; Bacteraemia; Bacteraemia; Bacteraemia; Bacteraemia; Bacteraemia; Reproductive; Reproductive; Reproductive	0; 0; 0; 0; 0; 0; 0; 0; 0	9	GCF_053117575.1	179
GCF_053117585.1	multilocus	GCA_050485055.1; GCA_050506675.1; GCA_050506865.1	Bacteraemia; Bacteraemia; Bacteraemia	0; 0; 0	3	GCF_053117585.1	16
GCF_053117655.1	multilocus	GCA_050475575.1; GCA_050506695.1; GCA_050506815.1; GCA_050506995.1; GCA_050507065.1; GCA_050516665.1; GCF_053117575.1; GCF_053117685.1; GCF_053117705.1	Bacteraemia; Bacteraemia; Bacteraemia; Bacteraemia; Bacteraemia; Bacteraemia; Reproductive; Reproductive; Reproductive	0; 0; 0; 0; 0; 0; 0; 0; 0	9	GCF_053117655.1	179
GCF_053117665.1	multilocus	GCA_050486705.1	Bacteraemia	0.000193049	1	GCF_053117665.1	40
GCF_053117675.1	multilocus	GCA_050491675.1; GCA_050491685.1	Bacteraemia; Bacteraemia	0.0000955279; 0.0000955279	2	GCF_053117675.1	480
GCF_053117685.1	multilocus	GCA_050475575.1; GCA_050506695.1; GCA_050506815.1; GCA_050506995.1; GCA_050507065.1; GCA_050516665.1; GCF_053117575.1; GCF_053117655.1; GCF_053117705.1	Bacteraemia; Bacteraemia; Bacteraemia; Bacteraemia; Bacteraemia; Bacteraemia; Reproductive; Reproductive; Reproductive	0; 0; 0; 0; 0; 0; 0; 0; 0	9	GCF_053117685.1	179
GCF_053117695.1	multilocus	GCA_050485635.1	Bacteraemia	0.00773488	1	GCF_053117695.1	211
GCF_053117705.1	multilocus	GCA_050475575.1; GCA_050506695.1; GCA_050506815.1; GCA_050506995.1; GCA_050507065.1; GCA_050516665.1; GCF_053117575.1; GCF_053117655.1; GCF_053117685.1	Bacteraemia; Bacteraemia; Bacteraemia; Bacteraemia; Bacteraemia; Bacteraemia; Reproductive; Reproductive; Reproductive	0; 0; 0; 0; 0; 0; 0; 0; 0	9	GCF_053117705.1	179
GCF_906464925.1	multilocus	GCA_050485635.1	Bacteraemia	0.00753782	1	GCF_906464925.1	894
