Genome,Source,accepted_aminoglycoside_genes,aminoglycoside_gene_count,flagged_aminoglycoside_hits
GCA_029011255.1,Reproductive,,0,
GCA_029011395.1,Reproductive,,0,
GCA_029011535.1,Reproductive,,0,
GCA_029011745.1,Reproductive,,0,
GCF_049262565.1,Reproductive,,0,
GCF_053117575.1,Reproductive,aac(6')-Ie/aph(2'')-Ia; aph(3')-IIIa,2,ant(6)-Ia|PARTIALX|PARTIALX; ant(6)-Ia|PARTIALX|PARTIALX;coverage_below_80
GCF_053117585.1,Reproductive,aac(6')-Ie/aph(2'')-Ia; str,2,ant(6)-Ia|PARTIALX|PARTIALX
GCF_053117655.1,Reproductive,ant(6)-Ia; aph(3')-IIIa,2,ant(6)-Ia|PARTIALX|PARTIALX; ant(6)-Ia|PARTIALX|PARTIALX;coverage_below_80
GCF_053117665.1,Reproductive,ant(6)-Ia; aph(3')-IIIa,2,
GCF_053117675.1,Reproductive,ant(6)-Ia; aph(3')-IIIa; spw,3,ant(6)-Ia|PARTIALX|PARTIALX; ant(6)-Ia|PARTIALX|PARTIALX;coverage_below_80
GCF_053117685.1,Reproductive,aac(6')-Ie/aph(2'')-Ia; aph(3')-IIIa,2,ant(6)-Ia|PARTIALX|PARTIALX; ant(6)-Ia|PARTIALX|PARTIALX;coverage_below_80
GCF_053117695.1,Reproductive,aac(6')-Ie/aph(2'')-Ia,1,
GCF_053117705.1,Reproductive,aac(6')-Ie/aph(2'')-Ia; aph(3')-IIIa,2,ant(6)-Ia|PARTIALX|PARTIALX; ant(6)-Ia|PARTIALX|PARTIALX;coverage_below_80
GCF_906464925.1,Reproductive,str,1,
GCA_050469755.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,1,
GCA_050471105.1,Bacteraemia,,0,
GCA_050472745.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia; ant(6)-Ia; aph(3')-IIIa,3,
GCA_050472755.1,Bacteraemia,,0,
GCA_050473345.1,Bacteraemia,,0,
GCA_050473355.1,Bacteraemia,,0,
GCA_050473905.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia; ant(6)-Ia; aph(3')-IIIa,3,
GCA_050474485.1,Bacteraemia,,0,
GCA_050474495.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,1,
GCA_050475565.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,1,
GCA_050475575.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,1,ant(6)-Ia|PARTIALX|PARTIALX
GCA_050476085.1,Bacteraemia,,0,
GCA_050480515.1,Bacteraemia,,0,
GCA_050481105.1,Bacteraemia,,0,
GCA_050481115.1,Bacteraemia,,0,
GCA_050481685.1,Bacteraemia,,0,
GCA_050481695.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia; aadD1; ant(6)-Ia; aph(3')-IIIa,4,
GCA_050482265.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia; aadD1; ant(6)-Ia; aph(3')-IIIa,4,
GCA_050485045.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia; aadD1,2,
GCA_050485055.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia; aadD1,2,
GCA_050485625.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia; aadD1; ant(6)-Ia; aph(3')-IIIa,4,
GCA_050485635.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia; aadD1; ant(6)-Ia; aph(3')-IIIa,4,
GCA_050486705.1,Bacteraemia,ant(6)-Ia; aph(3')-IIIa,2,
GCA_050486715.1,Bacteraemia,,0,
GCA_050491675.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia; aph(3')-IIIa,2,ant(6)-Ia|PARTIALX|PARTIALX; ant(6)-Ia|PARTIALX|PARTIALX;coverage_below_80
GCA_050491685.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia; aph(3')-IIIa,2,ant(6)-Ia|PARTIALX|PARTIALX; ant(6)-Ia|PARTIALX|PARTIALX;coverage_below_80
GCA_050492125.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia; ant(6)-Ia; aph(3')-IIIa,3,
GCA_050492135.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia; ant(6)-Ia; aph(3')-IIIa,3,
GCA_050505635.1,Bacteraemia,ant(6)-Ia; spw,2,ant(6)-Ia|PARTIALX|PARTIALX;coverage_below_80
GCA_050505645.1,Bacteraemia,ant(6)-Ia; spw,2,ant(6)-Ia|PARTIALX|PARTIALX;coverage_below_80
GCA_050506665.1,Bacteraemia,,0,
GCA_050506675.1,Bacteraemia,,0,
GCA_050506685.1,Bacteraemia,,0,
GCA_050506695.1,Bacteraemia,,0,
GCA_050506725.1,Bacteraemia,,0,
GCA_050506735.1,Bacteraemia,,0,
GCA_050506745.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia; ant(6)-Ia; aph(3')-IIIa,3,
GCA_050506755.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,1,
GCA_050506765.1,Bacteraemia,,0,
GCA_050506775.1,Bacteraemia,,0,
