dataset,genome_id,functional_amr_hit_count,unique_amr_gene_count,amr_genes_present,amr_drug_classes,amr_drug_subclasses,exact_exactx_hit_count,blastx_hit_count,partialx_hit_count,other_hit_count,low_coverage_functional_hit_count,streptogramin_lincosamide_gene_count,streptogramin_lincosamide_genes,tetracycline_gene_count,tetracycline_genes,aminoglycoside_gene_count,aminoglycoside_genes,gentamicin_related_gene_count,gentamicin_related_genes,internal_stop_hit_count,internal_stop_genes
Reproductive,amrfinder_all_14,92,14,GCA_029011255.1; GCA_029011395.1; GCA_029011535.1; GCA_029011745.1; GCF_049262565.1; GCF_053117575.1; GCF_053117585.1; GCF_053117655.1; GCF_053117665.1; GCF_053117675.1; GCF_053117685.1; GCF_053117695.1; GCF_053117705.1; GCF_906464925.1,AMINOGLYCOSIDE; LINCOSAMIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; OXAZOLIDINONE/PHENICOL; PHENICOL; QUINOLONE; STREPTOTHRICIN; TETRACYCLINE; TRIMETHOPRIM,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN; AMIKACIN/KANAMYCIN; AMINOGLYCOSIDE; CHLORAMPHENICOL; CHLORAMPHENICOL/FLORFENICOL; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; FLORFENICOL/OXAZOLIDINONE; LINCOSAMIDE; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; STREPTOMYCIN; STREPTOTHRICIN; TETRACYCLINE; TRIMETHOPRIM,57,17,14,4,0,14,GCA_029011255.1; GCA_029011395.1; GCA_029011535.1; GCA_029011745.1; GCF_049262565.1; GCF_053117575.1; GCF_053117585.1; GCF_053117655.1; GCF_053117665.1; GCF_053117675.1; GCF_053117685.1; GCF_053117695.1; GCF_053117705.1; GCF_906464925.1,12,GCA_029011395.1; GCA_029011535.1; GCA_029011745.1; GCF_053117575.1; GCF_053117585.1; GCF_053117655.1; GCF_053117665.1; GCF_053117675.1; GCF_053117685.1; GCF_053117695.1; GCF_053117705.1; GCF_906464925.1,9,GCF_053117575.1; GCF_053117585.1; GCF_053117655.1; GCF_053117665.1; GCF_053117675.1; GCF_053117685.1; GCF_053117695.1; GCF_053117705.1; GCF_906464925.1,5,GCF_053117575.1; GCF_053117585.1; GCF_053117685.1; GCF_053117695.1; GCF_053117705.1,2,GCF_049262565.1; GCF_053117655.1
Reproductive,GCA_029011255.1.,1,1,GCA_029011255.1,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,0,1,0,0,0,1,GCA_029011255.1,0,,0,,0,,0,
Reproductive,GCA_029011395.1.,2,1,GCA_029011395.1,LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,1,1,0,0,0,1,GCA_029011395.1,1,GCA_029011395.1,0,,0,,0,
Reproductive,GCA_029011535.1.,3,1,GCA_029011535.1,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,2,0,1,0,0,1,GCA_029011535.1,1,GCA_029011535.1,0,,0,,0,
Reproductive,GCA_029011745.1.,2,1,GCA_029011745.1,LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,1,0,1,0,0,1,GCA_029011745.1,1,GCA_029011745.1,0,,0,,0,
Reproductive,GCF_049262565.1.,2,1,GCF_049262565.1,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN,2,0,0,0,0,1,GCF_049262565.1,0,,0,,0,,1,GCF_049262565.1
Reproductive,GCF_053117575.1.,9,1,GCF_053117575.1,AMINOGLYCOSIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; STREPTOTHRICIN; TETRACYCLINE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN; AMIKACIN/KANAMYCIN; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; STREPTOMYCIN; STREPTOTHRICIN; TETRACYCLINE,6,1,2,0,0,1,GCF_053117575.1,1,GCF_053117575.1,1,GCF_053117575.1,1,GCF_053117575.1,0,
Reproductive,GCF_053117585.1.,8,1,GCF_053117585.1,AMINOGLYCOSIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; PHENICOL; TETRACYCLINE; TRIMETHOPRIM,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN; CHLORAMPHENICOL; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; STREPTOMYCIN; TETRACYCLINE; TRIMETHOPRIM,6,1,1,0,0,1,GCF_053117585.1,1,GCF_053117585.1,1,GCF_053117585.1,1,GCF_053117585.1,0,
Reproductive,GCF_053117655.1.,9,1,GCF_053117655.1,AMINOGLYCOSIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,AMIKACIN/KANAMYCIN; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; STREPTOMYCIN; TETRACYCLINE,5,1,3,0,0,1,GCF_053117655.1,1,GCF_053117655.1,1,GCF_053117655.1,0,,1,GCF_053117655.1
Reproductive,GCF_053117665.1.,8,1,GCF_053117665.1,AMINOGLYCOSIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; STREPTOTHRICIN; TETRACYCLINE,AMIKACIN/KANAMYCIN; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; STREPTOMYCIN; STREPTOTHRICIN; TETRACYCLINE,7,1,0,0,0,1,GCF_053117665.1,1,GCF_053117665.1,1,GCF_053117665.1,0,,0,
