Genome,Query_ID,Target_gene,Database_gene_symbol,Reference_accession,Reference_name,Mapping_status,Contig_ID,Start,Stop,Strand,Identity,Coverage,HSP_count,Best_bitscore
GCA_029011255.1,VFG002165|WP_002356954|efaA|efaA,efaA,efaA,WP_002356954,endocarditis specific antigen,approved_primary,CP118048.1,1696626,1697552,+,99.569,100.0,1,1654.0
GCA_029011255.1,VFG002166|WP_010714416|ace|ace,ace,ace,WP_010714416,collagen adhesin protein,approved_primary,CP118048.1,863332,865074,+,94.04790825386385,100.0,7,2327.0
GCA_029011255.1,VFG002174|WP_002369251|gelE|gelE,gelE,gelE,WP_002369251,coccolysin,approved_primary,CP118048.1,1539882,1541414,-,98.89100000000002,100.0,1,2689.0
GCA_029011255.1,VFG002191|WP_002369252|sprE|sprE,sprE,sprE,WP_002369252,"serine proteinase, V8 family",approved_primary,CP118048.1,1538979,1539833,-,98.48,100.0,1,1484.0
GCA_029011255.1,VFG042976|WP_154081516|ebpA|ebpA,ebpA,ebpA,WP_154081516,endocarditis and biofilm-associated pilus tip protein EbpA,approved_primary,CP118048.1,852136,855600,+,99.076,100.0,1,6105.0
GCA_029011255.1,VFG042977|WP_002379309|ebpB|ebpB,ebpB,ebpB,WP_002379309,endocarditis and biofilm-associated pilus minor subunit EbpB,approved_primary,CP118048.1,855604,857034,+,99.02200000000002,100.0,1,2518.0
GCA_029011255.1,VFG042978|WP_011109477|ebpC|ebpC,ebpC,ebpC,WP_011109477,endocarditis and biofilm-associated pilus major subunit EbpC,approved_primary,CP118048.1,857031,858914,+,98.779,100.0,1,3296.0
GCA_050469755.1,VFG002164|WP_002395058|prgB/asc10|aggregation_substance_context,aggregation_substance_context,prgB/asc10,WP_002395058,aggregation substance PrgB/Asc10,review_required_context,CP175100.1,20404,24321,-,96.605,100.0,1,6467.0
GCA_050469755.1,VFG002164|WP_002395058|prgB/asc10|aggregation_substance_context,aggregation_substance_context,prgB/asc10,WP_002395058,aggregation substance PrgB/Asc10,review_required_context,CP175101.1,2491355,2495247,+,94.469,99.97447677386421,1,6107.0
GCA_050469755.1,VFG002165|WP_002356954|efaA|efaA,efaA,efaA,WP_002356954,endocarditis specific antigen,approved_primary,CP175101.1,940831,2573843,+,84.95733333333332,100.0,2,1668.0
