Raw_record_ID,Raw_row_in_file,Genome,Source,Gene,Method,Class,Subclass,Contig_ID,Coverage_reference_percent,Identity_reference_percent,functional_status,flag_reason,Original_file
GCA_050469755.1:7,7,GCA_050469755.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175101.1,100,100,accepted_functional_amr_detection,,GCA_050469755.1.amrfinder.tsv
GCA_050472745.1:6,6,GCA_050472745.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175062.1,100,100,accepted_functional_amr_detection,,GCA_050472745.1.amrfinder.tsv
GCA_050472745.1:1,1,GCA_050472745.1,Bacteraemia,ant(6)-Ia,EXACTX,AMINOGLYCOSIDE,STREPTOMYCIN,CP175061.1,100,100,accepted_functional_amr_detection,,GCA_050472745.1.amrfinder.tsv
GCA_050472745.1:3,3,GCA_050472745.1,Bacteraemia,aph(3')-IIIa,EXACTX,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,CP175061.1,100,100,accepted_functional_amr_detection,,GCA_050472745.1.amrfinder.tsv
GCA_050473905.1:6,6,GCA_050473905.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175056.1,100,100,accepted_functional_amr_detection,,GCA_050473905.1.amrfinder.tsv
GCA_050473905.1:9,9,GCA_050473905.1,Bacteraemia,ant(6)-Ia,EXACTX,AMINOGLYCOSIDE,STREPTOMYCIN,CP175056.1,100,100,accepted_functional_amr_detection,,GCA_050473905.1.amrfinder.tsv
GCA_050473905.1:7,7,GCA_050473905.1,Bacteraemia,aph(3')-IIIa,EXACTX,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN,CP175056.1,100,100,accepted_functional_amr_detection,,GCA_050473905.1.amrfinder.tsv
GCA_050474495.1:2,2,GCA_050474495.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175042.1,100,100,accepted_functional_amr_detection,,GCA_050474495.1.amrfinder.tsv
GCA_050475565.1:1,1,GCA_050475565.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175029.1,100,100,accepted_functional_amr_detection,,GCA_050475565.1.amrfinder.tsv
GCA_050475575.1:4,4,GCA_050475575.1,Bacteraemia,aac(6')-Ie/aph(2'')-Ia,EXACTX,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,CP175027.1,100,100,accepted_functional_amr_detection,,GCA_050475575.1.amrfinder.tsv
