assembly_accession	biosample_accession	bioproject_accession	strain	dataset_category	study_title	assembly_level	source_group	sample_type	host	geographic_location	country	collection_year	sequencing_technology	chromosome_count	plasmid_status	plasmid_count	associated_paper	pathology_context	annotated_genes	notes	source_workbook_sheet
GCF_053117705.1	SAMN46230707	PRJNA1209846	2819	Reproductive	Sequencing of infertility-associated Enterococcus faecalis isolates	Complete Genome	Semen sample	Cell culture	Homo sapiens	Italy:Siena	Italy	2009	Illumina NovaSeq 6000, Nanopore GridION	5	Y	4	NA	Infertility	Y	41 strains total in study; only 8 assembled	reproductive samples
GCF_053117695.1	SAMN46230708	PRJNA1209846	4153	Reproductive	Sequencing of infertility-associated Enterococcus faecalis isolates	Complete Genome	Semen sample	Cell culture	Homo sapiens	Italy:Siena	Italy	2011	Illumina NovaSeq 6000, Nanopore GridION	4	Y	3	NA	Infertility	Y	41 strains total in study; only 8 assembled	reproductive samples
GCF_053117685.1	SAMN46230709	PRJNA1209846	4638	Reproductive	Sequencing of infertility-associated Enterococcus faecalis isolates	Complete Genome	Semen sample	Cell culture	Homo sapiens	Italy:Siena	Italy	2011	Illumina NovaSeq 6000, Nanopore GridION	4	Y	3	NA	Infertility	Y	41 strains total in study; only 8 assembled	reproductive samples
GCF_053117675.1	SAMN46230710	PRJNA1209846	4774	Reproductive	Sequencing of infertility-associated Enterococcus faecalis isolates	Complete Genome	Vaginal swab	Cell culture	Homo sapiens	Italy:Siena	Italy	2011	Illumina NovaSeq 6000, Nanopore GridION	3	Y	2	NA	Infertility	Y	41 strains total in study; only 8 assembled	reproductive samples
GCF_053117665.1	SAMN46230711	PRJNA1209846	4953	Reproductive	Sequencing of infertility-associated Enterococcus faecalis isolates	Complete Genome	Semen sample	Cell culture	Homo sapiens	Italy:Siena	Italy	2012	Illumina NovaSeq 6000, Nanopore GridION	4	Y	3	NA	Infertility	Y	41 strains total in study; only 8 assembled	reproductive samples
GCF_053117655.1	SAMN46230712	PRJNA1209846	5034	Reproductive	Sequencing of infertility-associated Enterococcus faecalis isolates	Complete Genome	Vaginal swab	Cell culture	Homo sapiens	Italy:Siena	Italy	2012	Illumina NovaSeq 6000, Nanopore GridION	2	Y	1	NA	Infertility	Y	41 strains total in study; only 8 assembled	reproductive samples
GCF_053117575.1	SAMN46230713	PRJNA1209846	5245	Reproductive	Sequencing of infertility-associated Enterococcus faecalis isolates	Complete Genome	Semen sample	Cell culture	Homo sapiens	Italy:Siena	Italy	2012	Illumina NovaSeq 6000, Nanopore GridION	4	Y	3	NA	Infertility	Y	41 strains total in study; only 8 assembled	reproductive samples
GCF_053117585.1	SAMN46230714	PRJNA1209846	5410	Reproductive	Sequencing of infertility-associated Enterococcus faecalis isolates	Complete Genome	Semen sample	Cell culture	Homo sapiens	Italy:Siena	Italy	2012	Illumina NovaSeq 6000, Nanopore GridION	2	Y	1	NA	Infertility	Y	41 strains total in study; only 8 assembled	reproductive samples
GCF_049262565.1	SAMN47264607	PRJNA316969	UMB6935B	Reproductive	Female Urinary Microbiota Genome Sequencing	Complete Genome	Vaginal swab	Human bacterial culture	Homo sapiens	USA: Maywood, IL	USA	2016	Hybrid: Illumina NovaSeq X Plus and Oxford Nanopore	3	Y	2	"Putonti C et al., ""Genome Investigation of Urinary Gardnerella Strains and Their Relationship to Isolates of the Vaginal Microbiota."", mSphere, 2021 May 12;6(3) Hilt EE et al., ""Aerococcus urinae Isolated from Women with Lower Urinary Tract Symptoms: In Vitro Aggregation and Genome Analysis."", J Bacteriol, 2020 Jun 9;202(13) Meler J et al., ""Pharmaceutical interaction of lidocaine hydrochloride and sodium carboxymethylcellulose in ""hydrocortisonum"" suspension."", Pharmazie, 1990 Sep;45(9):692-3"	Urogenital disorder overactive bladder syptoms	Y	NA	reproductive samples
GCA_029011255.1	SAMN33275456	PRJNA934404	VSI48	Reproductive	Human vaginal bacterial isolates genome sequencing and assembly	Complete Genome	Vaginal swab		Homo sapiens	USA: Houston, TX	USA	2021	Oxford Nanopore MinION	2	Y	1	https://doi.org/10.1128/mra.00358-23	NA	Y	The goal of this work was to obtain complete, closed genomes of human vaginal isolates	reproductive samples
