tree	assembly_accession	nearest_tip	nearest_tip_group	nearest_distance	smallest_supported_clade_size	reproductive_in_supported_clade	bacteraemia_in_supported_clade	mean_distance_to_other_reproductive	mean_distance_to_bacteraemia
primary_72genome_9locus	GCA_029011255.1	GCA_050506875.1	Bacteraemia	0.0041608678	2	1	1	0.0179333041615385	0.0167950434913793
primary_72genome_9locus	GCA_029011395.1	GCA_029011745.1	Reproductive	2e-06	NA	NA	NA	0.0140394772384615	0.0140523019672414
primary_72genome_9locus	GCA_029011535.1	GCA_050506915.1	Bacteraemia	0.0001915116	5	1	4	0.0172775405615385	0.0142114646534483
primary_72genome_9locus	GCA_029011745.1	GCA_029011395.1	Reproductive	2e-06	2	1	1	0.0140394772384615	0.0140523019672414
primary_72genome_9locus	GCF_049262565.1	GCA_050473355.1	Bacteraemia	0.003032667	48	7	41	0.0146025577	0.0120943742224138
primary_72genome_9locus	GCF_053117575.1	GCA_050475575.1	Bacteraemia	0	12	4	8	0.00939431323846154	0.00924679462931034
primary_72genome_9locus	GCF_053117585.1	GCA_050485055.1	Bacteraemia	0	20	5	15	0.00881385740769231	0.00826448101896552
primary_72genome_9locus	GCF_053117655.1	GCA_050475575.1	Bacteraemia	0	12	4	8	0.00939431323846154	0.00924679462931034
primary_72genome_9locus	GCF_053117665.1	GCA_050486705.1	Bacteraemia	0.0001930488	13	1	12	0.0112407429	0.00839311083275862
primary_72genome_9locus	GCF_053117675.1	GCA_050491675.1	Bacteraemia	9.55279e-05	3	1	2	0.0106361977461538	0.0098882506362069
primary_72genome_9locus	GCF_053117685.1	GCA_050475575.1	Bacteraemia	0	12	4	8	0.00939431323846154	0.00924679462931034
primary_72genome_9locus	GCF_053117695.1	GCA_050485635.1	Bacteraemia	0.0077348843	48	7	41	0.0117418005	0.0103472701224138
primary_72genome_9locus	GCF_053117705.1	GCA_050475575.1	Bacteraemia	0	12	4	8	0.00939431323846154	0.00924679462931034
primary_72genome_9locus	GCF_906464925.1	GCA_050485635.1	Bacteraemia	0.007537824	48	7	41	0.0120483760384615	0.0107870345810345
sensitivity_71genome_9locus	GCA_029011255.1	GCA_050506875.1	Bacteraemia	0.0041646976	2	1	1	0.0177558074416667	0.0168103139396552
sensitivity_71genome_9locus	GCA_029011535.1	GCA_050506915.1	Bacteraemia	0.0001918964	5	1	4	0.017154027325	0.0142258978775862
sensitivity_71genome_9locus	GCA_029011745.1	GCA_050475565.1	Bacteraemia	0.0083660328	2	1	1	0.0152227217416667	0.01406558115
sensitivity_71genome_9locus	GCF_049262565.1	GCA_050473355.1	Bacteraemia	0.0030364689	48	7	41	0.0144922798666667	0.0121042451672414
sensitivity_71genome_9locus	GCF_053117575.1	GCA_050475575.1	Bacteraemia	0	12	4	8	0.00889903345	0.00925555792931034
sensitivity_71genome_9locus	GCF_053117585.1	GCA_050485055.1	Bacteraemia	0	20	5	15	0.00838477486666667	0.00827371719482758
sensitivity_71genome_9locus	GCF_053117655.1	GCA_050475575.1	Bacteraemia	0	12	4	8	0.00889903345	0.00925555792931034
sensitivity_71genome_9locus	GCF_053117665.1	GCA_050486705.1	Bacteraemia	0.0001914344	13	1	12	0.0111058114916667	0.0083970914637931
sensitivity_71genome_9locus	GCF_053117675.1	GCA_050491675.1	Bacteraemia	9.69212e-05	3	1	2	0.0102699651166667	0.00989829778103448
sensitivity_71genome_9locus	GCF_053117685.1	GCA_050475575.1	Bacteraemia	0	12	4	8	0.00889903345	0.00925555792931034
sensitivity_71genome_9locus	GCF_053117695.1	GCA_050485635.1	Bacteraemia	0.0077444451	48	7	41	0.0116657413166667	0.0103583782568966
sensitivity_71genome_9locus	GCF_053117705.1	GCA_050475575.1	Bacteraemia	0	12	4	8	0.00889903345	0.00925555792931034
sensitivity_71genome_9locus	GCF_906464925.1	GCA_050485635.1	Bacteraemia	0.0075456275	48	7	41	0.0121803106666667	0.01079714785
reduced_72genome_7locus	GCA_029011255.1	GCA_050506875.1	Bacteraemia	0.0063806993	2	1	1	0.0157656885615385	0.0150756126965517
reduced_72genome_7locus	GCA_029011395.1	GCA_029011745.1	Reproductive	2e-06	NA	NA	NA	0.0115183974076923	0.0117337989689655
reduced_72genome_7locus	GCA_029011535.1	GCA_050506915.1	Bacteraemia	0.0002861443	5	1	4	0.0103774777153846	0.008633351
reduced_72genome_7locus	GCA_029011745.1	GCA_029011395.1	Reproductive	2e-06	51	8	43	0.0115183974076923	0.0117337989689655
reduced_72genome_7locus	GCF_049262565.1	GCF_053117695.1	Reproductive	0.0053872829	51	8	43	0.00942023397692308	0.00833801693793104
reduced_72genome_7locus	GCF_053117575.1	GCA_050475575.1	Bacteraemia	0	12	4	8	0.00820533662307692	0.00779181221034483
reduced_72genome_7locus	GCF_053117585.1	GCA_050485055.1	Bacteraemia	0	20	5	15	0.00710451380769231	0.0060619244137931
reduced_72genome_7locus	GCF_053117655.1	GCA_050475575.1	Bacteraemia	0	12	4	8	0.00820533662307692	0.00779181221034483
reduced_72genome_7locus	GCF_053117665.1	GCA_050471105.1	Bacteraemia	0.0001425881	13	1	12	0.00933620959230769	0.00670871746206897
reduced_72genome_7locus	GCF_053117675.1	GCA_050491675.1	Bacteraemia	0	3	1	2	0.00986577671538461	0.00864218595862069
reduced_72genome_7locus	GCF_053117685.1	GCA_050475575.1	Bacteraemia	0	12	4	8	0.00820533662307692	0.00779181221034483
reduced_72genome_7locus	GCF_053117695.1	GCF_049262565.1	Reproductive	0.0053872829	51	8	43	0.00951564865384615	0.00844138283793103
reduced_72genome_7locus	GCF_053117705.1	GCA_050475575.1	Bacteraemia	0	12	4	8	0.00820533662307692	0.00779181221034483
reduced_72genome_7locus	GCF_906464925.1	GCA_050473355.1	Bacteraemia	0.004839639	51	8	43	0.0099873891	0.00856913831034483
