Genome,Source,gdh,gyd,pstS,gki,aroE,xpt,yqiL,Allele_profile,Dataset_profile,Dataset_profile_complete,MLST_status,MLST_status_reason,ST,PubMLST_CC_if_officially_available
GCA_029011255.1,Reproductive,15,2,37,1,17,15,11,gdh15-gyd2-pstS37-gki1-aroE17-xpt15-yqiL11,gdh15-gyd2-pstS37-gki1-aroE17-xpt15-yqiL11,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,165,
GCA_029011395.1,Reproductive,13,6,5,14,10,9,5,gdh13-gyd6-pstS5-gki14-aroE10-xpt9-yqiL5,gdh13-gyd6-pstS5-gki14-aroE10-xpt9-yqiL5,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,44,
GCA_029011535.1,Reproductive,1,2,12,8,1,6,1,gdh1-gyd2-pstS12-gki8-aroE1-xpt6-yqiL1,gdh1-gyd2-pstS12-gki8-aroE1-xpt6-yqiL1,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,19,
GCA_029011745.1,Reproductive,13,6,5,14,10,9,5,gdh13-gyd6-pstS5-gki14-aroE10-xpt9-yqiL5,gdh13-gyd6-pstS5-gki14-aroE10-xpt9-yqiL5,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,44,
GCA_050469755.1,Bacteraemia,12,7,3,7,6,1,5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,6,
GCA_050471105.1,Bacteraemia,3,6,23,12,9,10,7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,40,
GCA_050472745.1,Bacteraemia,12,7,3,7,6,1,5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,6,
GCA_050472755.1,Bacteraemia,18,1,24,24,20,17,15,gdh18-gyd1-pstS24-gki24-aroE20-xpt17-yqiL15,gdh18-gyd1-pstS24-gki24-aroE20-xpt17-yqiL15,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,53,
GCA_050473345.1,Bacteraemia,1,7,9,1,1,10,1,gdh1-gyd7-pstS9-gki1-aroE1-xpt10-yqiL1,gdh1-gyd7-pstS9-gki1-aroE1-xpt10-yqiL1,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,202,
GCA_050473355.1,Bacteraemia,1,7,9,1,1,1,1,gdh1-gyd7-pstS9-gki1-aroE1-xpt1-yqiL1,gdh1-gyd7-pstS9-gki1-aroE1-xpt1-yqiL1,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,21,
GCA_050473905.1,Bacteraemia,12,7,3,7,6,1,5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,6,
GCA_050474485.1,Bacteraemia,8,7,9,5,4,4,1,gdh8-gyd7-pstS9-gki5-aroE4-xpt4-yqiL1,gdh8-gyd7-pstS9-gki5-aroE4-xpt4-yqiL1,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,32,
GCA_050474495.1,Bacteraemia,12,7,3,32,32,26,31,gdh12-gyd7-pstS3-gki32-aroE32-xpt26-yqiL31,gdh12-gyd7-pstS3-gki32-aroE32-xpt26-yqiL31,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,778,
GCA_050475565.1,Bacteraemia,4,4,8,3,8,1,3,gdh4-gyd4-pstS8-gki3-aroE8-xpt1-yqiL3,gdh4-gyd4-pstS8-gki3-aroE8-xpt1-yqiL3,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,28,
GCA_050475575.1,Bacteraemia,5,1,1,3,7,1,6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,179,
GCA_050476085.1,Bacteraemia,1,7,9,1,1,1,1,gdh1-gyd7-pstS9-gki1-aroE1-xpt1-yqiL1,gdh1-gyd7-pstS9-gki1-aroE1-xpt1-yqiL1,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,21,
