Raw_record_ID,Raw_row_in_file,Genome,Source,Gene,Element_name,Type,Method,Class,Subclass,Contig_ID,Start,Stop,Strand,Coverage_reference_percent,Identity_reference_percent,Target_length,Reference_sequence_length,Alignment_length,Potential_duplicate_record,flag_reason,functional_matrix_status,Original_file
GCA_050473355.1:4,4,GCA_050473355.1,Bacteraemia,arsA,arsenite efflux transporter ATPase subunit ArsA,STRESS,BLASTX,ARSENIC,ARSENITE,CP175057.1,1949603,1951342,-,100,99.83,580,580,580,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050473355.1.amrfinder.tsv
GCA_050473355.1:8,8,GCA_050473355.1,Bacteraemia,arsA,arsenite efflux transporter ATPase subunit ArsA,STRESS,PARTIALX,ARSENIC,ARSENITE,CP175057.1,1953446,1954540,-,63.04,99.73,365,579,365,FALSE,PARTIALX;STRESS_outside_functional_AMR_analysis;coverage_below_80,outside_functional_amr_analysis,GCA_050473355.1.amrfinder.tsv
GCA_050473355.1:3,3,GCA_050473355.1,Bacteraemia,arsB,arsenite efflux transporter membrane subunit ArsB,STRESS,BLASTX,ARSENIC,ARSENITE,CP175057.1,1948474,1949520,-,97.21,100,349,359,349,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050473355.1.amrfinder.tsv
GCA_050473355.1:2,2,GCA_050473355.1,Bacteraemia,arsB,arsenite efflux transporter membrane subunit ArsB,STRESS,EXACTX,ARSENIC,ARSENITE,CP175057.1,1947361,1948413,-,100,100,351,351,351,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050473355.1.amrfinder.tsv
GCA_050473355.1:6,6,GCA_050473355.1,Bacteraemia,arsD,arsenite efflux transporter metallochaperone ArsD,STRESS,BLASTX,ARSENIC,ARSENITE,CP175057.1,1951879,1952247,-,100,98.37,123,123,123,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050473355.1.amrfinder.tsv
GCA_050473355.1:9,9,GCA_050473355.1,Bacteraemia,arsD2,arsenite efflux transporter metallochaperone ArsD-related protein,STRESS,BLASTX,ARSENIC,ARSENITE,CP175057.1,1954563,1954871,-,100,99.03,103,103,103,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050473355.1.amrfinder.tsv
GCA_050473355.1:7,7,GCA_050473355.1,Bacteraemia,arsR,As(III)-sensing metalloregulatory transcriptional repressor ArsR,STRESS,BLASTX,ARSENIC,ARSENITE,CP175057.1,1952252,1952542,-,100,98.97,97,97,97,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050473355.1.amrfinder.tsv
GCA_050473355.1:5,5,GCA_050473355.1,Bacteraemia,arsR,As(III)-sensing metalloregulatory transcriptional repressor ArsR,STRESS,EXACTX,ARSENIC,ARSENITE,CP175057.1,1951381,1951743,-,100,100,121,121,121,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050473355.1.amrfinder.tsv
GCA_050473355.1:1,1,GCA_050473355.1,Bacteraemia,clpL,ATP-dependent protease ClpL,STRESS,BLASTX,,,CP175057.1,408487,410598,+,100,98.86,704,704,704,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050473355.1.amrfinder.tsv
GCA_050475575.1:3,3,GCA_050475575.1,Bacteraemia,ant(6)-Ia,aminoglycoside nucleotidyltransferase ANT(6)-Ia,AMR,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,CP175027.1,1581690,1582439,-,87.11,99.6,250,287,250,FALSE,PARTIALX,excluded_from_functional_presence,GCA_050475575.1.amrfinder.tsv
GCA_050476085.1:1,1,GCA_050476085.1,Bacteraemia,clpL,ATP-dependent protease ClpL,STRESS,BLASTX,,,CP175020.1,448383,450494,+,100,98.86,704,704,704,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050476085.1.amrfinder.tsv
GCA_050481695.1:1,1,GCA_050481695.1,Bacteraemia,bleO,bleomycin binding protein,AMR,PARTIALX,BLEOMYCIN,BLEOMYCIN,CP174918.1,3041,3298,+,64.18,100,86,134,86,FALSE,PARTIALX;coverage_below_80,excluded_from_functional_presence,GCA_050481695.1.amrfinder.tsv
GCA_050482265.1:10,10,GCA_050482265.1,Bacteraemia,bleO,bleomycin binding protein,AMR,PARTIALX,BLEOMYCIN,BLEOMYCIN,CP174916.1,2827,3084,-,64.18,100,86,134,86,FALSE,PARTIALX;coverage_below_80,excluded_from_functional_presence,GCA_050482265.1.amrfinder.tsv
GCA_050485045.1:5,5,GCA_050485045.1,Bacteraemia,bleO,bleomycin binding protein,AMR,PARTIALX,BLEOMYCIN,BLEOMYCIN,CP174866.1,20067,20324,-,64.18,100,86,134,86,FALSE,PARTIALX;coverage_below_80,excluded_from_functional_presence,GCA_050485045.1.amrfinder.tsv
GCA_050485055.1:8,8,GCA_050485055.1,Bacteraemia,bleO,bleomycin binding protein,AMR,PARTIALX,BLEOMYCIN,BLEOMYCIN,CP174863.1,22831,23088,-,64.18,100,86,134,86,FALSE,PARTIALX;coverage_below_80,excluded_from_functional_presence,GCA_050485055.1.amrfinder.tsv
GCA_050485625.1:5,5,GCA_050485625.1,Bacteraemia,bleO,bleomycin binding protein,AMR,PARTIALX,BLEOMYCIN,BLEOMYCIN,CP174858.1,11106,11363,-,64.18,100,86,134,86,FALSE,PARTIALX;coverage_below_80,excluded_from_functional_presence,GCA_050485625.1.amrfinder.tsv
GCA_050485635.1:13,13,GCA_050485635.1,Bacteraemia,bleO,bleomycin binding protein,AMR,PARTIALX,BLEOMYCIN,BLEOMYCIN,CP174855.1,18948,19205,+,64.18,100,86,134,86,FALSE,PARTIALX;coverage_below_80,excluded_from_functional_presence,GCA_050485635.1.amrfinder.tsv
GCA_050485635.1:17,17,GCA_050485635.1,Bacteraemia,dfrF,trimethoprim-resistant dihydrofolate reductase DfrF,AMR,INTERNAL_STOP,TRIMETHOPRIM,TRIMETHOPRIM,CP174856.1,1804853,1805332,-,97.56,99.38,160,164,160,FALSE,INTERNAL_STOP,excluded_from_functional_presence,GCA_050485635.1.amrfinder.tsv
GCA_050486715.1:3,3,GCA_050486715.1,Bacteraemia,erm(B),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),AMR,INTERNAL_STOP,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B,CP174839.1,1481564,1482298,-,100,99.59,245,245,245,FALSE,INTERNAL_STOP,excluded_from_functional_presence,GCA_050486715.1.amrfinder.tsv
GCA_050491675.1:3,3,GCA_050491675.1,Bacteraemia,ant(6)-Ia,aminoglycoside nucleotidyltransferase ANT(6)-Ia,AMR,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,CP175116.1,1449593,1450099,-,58.89,99.41,169,287,169,FALSE,PARTIALX;coverage_below_80,excluded_from_functional_presence,GCA_050491675.1.amrfinder.tsv
GCA_050491675.1:6,6,GCA_050491675.1,Bacteraemia,ant(6)-Ia,aminoglycoside nucleotidyltransferase ANT(6)-Ia,AMR,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,CP175116.1,1452008,1452802,-,87.75,100,265,302,265,FALSE,PARTIALX,excluded_from_functional_presence,GCA_050491675.1.amrfinder.tsv
GCA_050491675.1:14,14,GCA_050491675.1,Bacteraemia,bcrB,quaternary ammonium compound efflux SMR transporter BcrB,STRESS,EXACTX,BACITRACIN,BACITRACIN,CP175117.1,45173,45487,-,100,100,105,105,105,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050491675.1.amrfinder.tsv
GCA_050491675.1:13,13,GCA_050491675.1,Bacteraemia,bcrC,quaternary ammonium compound efflux SMR transporter BcrC,STRESS,BLASTX,BACITRACIN,BACITRACIN,CP175117.1,44811,45152,-,100,99.12,114,114,114,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050491675.1.amrfinder.tsv
GCA_050491685.1:3,3,GCA_050491685.1,Bacteraemia,ant(6)-Ia,aminoglycoside nucleotidyltransferase ANT(6)-Ia,AMR,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,CP175113.1,1449593,1450099,-,58.89,99.41,169,287,169,FALSE,PARTIALX;coverage_below_80,excluded_from_functional_presence,GCA_050491685.1.amrfinder.tsv
GCA_050491685.1:6,6,GCA_050491685.1,Bacteraemia,ant(6)-Ia,aminoglycoside nucleotidyltransferase ANT(6)-Ia,AMR,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,CP175113.1,1452008,1452802,-,87.75,100,265,302,265,FALSE,PARTIALX,excluded_from_functional_presence,GCA_050491685.1.amrfinder.tsv
GCA_050491685.1:14,14,GCA_050491685.1,Bacteraemia,bcrB,quaternary ammonium compound efflux SMR transporter BcrB,STRESS,EXACTX,BACITRACIN,BACITRACIN,CP175114.1,46439,46753,-,100,100,105,105,105,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050491685.1.amrfinder.tsv
GCA_050491685.1:13,13,GCA_050491685.1,Bacteraemia,bcrC,quaternary ammonium compound efflux SMR transporter BcrC,STRESS,BLASTX,BACITRACIN,BACITRACIN,CP175114.1,46077,46418,-,100,99.12,114,114,114,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050491685.1.amrfinder.tsv
GCA_050505635.1:2,2,GCA_050505635.1,Bacteraemia,ant(6)-Ia,aminoglycoside nucleotidyltransferase ANT(6)-Ia,AMR,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,CP175162.1,891627,892079,+,52.61,98.68,151,287,151,FALSE,PARTIALX;coverage_below_80,excluded_from_functional_presence,GCA_050505635.1.amrfinder.tsv
GCA_050505645.1:6,6,GCA_050505645.1,Bacteraemia,ant(6)-Ia,aminoglycoside nucleotidyltransferase ANT(6)-Ia,AMR,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,CP175163.1,572298,572750,-,52.61,98.68,151,287,151,FALSE,PARTIALX;coverage_below_80,excluded_from_functional_presence,GCA_050505645.1.amrfinder.tsv
GCA_050506695.1:4,4,GCA_050506695.1,Bacteraemia,tet(M),tetracycline resistance ribosomal protection protein Tet(M),AMR,PARTIALX,TETRACYCLINE,TETRACYCLINE,CP175296.1,1322922,1324511,+,82.94,100,530,639,530,FALSE,PARTIALX,excluded_from_functional_presence,GCA_050506695.1.amrfinder.tsv
GCA_050506725.1:4,4,GCA_050506725.1,Bacteraemia,bcrB,quaternary ammonium compound efflux SMR transporter BcrB,STRESS,EXACTX,BACITRACIN,BACITRACIN,CP175285.1,38353,38667,-,100,100,105,105,105,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050506725.1.amrfinder.tsv
GCA_050506725.1:6,6,GCA_050506725.1,Bacteraemia,bcrB,quaternary ammonium compound efflux SMR transporter BcrB,STRESS,EXACTX,BACITRACIN,BACITRACIN,CP175285.1,99376,99690,-,100,100,105,105,105,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050506725.1.amrfinder.tsv
GCA_050506725.1:3,3,GCA_050506725.1,Bacteraemia,bcrC,quaternary ammonium compound efflux SMR transporter BcrC,STRESS,BLASTX,BACITRACIN,BACITRACIN,CP175285.1,37991,38332,-,100,99.12,114,114,114,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050506725.1.amrfinder.tsv
GCA_050506725.1:5,5,GCA_050506725.1,Bacteraemia,bcrC,quaternary ammonium compound efflux SMR transporter BcrC,STRESS,BLASTX,BACITRACIN,BACITRACIN,CP175285.1,99014,99355,-,100,99.12,114,114,114,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050506725.1.amrfinder.tsv
GCA_050506725.1:2,2,GCA_050506725.1,Bacteraemia,clpL,ATP-dependent protease ClpL,STRESS,BLASTX,,,CP175284.1,75822,77933,-,100,98.72,704,704,704,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050506725.1.amrfinder.tsv
GCA_050506735.1:4,4,GCA_050506735.1,Bacteraemia,bcrB,quaternary ammonium compound efflux SMR transporter BcrB,STRESS,EXACTX,BACITRACIN,BACITRACIN,CP175282.1,43416,43730,-,100,100,105,105,105,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050506735.1.amrfinder.tsv
GCA_050506735.1:3,3,GCA_050506735.1,Bacteraemia,bcrC,quaternary ammonium compound efflux SMR transporter BcrC,STRESS,BLASTX,BACITRACIN,BACITRACIN,CP175282.1,43054,43395,-,100,99.12,114,114,114,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050506735.1.amrfinder.tsv
GCA_050506735.1:2,2,GCA_050506735.1,Bacteraemia,clpL,ATP-dependent protease ClpL,STRESS,BLASTX,,,CP175281.1,74354,76465,-,100,98.72,704,704,704,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050506735.1.amrfinder.tsv
GCA_050506815.1:3,3,GCA_050506815.1,Bacteraemia,ant(6)-Ia,aminoglycoside nucleotidyltransferase ANT(6)-Ia,AMR,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,CP175260.1,1537565,1538071,-,58.89,99.41,169,287,169,FALSE,PARTIALX;coverage_below_80,excluded_from_functional_presence,GCA_050506815.1.amrfinder.tsv
GCA_050506815.1:6,6,GCA_050506815.1,Bacteraemia,ant(6)-Ia,aminoglycoside nucleotidyltransferase ANT(6)-Ia,AMR,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,CP175260.1,1539980,1540774,-,87.75,100,265,302,265,FALSE,PARTIALX,excluded_from_functional_presence,GCA_050506815.1.amrfinder.tsv
GCA_050506865.1:3,3,GCA_050506865.1,Bacteraemia,ant(6)-Ia,aminoglycoside nucleotidyltransferase ANT(6)-Ia,AMR,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,CP175257.1,1521163,1521669,-,58.89,99.41,169,287,169,FALSE,PARTIALX;coverage_below_80,excluded_from_functional_presence,GCA_050506865.1.amrfinder.tsv
GCA_050506865.1:6,6,GCA_050506865.1,Bacteraemia,ant(6)-Ia,aminoglycoside nucleotidyltransferase ANT(6)-Ia,AMR,PARTIALX,AMINOGLYCOSIDE,STREPTOMYCIN,CP175257.1,1523578,1524372,-,87.75,100,265,302,265,FALSE,PARTIALX,excluded_from_functional_presence,GCA_050506865.1.amrfinder.tsv
GCA_050506885.1:9,9,GCA_050506885.1,Bacteraemia,qacH,quaternary ammonium compound efflux SMR transporter QacH,STRESS,BLASTX,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,CP175253.1,26095,26469,-,100,99.2,125,125,125,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050506885.1.amrfinder.tsv
GCA_050506905.1:5,5,GCA_050506905.1,Bacteraemia,vanR-A,vancomycin resistance response regulator transcription factor VanR-A,AMR,PARTIALX,GLYCOPEPTIDE,VANCOMYCIN,CP175240.1,6227,6646,+,60.61,100,140,231,140,FALSE,PARTIALX;coverage_below_80,excluded_from_functional_presence,GCA_050506905.1.amrfinder.tsv
GCA_050506915.1:1,1,GCA_050506915.1,Bacteraemia,clpL,ATP-dependent protease ClpL,STRESS,BLASTX,,,CP175237.1,319349,321460,+,100,98.86,704,704,704,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050506915.1.amrfinder.tsv
GCA_050506925.1:2,2,GCA_050506925.1,Bacteraemia,clpL,ATP-dependent protease ClpL,STRESS,BLASTX,,,CP175233.1,2553881,2555992,-,100,98.86,704,704,704,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050506925.1.amrfinder.tsv
GCA_050506935.1:2,2,GCA_050506935.1,Bacteraemia,clpL,ATP-dependent protease ClpL,STRESS,BLASTX,,,CP175230.1,2493781,2495892,-,100,98.86,704,704,704,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050506935.1.amrfinder.tsv
GCA_050506985.1:2,2,GCA_050506985.1,Bacteraemia,clpL,ATP-dependent protease ClpL,STRESS,BLASTX,,,CP175228.1,2493779,2495890,-,100,98.86,704,704,704,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050506985.1.amrfinder.tsv
GCA_050516645.1:5,5,GCA_050516645.1,Bacteraemia,arsA,arsenite efflux transporter ATPase subunit ArsA,STRESS,BLASTX,ARSENIC,ARSENITE,CP175406.1,1782211,1783950,-,100,99.31,580,580,580,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050516645.1.amrfinder.tsv
GCA_050516645.1:9,9,GCA_050516645.1,Bacteraemia,arsA,arsenite efflux transporter ATPase subunit ArsA,STRESS,BLASTX,ARSENIC,ARSENITE,CP175406.1,1785250,1786986,-,100,99.31,579,579,579,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050516645.1.amrfinder.tsv
GCA_050516645.1:4,4,GCA_050516645.1,Bacteraemia,arsB,arsenite efflux transporter membrane subunit ArsB,STRESS,BLASTX,ARSENIC,ARSENITE,CP175406.1,1781051,1782127,-,100,99.16,359,359,359,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050516645.1.amrfinder.tsv
GCA_050516645.1:3,3,GCA_050516645.1,Bacteraemia,arsB,arsenite efflux transporter membrane subunit ArsB,STRESS,EXACTX,ARSENIC,ARSENITE,CP175406.1,1779966,1781018,-,100,100,351,351,351,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050516645.1.amrfinder.tsv
GCA_050516645.1:7,7,GCA_050516645.1,Bacteraemia,arsD,arsenite efflux transporter metallochaperone ArsD,STRESS,BLASTX,ARSENIC,ARSENITE,CP175406.1,1784488,1784856,-,100,99.19,123,123,123,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050516645.1.amrfinder.tsv
GCA_050516645.1:10,10,GCA_050516645.1,Bacteraemia,arsD2,arsenite efflux transporter metallochaperone ArsD-related protein,STRESS,BLASTX,ARSENIC,ARSENITE,CP175406.1,1787009,1787317,-,100,98.06,103,103,103,FALSE,STRESS_outside_functional_AMR_analysis,outside_functional_amr_analysis,GCA_050516645.1.amrfinder.tsv
