Genome,Source,qseqid,sseqid,pident,length,qlen,qstart,qend,sstart,send,evalue,bitscore,Original_tool_output_reference,Strand
GCA_029011255.1,Reproductive,VFG002165|WP_002356954|efaA|efaA,CP118048.1,99.569,927,927,1,927,1696626,1697552,0.0,1654,analysis/virulence_adherence/blast_72/GCA_029011255.1.tsv,+
GCA_029011255.1,Reproductive,VFG002166|WP_010714416|ace|ace,CP118048.1,95.833,1440,2025,1,1440,863332,864771,0.0,2327,analysis/virulence_adherence/blast_72/GCA_029011255.1.tsv,+
GCA_029011255.1,Reproductive,VFG002166|WP_010714416|ace|ace,CP118048.1,95.303,660,2025,1366,2025,864415,865074,0.0,1051,analysis/virulence_adherence/blast_72/GCA_029011255.1.tsv,+
GCA_029011255.1,Reproductive,VFG002166|WP_010714416|ace|ace,CP118048.1,91.597,357,2025,1225,1581,864415,864771,1.84e-144,509,analysis/virulence_adherence/blast_72/GCA_029011255.1.tsv,+
GCA_029011255.1,Reproductive,VFG002166|WP_010714416|ace|ace,CP118048.1,89.815,216,2025,1084,1299,864556,864771,8.960000000000001e-79,291,analysis/virulence_adherence/blast_72/GCA_029011255.1.tsv,+
GCA_029011255.1,Reproductive,VFG002166|WP_010714416|ace|ace,CP118048.1,89.352,216,2025,1507,1722,864415,864630,3.81e-77,287,analysis/virulence_adherence/blast_72/GCA_029011255.1.tsv,+
GCA_029011255.1,Reproductive,VFG002166|WP_010714416|ace|ace,CP118048.1,90.789,76,2025,1647,1722,864414,864489,7.37e-23,106,analysis/virulence_adherence/blast_72/GCA_029011255.1.tsv,+
GCA_029011255.1,Reproductive,VFG002166|WP_010714416|ace|ace,CP118048.1,89.474,76,2025,1083,1158,864696,864771,8.98e-22,102,analysis/virulence_adherence/blast_72/GCA_029011255.1.tsv,+
GCA_029011255.1,Reproductive,VFG002174|WP_002369251|gelE|gelE,CP118048.1,98.891,1533,1533,1,1533,1541414,1539882,0.0,2689,analysis/virulence_adherence/blast_72/GCA_029011255.1.tsv,-
GCA_029011255.1,Reproductive,VFG002191|WP_002369252|sprE|sprE,CP118048.1,98.48,855,855,1,855,1539833,1538979,0.0,1484,analysis/virulence_adherence/blast_72/GCA_029011255.1.tsv,-
GCA_029011255.1,Reproductive,VFG042976|WP_154081516|ebpA|ebpA,CP118048.1,99.076,3465,3465,1,3465,852136,855600,0.0,6105,analysis/virulence_adherence/blast_72/GCA_029011255.1.tsv,+
GCA_029011255.1,Reproductive,VFG042977|WP_002379309|ebpB|ebpB,CP118048.1,99.022,1431,1431,1,1431,855604,857034,0.0,2518,analysis/virulence_adherence/blast_72/GCA_029011255.1.tsv,+
GCA_029011255.1,Reproductive,VFG042978|WP_011109477|ebpC|ebpC,CP118048.1,98.779,1884,1878,1,1878,857031,858914,0.0,3296,analysis/virulence_adherence/blast_72/GCA_029011255.1.tsv,+
GCA_029011395.1,Reproductive,VFG002164|WP_002395058|prgB/asc10|aggregation_substance_context,CP118057.1,93.956,3921,3918,2,3918,435637,439529,0.0,6010,analysis/virulence_adherence/blast_72/GCA_029011395.1.tsv,+
GCA_029011395.1,Reproductive,VFG002164|WP_002395058|prgB/asc10|aggregation_substance_context,CP118057.1,94.457,2291,3918,1630,3918,1329462,1331750,0.0,3554,analysis/virulence_adherence/blast_72/GCA_029011395.1.tsv,+
GCA_029011395.1,Reproductive,VFG002164|WP_002395058|prgB/asc10|aggregation_substance_context,CP118057.1,91.707,832,3918,1,829,1327859,1328688,0.0,1181,analysis/virulence_adherence/blast_72/GCA_029011395.1.tsv,+
GCA_029011395.1,Reproductive,VFG002165|WP_002356954|efaA|efaA,CP118057.1,99.569,927,927,1,927,1172132,1171206,0.0,1654,analysis/virulence_adherence/blast_72/GCA_029011395.1.tsv,-
GCA_029011395.1,Reproductive,VFG002165|WP_002356954|efaA|efaA,CP118057.1,68.237,828,927,81,890,2589053,2588244,5.040000000000001e-72,269,analysis/virulence_adherence/blast_72/GCA_029011395.1.tsv,-
GCA_029011395.1,Reproductive,VFG002166|WP_010714416|ace|ace,CP118057.1,97.533,1581,2025,1,1581,2079224,2077644,0.0,2676,analysis/virulence_adherence/blast_72/GCA_029011395.1.tsv,-
GCA_029011395.1,Reproductive,VFG002166|WP_010714416|ace|ace,CP118057.1,93.758,801,2025,1225,2025,2078141,2077341,0.0,1220,analysis/virulence_adherence/blast_72/GCA_029011395.1.tsv,-
GCA_029011395.1,Reproductive,VFG002166|WP_010714416|ace|ace,CP118057.1,93.557,357,2025,1084,1440,2078000,2077644,1.19e-153,541,analysis/virulence_adherence/blast_72/GCA_029011395.1.tsv,-
GCA_029011395.1,Reproductive,VFG002166|WP_010714416|ace|ace,CP118057.1,89.356,357,2025,1366,1722,2078141,2077785,1.4500000000000001e-133,473,analysis/virulence_adherence/blast_72/GCA_029011395.1.tsv,-
