Genome,Source,Alignment_length,Non_missing_bases,Non_missing_proportion,Gap_bases,Ambiguous_bases,Below_95_percent_non_missing
GCF_053117695.1,Reproductive,2118553,2091861,0.9874008344374675,26692,0,False
GCA_050506885.1,Bacteraemia,2118553,2085777,0.9845290629972439,32776,0,False
GCA_050480515.1,Bacteraemia,2118553,2101440,0.9919223167888649,17113,0,False
GCA_050485055.1,Bacteraemia,2118553,2099682,0.99109250512024,18871,0,False
GCA_050473345.1,Bacteraemia,2118553,2100672,0.991559805206667,17881,0,False
GCA_050485625.1,Bacteraemia,2118553,2098628,0.9905949957352966,19925,0,False
GCA_050506925.1,Bacteraemia,2118553,2097609,0.9901140070604795,20944,0,False
GCA_050506995.1,Bacteraemia,2118553,2101002,0.9917155719021427,17551,0,False
GCA_050485635.1,Bacteraemia,2118553,2100405,0.9914337757894185,18148,0,False
GCA_050506825.1,Bacteraemia,2118553,2099379,0.9909494829725761,19174,0,False
GCA_050516665.1,Bacteraemia,2118553,2100096,0.9912879215200187,18457,0,False
GCF_053117675.1,Reproductive,2118553,2090689,0.9868476266583843,27864,0,False
GCA_050506685.1,Bacteraemia,2118553,2099229,0.9908786799291781,19324,0,False
GCA_050474485.1,Bacteraemia,2118553,2102730,0.9925312229620878,15823,0,False
GCF_906464925.1,Reproductive,2118553,2096535,0.9896070572697497,22018,0,False
GCA_050481685.1,Bacteraemia,2118553,2099574,0.9910415269289935,18979,0,False
GCA_050506905.1,Bacteraemia,2118553,2094003,0.9884119018971912,24550,0,False
GCA_050474495.1,Bacteraemia,2118553,2094543,0.988666792853424,24010,0,False
GCA_050486715.1,Bacteraemia,2118553,2088375,0.9857553717088975,30178,0,False
GCF_053117575.1,Reproductive,2118553,2101413,0.9919095722410533,17140,0,False
GCA_050471105.1,Bacteraemia,2118553,2089122,0.9861079708650197,29431,0,False
GCA_050506755.1,Bacteraemia,2118553,2096432,0.9895584391799497,22121,0,False
GCA_050491685.1,Bacteraemia,2118553,2096022,0.9893649108613285,22531,0,False
GCA_050506815.1,Bacteraemia,2118553,2100015,0.9912496878765837,18538,0,False
GCA_050506735.1,Bacteraemia,2118553,2099736,0.9911179942158633,18817,0,False
GCA_050505635.1,Bacteraemia,2118553,2101164,0.9917920391890125,17389,0,False
GCA_050506915.1,Bacteraemia,2118553,2097294,0.9899653206693436,21259,0,False
GCA_029011535.1,Reproductive,2118553,2024340,0.9555295524822839,94213,0,False
GCF_053117655.1,Reproductive,2118553,2095404,0.9890732023225286,23149,0,False
GCA_050516645.1,Bacteraemia,2118553,2096898,0.9897784006347728,21655,0,False
GCF_053117585.1,Reproductive,2118553,2103813,0.9930424209354215,14740,0,False
GCF_053117685.1,Reproductive,2118553,2098086,0.9903391607384852,20467,0,False
GCA_050506745.1,Bacteraemia,2118553,2097098,0.9898728046926369,21455,0,False
GCA_050485045.1,Bacteraemia,2118553,2098250,0.9904165720659337,20303,0,False
GCA_029011395.1,Reproductive,2118553,2035661,0.960873294177677,82892,0,False
GCA_050472755.1,Bacteraemia,2118553,2092890,0.9878865433151779,25663,0,False
GCA_050472745.1,Bacteraemia,2118553,2094926,0.9888475766242336,23627,0,False
GCA_029011745.1,Reproductive,2118553,1947050,0.9190471043207321,171503,0,True
GCA_050481695.1,Bacteraemia,2118553,2098109,0.9903500172051396,20444,0,False
GCA_050491675.1,Bacteraemia,2118553,2095935,0.9893238450961576,22618,0,False
GCA_050506765.1,Bacteraemia,2118553,2099808,0.9911519796766944,18745,0,False
GCA_029011255.1,Reproductive,2118553,2095029,0.9888961947140336,23524,0,False
GCA_050486705.1,Bacteraemia,2118553,2100069,0.991275176972207,18484,0,False
GCA_050492135.1,Bacteraemia,2118553,2076038,0.9799320573995552,42515,0,False
GCA_050505645.1,Bacteraemia,2118553,2101128,0.9917750464585969,17425,0,False
GCA_050506665.1,Bacteraemia,2118553,2103144,0.9927266393618663,15409,0,False
GCA_050506775.1,Bacteraemia,2118553,2097996,0.9902966789124463,20557,0,False
GCA_050507075.1,Bacteraemia,2118553,2097758,0.9901843380835882,20795,0,False
GCF_053117665.1,Reproductive,2118553,2098989,0.9907653950597413,19564,0,False
GCF_049262565.1,Reproductive,2118553,2091468,0.9872153304637646,27085,0,False
GCA_050507105.1,Bacteraemia,2118553,2097758,0.9901843380835882,20795,0,False
GCA_050506935.1,Bacteraemia,2118553,2097597,0.9901083428170077,20956,0,False
GCA_050482265.1,Bacteraemia,2118553,2098103,0.9903471850834036,20450,0,False
GCA_050506695.1,Bacteraemia,2118553,2099229,0.9908786799291781,19324,0,False
GCA_050516675.1,Bacteraemia,2118553,2100714,0.9915796300588184,17839,0,False
GCA_050481115.1,Bacteraemia,2118553,2099568,0.9910386948072576,18985,0,False
GCA_050481105.1,Bacteraemia,2118553,2101440,0.9919223167888649,17113,0,False
GCA_050507065.1,Bacteraemia,2118553,2101071,0.9917481413021058,17482,0,False
GCA_050506725.1,Bacteraemia,2118553,2099835,0.9911647242245061,18718,0,False
GCA_050506865.1,Bacteraemia,2118553,2102925,0.9926232669185052,15628,0,False
GCA_050469755.1,Bacteraemia,2118553,2096789,0.989726950423237,21764,0,False
GCA_050473355.1,Bacteraemia,2118553,2098612,0.9905874434106675,19941,0,False
GCA_050506985.1,Bacteraemia,2118553,2097609,0.9901140070604795,20944,0,False
GCA_050506675.1,Bacteraemia,2118553,2103144,0.9927266393618663,15409,0,False
GCA_050475565.1,Bacteraemia,2118553,2101107,0.9917651340325212,17446,0,False
GCA_050476085.1,Bacteraemia,2118553,2097531,0.9900771894779126,21022,0,False
GCA_050492125.1,Bacteraemia,2118553,2076038,0.9799320573995552,42515,0,False
GCA_050506875.1,Bacteraemia,2118553,2078721,0.9811984878358011,39832,0,False
GCA_050516655.1,Bacteraemia,2118553,2096772,0.9897189260783186,21781,0,False
GCA_050473905.1,Bacteraemia,2118553,2096984,0.9898189943796544,21569,0,False
GCF_053117705.1,Reproductive,2118553,2101350,0.9918798349628261,17203,0,False
GCA_050475575.1,Bacteraemia,2118553,2100330,0.9913983742677195,18223,0,False
