Genome,Source,Locus,Assignment_status,Accepted_allele,Dataset_profile_token,Exact_alleles_detected,Exact_location_count,Best_reference_allele,Best_identity_percent,Best_allele_coverage_percent,Best_contig,Best_start,Best_stop,Best_strand,Status_reason,FNA_path
GCA_029011255.1,Reproductive,gdh,Exact_known_allele,15,15,15,1,15,100,100,CP118048.1,741210,741739,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_14_AMRFinder/02_genomes_fna/GCA_029011255.1.fna
GCA_029011255.1,Reproductive,gyd,Exact_known_allele,2,2,2,1,2,100,100,CP118048.1,1641606,1642000,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_14_AMRFinder/02_genomes_fna/GCA_029011255.1.fna
GCA_029011255.1,Reproductive,pstS,Exact_known_allele,37,37,37,1,37,100,100,CP118048.1,1420076,1420658,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_14_AMRFinder/02_genomes_fna/GCA_029011255.1.fna
GCA_029011255.1,Reproductive,gki,Exact_known_allele,1,1,1,1,1,100,100,CP118048.1,2198899,2199336,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_14_AMRFinder/02_genomes_fna/GCA_029011255.1.fna
GCA_029011255.1,Reproductive,aroE,Exact_known_allele,17,17,17,1,17,100,100,CP118048.1,1286341,1286799,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_14_AMRFinder/02_genomes_fna/GCA_029011255.1.fna
GCA_029011255.1,Reproductive,xpt,Exact_known_allele,15,15,15,1,15,100,100,CP118048.1,1828912,1829367,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_14_AMRFinder/02_genomes_fna/GCA_029011255.1.fna
GCA_029011255.1,Reproductive,yqiL,Exact_known_allele,11,11,11,1,11,100,100,CP118048.1,1153791,1154226,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_14_AMRFinder/02_genomes_fna/GCA_029011255.1.fna
GCA_029011395.1,Reproductive,gdh,Exact_known_allele,13,13,13,1,13,100,100,CP118057.1,2183214,2183743,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_14_AMRFinder/02_genomes_fna/GCA_029011395.1.fna
GCA_029011395.1,Reproductive,gyd,Exact_known_allele,6,6,6,1,6,100,100,CP118057.1,1266945,1267339,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_14_AMRFinder/02_genomes_fna/GCA_029011395.1.fna
GCA_029011395.1,Reproductive,pstS,Exact_known_allele,5,5,5,1,5,100,100,CP118057.1,1542480,1543062,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_14_AMRFinder/02_genomes_fna/GCA_029011395.1.fna
GCA_029011395.1,Reproductive,gki,Exact_known_allele,14,14,14,1,14,100,100,CP118057.1,662118,662555,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_14_AMRFinder/02_genomes_fna/GCA_029011395.1.fna
GCA_029011395.1,Reproductive,aroE,Exact_known_allele,10,10,10,1,10,100,100,CP118057.1,1678115,1678573,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_14_AMRFinder/02_genomes_fna/GCA_029011395.1.fna
GCA_029011395.1,Reproductive,xpt,Exact_known_allele,9,9,9,1,9,100,100,CP118057.1,1036970,1037425,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_14_AMRFinder/02_genomes_fna/GCA_029011395.1.fna
GCA_029011395.1,Reproductive,yqiL,Exact_known_allele,5,5,5,1,5,100,100,CP118057.1,1811381,1811816,-,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_14_AMRFinder/02_genomes_fna/GCA_029011395.1.fna
GCA_029011535.1,Reproductive,gdh,Exact_known_allele,1,1,1,1,1,100,100,CP118072.1,2114434,2114963,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_14_AMRFinder/02_genomes_fna/GCA_029011535.1.fna
GCA_029011535.1,Reproductive,gyd,Exact_known_allele,2,2,2,1,2,100,100,CP118072.1,1232625,1233019,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_14_AMRFinder/02_genomes_fna/GCA_029011535.1.fna
GCA_029011535.1,Reproductive,pstS,Exact_known_allele,12,12,12,1,12,100,100,CP118072.1,1423943,1424525,+,One unambiguous exact full-length official allele,/mnt/c/Users/bless/Downloads/e_faecalis_disseration_project/local_archive/large_outputs/Efaecalis_14_AMRFinder/02_genomes_fna/GCA_029011535.1.fna
