assembly_accession,total_amrfinder_hits,amr_gene_count,amr_genes,amr_classes,aminoglycoside_genes,hlgr_detected,virulence_gene_count,virulence_genes,stress_gene_count,stress_genes
GCA_029011255.1,1,1,lsa(A),LINCOSAMIDE/STREPTOGRAMIN,,False,0,,0,
GCA_029011395.1,2,2,lsa(A); tet(M),LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,,False,0,,0,
GCA_029011535.1,3,3,erm(B); lsa(A); tet(S),LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,,False,0,,0,
GCA_029011745.1,2,2,lsa(A); tet(M),LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,,False,0,,0,
GCF_049262565.1,3,3,erm(B); lsa(A); tet(M),LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,,False,0,,0,
GCF_053117575.1,9,7,aac(6')-Ie/aph(2'')-Ia; ant(6)-Ia; aph(3')-IIIa; erm(B); lsa(A); sat4; tet(M),AMINOGLYCOSIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; STREPTOTHRICIN; TETRACYCLINE,aac(6')-Ie/aph(2'')-Ia; ant(6)-Ia; aph(3')-IIIa,False,0,,0,
GCF_053117585.1,8,8,aac(6')-Ie/aph(2'')-Ia; ant(6)-Ia; catA; dfrG; erm(B); lsa(A); str; tet(M),AMINOGLYCOSIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; PHENICOL; TETRACYCLINE; TRIMETHOPRIM,aac(6')-Ie/aph(2'')-Ia; ant(6)-Ia; str,False,0,,0,
GCF_053117655.1,10,7,ant(6)-Ia; aph(3')-IIIa; erm(B); lsa(A); lsa(E); sat4; tet(M),AMINOGLYCOSIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; STREPTOTHRICIN; TETRACYCLINE,ant(6)-Ia; aph(3')-IIIa,False,0,,0,
GCF_053117665.1,8,6,ant(6)-Ia; aph(3')-IIIa; erm(B); lsa(A); sat4; tet(M),AMINOGLYCOSIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; STREPTOTHRICIN; TETRACYCLINE,ant(6)-Ia; aph(3')-IIIa,False,0,,0,
GCF_053117675.1,16,13,ant(6)-Ia; aph(3')-IIIa; dfrG; erm(B); gyrA_S83Y; lnu(B); lsa(A); lsa(E); parC_S80I; sat4; spw; tet(L); tet(M),AMINOGLYCOSIDE; LINCOSAMIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; STREPTOTHRICIN; TETRACYCLINE; TRIMETHOPRIM,ant(6)-Ia; aph(3')-IIIa; spw,False,0,,0,
GCF_053117685.1,9,7,aac(6')-Ie/aph(2'')-Ia; ant(6)-Ia; aph(3')-IIIa; erm(B); lsa(A); sat4; tet(M),AMINOGLYCOSIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; STREPTOTHRICIN; TETRACYCLINE,aac(6')-Ie/aph(2'')-Ia; ant(6)-Ia; aph(3')-IIIa,False,0,,0,
GCF_053117695.1,5,5,aac(6')-Ie/aph(2'')-Ia; catA; erm(B); lsa(A); tet(M),AMINOGLYCOSIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; PHENICOL; TETRACYCLINE,aac(6')-Ie/aph(2'')-Ia,False,0,,0,
GCF_053117705.1,8,7,aac(6')-Ie/aph(2'')-Ia; ant(6)-Ia; aph(3')-IIIa; erm(B); lsa(A); sat4; tet(M),AMINOGLYCOSIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; STREPTOTHRICIN; TETRACYCLINE,aac(6')-Ie/aph(2'')-Ia; ant(6)-Ia; aph(3')-IIIa,False,0,,0,
GCF_906464925.1,10,10,catA; erm(B); fexA; gyrA_S83I; lsa(A); optrA; parC_S80I; str; tet(L); tet(M),AMINOGLYCOSIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; OXAZOLIDINONE/PHENICOL; PHENICOL; QUINOLONE; TETRACYCLINE,str,False,0,,0,
