Genome,Source,Study_ID,Study_title,Associated_publication,Country,Year,gdh,gyd,pstS,gki,aroE,xpt,yqiL,Allele_profile,Dataset_profile,Dataset_profile_complete,MLST_status,MLST_status_reason,ST,PubMLST_CC_if_officially_available,HLGR_proxy,Other_aminoglycoside_genes,AMR_burden
GCA_029011255.1,Reproductive,PRJNA934404,Human vaginal bacterial isolates genome sequencing and assembly,https://doi.org/10.1128/mra.00358-23,USA,2021,15,2,37,1,17,15,11,gdh15-gyd2-pstS37-gki1-aroE17-xpt15-yqiL11,gdh15-gyd2-pstS37-gki1-aroE17-xpt15-yqiL11,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,165,NA,HLGR-associated genotype proxy not detected,None detected,1
GCA_029011395.1,Reproductive,PRJNA934404,Human vaginal bacterial isolates genome sequencing and assembly,https://doi.org/10.1128/mra.00358-23,USA,2020,13,6,5,14,10,9,5,gdh13-gyd6-pstS5-gki14-aroE10-xpt9-yqiL5,gdh13-gyd6-pstS5-gki14-aroE10-xpt9-yqiL5,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,44,NA,HLGR-associated genotype proxy not detected,None detected,2
GCA_029011535.1,Reproductive,PRJNA934404,Human vaginal bacterial isolates genome sequencing and assembly,https://doi.org/10.1128/mra.00358-23,USA,2020,1,2,12,8,1,6,1,gdh1-gyd2-pstS12-gki8-aroE1-xpt6-yqiL1,gdh1-gyd2-pstS12-gki8-aroE1-xpt6-yqiL1,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,19,NA,HLGR-associated genotype proxy not detected,None detected,2
GCA_029011745.1,Reproductive,PRJNA934404,Human vaginal bacterial isolates genome sequencing and assembly,https://doi.org/10.1128/mra.00358-23,USA,2020,13,6,5,14,10,9,5,gdh13-gyd6-pstS5-gki14-aroE10-xpt9-yqiL5,gdh13-gyd6-pstS5-gki14-aroE10-xpt9-yqiL5,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,44,NA,HLGR-associated genotype proxy not detected,None detected,1
GCA_050469755.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,12,7,3,7,6,1,5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,6,NA,HLGR-associated genotype proxy detected,None detected,6
GCA_050471105.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,3,6,23,12,9,10,7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,40,NA,HLGR-associated genotype proxy not detected,None detected,2
GCA_050472745.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,12,7,3,7,6,1,5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,6,NA,HLGR-associated genotype proxy detected,ant(6)-Ia; aph(3')-IIIa,10
GCA_050472755.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,18,1,24,24,20,17,15,gdh18-gyd1-pstS24-gki24-aroE20-xpt17-yqiL15,gdh18-gyd1-pstS24-gki24-aroE20-xpt17-yqiL15,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,53,NA,HLGR-associated genotype proxy not detected,None detected,7
GCA_050473345.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,1,7,9,1,1,10,1,gdh1-gyd7-pstS9-gki1-aroE1-xpt10-yqiL1,gdh1-gyd7-pstS9-gki1-aroE1-xpt10-yqiL1,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,202,NA,HLGR-associated genotype proxy not detected,None detected,1
GCA_050473355.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,1,7,9,1,1,1,1,gdh1-gyd7-pstS9-gki1-aroE1-xpt1-yqiL1,gdh1-gyd7-pstS9-gki1-aroE1-xpt1-yqiL1,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,21,NA,HLGR-associated genotype proxy not detected,None detected,2
